tribe,parent,labels,sources,sources_named,printed_as,measured_names,own_spread_km,lon,lat,major_km,minor_km,angle_deg,area_sqkm,grew_by_km,encloses_other_tribes,encloses,stopped_by,stopped_at_km,at_max_radius
Mehadhba,,3,3,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),MEHADBA | Mahadeba | Mahedeba,1,33.4,9.877,34.325,49.0,27.6,5.2,1061,7.8,0,,Neffat,14.1,0
Ouled Sidi Yahia ben Taleb,,2,2,1853 Pellissier | 1881 Lasailly,Ouled Sidi Yaya ben Taleb | Yahia bou Taleb,1,41.8,7.981,35.815,56.2,22.6,-8.2,996,7.2,0,,Ouled bou Ghanem,25.1,0
Mahatla,,1,1,1881 Lasailly,Mahatla,1,20.3,7.496,36.081,42.2,29.9,0.0,991,11.0,0,,Ouled Daoud,15.0,0
Ouled Daoud,,1,1,1881 Lasailly,Ouled Daoud,1,19.9,7.483,36.216,41.8,29.9,0.0,982,11.0,0,,Mahatla,15.0,0
Merdès,,1,1,1881 Lasailly,Merdès,1,14.8,7.805,36.696,37.4,30.6,0.0,897,11.3,0,,Cheefia,18.7,0
Beni Salah,,1,1,1881 Lasailly,Beni Salah,1,19.9,7.72,36.524,40.3,28.4,0.0,896,10.2,0,,Nbails,19.8,0
Ouled el Goussem,Hammama,1,1,1853 Pellissier,Oulad el Goussem,0,8.0,9.929,34.907,33.6,33.6,0.0,886,12.8,0,,Hammama,16.8,0
Dra Menna,,1,1,1881 Lasailly,Dra Menna,1,21.1,7.412,36.701,40.0,26.9,0.0,846,9.5,0,,Beni Mezzeline,14.2,0
Nefza,,3,3,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),NEFZA | Nefsa | Nefza,1,40.5,9.07,36.96,40.5,26.4,-145.7,840,0.0,3,Djeladjela | Mogod | Riah,Riah,10.4,0
Ouled Saïd,,3,3,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),OLED SAID | Oulad Said | Ouled Saïd,1,42.0,10.33,36.216,42.0,25.3,46.2,835,0.0,1,Souassi,Souassi,20.2,0
Oulad Khalifa,Zlass,1,1,1853 Pellissier,Oulad Khalifa,0,8.0,10.114,35.298,32.5,32.5,0.0,830,12.3,0,,M'Talith,16.3,0
Ouled Ayar,,2,2,1881 Lasailly | 1881 Martel (1965),O. Ayar | OLED AYAR,1,61.7,9.105,36.062,65.6,16.1,-117.2,827,2.0,0,,Ouled Yakoub,17.1,0
Hezil,,1,1,1881 Lasailly,Hezil,1,8.0,9.514,37.058,31.9,31.9,0.0,801,12.0,0,,Makna,16.0,0
Drid,,3,3,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),DRID | Drid | Drid et autres Arabes melés,1,58.8,9.629,36.484,65.5,14.7,-141.4,758,3.4,0,,Trabelsi,15.8,0
Zeghalma,,2,2,1853 Pellissier | 1881 Lasailly,Zeghalma | Zeralma,0,28.3,8.547,35.771,42.7,22.4,-176.2,751,7.2,0,,Doufan,13.7,0
Mekena,,1,1,1881 Lasailly,Mekena,1,12.4,8.909,37.001,32.9,28.5,0.0,738,10.3,0,,Nefza,14.3,0
Makna,,1,1,1881 Lasailly,Makna,1,10.9,9.688,37.059,31.9,29.0,0.0,728,10.5,0,,Hezil,16.0,0
Aguerba,,1,1,1853 Pellissier,Agherba,0,8.0,10.402,34.696,30.4,30.4,0.0,727,11.2,0,,M'Talith,15.2,0
Braktia,,1,1,1881 Lasailly,Braktia,1,13.7,8.176,36.924,33.3,27.6,0.0,722,9.8,0,,Beni Ahmar,15.1,0
Beni Ourghine,,1,1,1881 Lasailly,Beni Ourghine,1,19.9,7.806,36.86,36.7,24.8,0.0,716,8.4,0,,Ouled Dhiab,17.8,0
Ouled Yakoub,,2,2,1853 Pellissier | 1881 Lasailly,O. Yakoub | Oulad Yacoub,0,25.1,8.824,35.98,39.4,22.3,-7.1,689,7.1,0,,Khememsa,11.3,0
Ouartan,,2,2,1853 Pellissier | 1881 Lasailly,Ouartan,1,50.4,8.757,35.904,50.4,15.8,-52.5,626,0.0,2,Khememsa | Ouled Yakoub,Khememsa,3.5,0
Hakim,,2,2,1853 Pellissier | 1881 Lasailly,Hakim,1,41.7,8.502,36.395,49.6,16.1,18.9,625,4.0,0,,Ouled Sdira,8.0,0
Sefia,,1,1,1881 Lasailly,Sefia,1,15.6,7.59,36.384,32.1,24.5,0.0,618,8.3,0,,Ouled Dean,15.7,0
Taïfa,,1,1,1853 Pellissier,Taïfa,0,8.0,9.763,34.694,28.0,28.0,0.0,617,10.0,0,,Hammama,14.0,0
Oulad Amer,,1,1,1853 Pellissier,Oulad Amer,0,8.0,10.334,35.369,27.9,27.9,0.0,613,10.0,0,,M'Talith,14.0,0
Cheefia,,1,1,1881 Lasailly,Cheefia,1,12.1,8.008,36.685,29.5,25.4,0.0,591,8.7,0,,Chiebna,12.8,0
Chiebna,,1,1,1881 Lasailly,Chiebna,1,12.1,8.03,36.571,29.5,25.4,0.0,591,8.7,0,,Cheefia,12.8,0
Allaounas,,1,1,1881 Lasailly,Allaounas,1,29.8,7.588,35.443,40.4,18.6,0.0,590,5.3,0,,Nemencha,9.3,0
M'Talith — Oulad Merab,M'Talith,1,1,1853 Pellissier,Methelith Oulad Merab,0,8.0,10.744,35.182,27.3,27.3,0.0,584,9.6,0,,M'Talith — Meraïah,13.6,0
Beni Mezzeline,,1,1,1881 Lasailly,Beni Mezzeline,1,18.8,7.478,36.585,31.9,21.1,0.0,529,6.6,0,,Nbails,10.8,0
Ouled bou Ghanem,,2,2,1853 Pellissier | 1881 Lasailly,O. bou Ghanem | Oulad bou Ghanem,1,41.5,8.315,35.88,41.5,16.0,20.5,521,0.0,1,Doufan,Doufan,11.7,0
Mogod,,3,3,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),El Mogod | MOGOD,1,59.4,9.288,37.107,59.4,9.3,20.5,433,0.0,1,Nefza,Nefza,17.6,0
Ouchtata,,3,3,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),OUCHTATA | Ouchtata | Ouchtata Khezara,0,30.9,8.466,36.563,32.8,16.1,-146.0,414,0.9,0,,Meressen,15.5,0
Ouled Dean,,1,1,1881 Lasailly,Ouled Dean,1,14.6,7.424,36.419,26.3,19.7,0.0,406,5.8,0,,Nbails,11.1,0
Chehida,,1,1,1881 Lasailly,Chehida,1,12.7,8.929,36.779,24.9,20.2,0.0,396,6.1,0,,Zouagha,10.8,0
Doufan,,1,1,1853 Pellissier,Oulad Doufan,0,8.0,8.439,35.856,22.4,22.4,0.0,395,7.2,0,,Zeghalma,11.2,0
Nbails,,1,1,1881 Lasailly,Nbails,1,11.5,7.508,36.491,24.2,20.7,0.0,392,6.3,0,,Ouled Dean,11.1,0
Charen,,2,2,1853 Pellissier | 1881 Lasailly,Charen,1,34.3,8.468,36.149,34.3,14.1,115.7,380,0.0,1,Ouargha,Ouargha,7.1,0
Ouargha,,1,1,1881 Lasailly,Ouargha,1,15.6,8.456,36.213,25.4,17.8,0.0,356,4.9,0,,Charen,9.5,0
Ouled Ahmar ben Ali,,1,1,1881 Lasailly,Ouled Ahmar ben Ali,1,25.5,8.174,36.703,31.7,14.2,0.0,354,3.1,0,,Cheefia,15.4,0
Ouled Dhiab,,1,1,1881 Lasailly,Ouled Dhiab,1,19.9,7.995,36.897,27.8,15.9,0.0,347,3.9,0,,Beni Ahmar,9.1,0
Beni Ahmar,,1,1,1881 Lasailly,Beni Ahmar,1,18.4,8.055,36.831,26.5,16.1,0.0,333,4.0,0,,Ouled Dhiab,9.1,0
M'Talith — Meraïah,M'Talith,1,1,1853 Pellissier,Methelith Meraïah,0,8.0,10.877,35.127,19.5,19.5,0.0,297,5.7,0,,M'Talith — Oulad Zid,9.7,0
M'Talith — Oulad Zid,M'Talith,1,1,1853 Pellissier,Methelith Oulad Zid,0,8.0,10.983,35.126,19.5,19.5,0.0,297,5.7,0,,M'Talith — Meraïah,9.7,0
Ghezoran,,2,2,1853 Pellissier | 1881 Lasailly,Ghezoran | Grezouani,1,17.4,8.755,36.668,24.7,15.3,1.5,296,3.6,0,,Ouled Soltan,12.0,0
Ouled bou Salem,,2,2,1853 Pellissier | 1881 Lasailly,O. bou Salem | Oulad bou Salem,1,26.2,9.013,36.613,26.2,14.0,25.3,288,0.0,1,Djendouba,Djendouba,8.1,0
Kroumirs,,3,3,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),KHROUMIR | Khemir | Kroumirs,0,14.3,8.77,36.822,21.8,15.5,-134.8,266,3.8,0,,Beni Mtir,8.6,0
Zouagha,,2,2,1853 Pellissier | 1881 Lasailly,Zouagha | Zouaka,1,30.0,9.046,36.648,30.0,11.2,-47.7,264,0.0,1,Ouled bou Salem,Ouled bou Salem,0.5,0
Khememsa,,1,1,1881 Lasailly,Khememsa et Doufan,0,8.0,8.785,35.883,17.7,17.7,0.0,245,4.8,0,,Ouartan,8.8,0
Sbetsa,,1,1,1881 Lasailly,Sbetsa,1,9.0,8.175,36.771,16.0,15.0,0.0,189,3.5,0,,Ouled Ahmar ben Ali,7.5,0
Ouled Ali,,1,1,1881 Lasailly,Ouled Ali,0,8.0,8.695,36.742,15.2,15.2,0.0,180,3.6,0,,Kroumirs,7.6,0
Djendouba,,2,2,1853 Pellissier | 1881 Lasailly,Djendouba,1,22.4,8.956,36.533,22.4,8.2,5.2,143,0.0,1,Ouled bou Salem,Ouled bou Salem,0.6,0
Beni Mtir,,1,1,1881 Lasailly,Beni Mazer,0,8.0,8.678,36.833,12.9,12.9,0.0,131,2.5,0,,Kroumirs,6.5,0
Meressen,,2,2,1853 Pellissier | 1881 Lasailly,Merassen | Meressen,1,19.6,8.532,36.664,19.6,8.0,-0.2,123,0.0,1,Ouchtata,Ouchtata,1.6,0
Djeladjela,,1,1,1881 Lasailly,Djeladjela,1,15.6,9.181,36.984,15.6,8.0,0.0,98,0.0,1,Riah,Riah,1.2,0
Ouled Soltan,,1,1,1881 Lasailly,O. Soltan,1,14.0,8.627,36.644,14.0,8.0,0.0,88,0.0,1,Meressen,Meressen,4.4,0
