tribe,year_a,label_a,lon_a,lat_a,labels_a,year_b,label_b,lon_b,lat_b,labels_b,distance_km
Ghezoran,1853,Grezouani,8.724,36.661,1,1881,Ghezoran,8.77,36.671,1,4.3
Drid,1853,Drid et autres Arabes melés,9.713,36.505,1,1881,Drid,9.712,36.557,1,5.8
Mehadhba,1853,Mahedeba,9.943,34.341,1,1881,Mahadeba,9.872,34.342,1,6.5
Mogod,1853,El Mogod,9.196,37.037,1,1881,El Mogod,9.193,37.097,1,6.7
Djendouba,1853,Djendouba,8.924,36.501,1,1881,Djendouba,8.972,36.549,1,6.8
Meressen,1853,Merassen,8.585,36.663,1,1881,Meressen,8.506,36.664,1,7.0
M'Talith,1853,Methelith,10.261,35.216,1,1881,M'Talith,10.356,35.244,1,9.2
Kroumirs,1853,Khemir,8.737,36.801,1,1881,Kroumirs,8.825,36.868,1,10.8
Frechiche,1853,Frachiche Oulad Ali,8.507,35.38,2,1881,Frechiche,8.479,35.481,1,11.5
Ouled bou Salem,1853,Oulad bou Salem,8.958,36.538,1,1881,O. bou Salem,9.041,36.651,1,14.6
Ouled Sdira,1853,Oulad Sedira,8.478,36.465,1,1881,O. Sdira,8.324,36.565,2,17.7
Ouled Saïd,1853,Oulad Said,10.3,36.153,1,1881,Ouled Saïd,10.389,36.307,1,18.9
Zouagha,1853,Zouaka,9.137,36.542,1,1881,Zouagha,9.0,36.701,1,21.5
Ouled Sidi Yahia ben Taleb,1853,Yahia bou Taleb,8.14,35.776,1,1881,Ouled Sidi Yaya ben Taleb,7.901,35.834,1,22.5
Ouled bou Ghanem,1853,Oulad bou Ghanem,8.439,35.974,1,1881,O. bou Ghanem,8.253,35.833,1,22.9
Ouled Aoun,1853,Oulad Aoun,9.421,36.278,1,1881,O. Aoun,9.481,36.077,1,23.0
Hanencha,1853,Hanecha,8.166,36.137,1,1881,Hanenchas,7.897,36.139,1,24.2
Ouchtata,1853,Ouchtata,8.326,36.499,1,1881,Ouchtata Khezara,8.521,36.653,1,24.4
Ouled Yakoub,1853,Oulad Yacoub,8.959,35.966,1,1881,O. Yakoub,8.688,35.994,1,24.6
Charen,1853,Charen,8.405,36.288,1,1881,Charen,8.5,36.08,1,24.7
Zeghalma,1853,Zeralma,8.393,35.762,1,1881,Zeghalma,8.701,35.779,1,27.9
Nefza,1853,Nefza,8.877,36.874,1,1881,Nefsa,9.113,37.043,1,28.2
Hakim,1853,Hakim,8.711,36.461,1,1881,Hakim,8.397,36.362,1,30.2
Trabelsi,1853,Trabelsia,9.706,36.612,1,1881,Trabelsi,9.822,36.919,1,35.7
Ouartan,1853,Ouartan,8.612,36.088,1,1881,Ouartan,8.829,35.812,1,36.4
Zlass,1853,Djelas,9.801,35.794,2,1881,Zlaas,9.431,35.615,1,38.9
Hammama,1853,Hamema,9.779,34.82,1,1881,Hammama,9.348,34.834,1,39.4
Mejers,1853,Madjer,9.122,35.32,1,1881,Mejers,8.797,35.612,1,43.8
Riah,1853,Riah,9.176,36.994,1,1881,Riah,9.567,36.713,2,46.8
Ouled Khiar,1853,Oulad Khiar,10.033,36.569,1,1881,Ouled Khiar,7.948,35.999,1,197.3
