record_id,serial,serial_number,band,column,designation,sheet_name,revision_year,published_year,projection,ellipsoid,identifier,provenance,scale_denominator,bbox_west,bbox_east,bbox_south,bbox_north,width_deg,height_deg,title,url
oai:u-bordeaux-montaigne.fr:340428,XXXII,32,4,33,B4-C33,Souk el Arba,,1923,,,07-08-01-073,partner,50000,8.75833,9.12778,36.35833,36.55000,0.3694,0.1917,"Tunisie Flle. N° XXXII-B4-C33, Souk el Arba / dressé, héliogravé et publié par le Service géographique de l'Armée (complété en 1923)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340428
oai:u-bordeaux-montaigne.fr:340429,XXXIII,33,4,34,B4-C34,Teboursouk,,1932,,,07-08-01-074,partner,50000,9.11944,9.47917,36.34167,36.53056,0.3597,0.1889,"Tunisie Flle. N° XXXIII-B4-C34, Teboursouk / dressé, héliogravé et publié par le Service géographique de l'Armée (complété en 1932)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340429
oai:u-bordeaux-montaigne.fr:340430,XXXIV,34,4,35,B4-C35,Bou Arada,,1930,,,07-08-01-076,partner,50000,9.47028,9.83917,36.31528,36.51250,0.3689,0.1972,"Tunisie Flle. N° XXXIV-B4-C35, Bou Arada / dressé, héliogravé et publié par le Service géographique de l'Armée (révisé en 1930)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340430
oai:u-bordeaux-montaigne.fr:340431,XXXV,35,4,36,B4-C36,Zaghouan,1902,1932,,,07-08-01-078,partner,50000,9.83056,10.19028,36.30556,36.48611,0.3597,0.1806,"Tunisie Flle. N° XXXV-B4-C36, Zaghouan / dressé, gravé et publié par le Service géographique de l'Armée (révision de 1902), (complétée en 1932)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340431
oai:u-bordeaux-montaigne.fr:340432,XXXVI,36,4,37,B4-C37,Bou Ficha,,1932,,,07-08-01-079,partner,50000,10.18111,10.54111,36.26972,36.46778,0.3600,0.1981,"Tunisie Flle. N° XXXVI-B4-C37, Bou Ficha / Dressé, héliogravé et publié par Service géographique de l'armée, levés de 1893, révisés en 1932 et levés de 1930",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340432
oai:u-bordeaux-montaigne.fr:340433,XXXVII,37,4,38,B4-C38,Hammamet,1931,1931,,,07-08-01-081,partner,50000,10.54111,10.90111,36.25000,36.41667,0.3600,0.1667,"Tunisie Flle. N° XXXVII-B4-C38, Hammamet / dressé, gravé et publié par le Service géographique de l'Armée (révision de 1931)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340433
oai:u-bordeaux-montaigne.fr:340434,XXXVIII,38,5,32,B5-C32,Ouargha,,,,,07-08-01-083,partner,50000,8.39028,8.75000,36.19778,36.38694,0.3597,0.1892,"Tunisie Flle. N° XXXVIII-B5-C32, Ouargha / dessiné, héliogravé et publié par le Service géographique de l'Armée",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340434
oai:u-bordeaux-montaigne.fr:340435,XXXIX,39,5,33,B5-C33,Nebeur,,1924,,,07-08-01-086,partner,50000,8.75000,9.11028,36.18000,36.36667,0.3603,0.1867,"Tunisie Flle. N° XXXIX-B5-C33, Nebeur / dessiné, héliogravé et publié par le Service géographique de l'Armée en 1924",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340435
oai:u-bordeaux-montaigne.fr:340436,XL,40,5,34,B5-C34,Gafour,,1922,,,07-08-01-089,partner,50000,9.10000,9.45000,36.15000,36.33333,0.3500,0.1833,"Tunisie Flle. N° XL-B5-C34, Gafour / dressé, héliogravé et publié par le Service géographique de l'Armée, en 1922",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340436
oai:u-bordeaux-montaigne.fr:340447,XLI,41,5,35,B5-C35,Djebel Mansour,,1930,Bonne,Clarke 1880,07-08-01-092,partner,50000,9.46111,9.82111,36.14444,36.33333,0.3600,0.1889,"Tunisie Flle. N° XLI-B5-C35, Djebel Mansour / dessiné, héliogravé et publié par le Service géographique de l'Armée en 1923 (révisé en 1930)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340447
oai:u-bordeaux-montaigne.fr:340448,XLII,42,5,36,B5-C36,Djebel Fkirine,,1930,Bonne,Clarke 1880,07-08-01-094,partner,50000,9.81222,10.17222,36.10000,36.28333,0.3600,0.1833,"Tunisie Flle. N° XLII-B5-C36, Djebel Fkirine / dressé, gravé et publié par Service géographique de l'armée (révisé en 1930)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340448
oai:u-bordeaux-montaigne.fr:340450,XLIII,43,5,37,B5-C37,Enfida,,,Bonne,Clarke 1880,07-08-01-097,partner,50000,10.16306,10.52306,36.08333,36.26667,0.3600,0.1833,"Tunisie Flle. N° XLIII-B5-C37, Enfida / dressé, gravé et publié par Service géographique de l'armée",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340450
oai:u-bordeaux-montaigne.fr:340449,XLIII,43,5,37,B5-C37,Enfidaville,1930,1930,,,07-08-01-096,partner,50000,10.16306,10.52306,36.08333,36.26667,0.3600,0.1833,"Tunisie Flle. N° XLIII-B5-C37, Enfidaville / dressé, gravé et publié par le Service géographique de l'Armée (révision de 1930)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340449
oai:u-bordeaux-montaigne.fr:340451,XLIV,44,6,32,B6-C32,Le Kef,,1925,,,07-08-01-100,partner,50000,8.36667,8.73333,36.01667,36.20000,0.3667,0.1833,"Tunisie Flle N° XLIV-B6-C32, Le Kef / dessiné, héliogravé et publié par le Service géographique de l'Armée en 1924 (complété en 1925)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340451
oai:u-bordeaux-montaigne.fr:340452,XLV,45,6,33,B6-C33,Les Salines,,1929,,,07-08-01-102,partner,50000,8.73333,9.08333,36.00000,36.16667,0.3500,0.1667,"Tunisie Flle. N° XLV-B6-C33, Les Salines / dressé,héliogravé et publié par le Service géographique de l'Armée en 1924 (révision partielle de 1925), complété en 1929",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340452
oai:u-bordeaux-montaigne.fr:340453,XLVI,46,6,34,B6-C34,Siliana,,1931,,,07-08-01-104,partner,50000,9.08333,9.44333,35.98194,36.17083,0.3600,0.1889,"Tunisie Flle. N° XLVI-B6-C34, Siliana / dressé, héliogravé et publié par le Service géographique de l'Armée en 1926 (complété en 1931)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340453
oai:u-bordeaux-montaigne.fr:340454,XLVII,47,6,35,B6-C35,Djebel Bargou,,1931,,,07-08-01-107,partner,50000,9.44333,9.80333,35.95500,36.15278,0.3600,0.1978,"Tunisie Flle. N° XLVII-B6-C35, Djebel Bargou / dessiné, héliogravé et publié par le Service géographique de l'Armée en 1930 (complété en 1931)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340454
oai:u-bordeaux-montaigne.fr:340455,LXVIII,68,6,36,B6-C36,Djebibina,,1931,,,07-08-01-109,partner,50000,9.79417,10.15417,35.93694,36.12583,0.3600,0.1889,"Tunisie Flle. N° LXVIII-B6-C36, Djebibina / dressé, héliogravé et publié par le Service géographique de l'armée (complété en 1931)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340455
oai:u-bordeaux-montaigne.fr:340467,XLIX,49,6,37,B6-C37,Sidi Bou Ali,,,Bonne,Clarke 1880,07-08-01-113,partner,50000,10.14528,10.50528,35.90972,36.10778,0.3600,0.1981,"Tunisie Flle. N° XLIX-B6-C37, Sidi Bou Ali / dressé, gravé et publié par Service géographique de l'armée",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340467
oai:u-bordeaux-montaigne.fr:340474,LV,55,6,37,B6-C37,Aïne Djeloula,,1931,,,07-08-02-022,partner,50000,9.77611,10.13611,35.75694,35.94583,0.3600,0.1889,"Tunisie Flle. N° LV-B6-C37, Aïne Djeloula / dressé, héliogravé et publié par le Service géographique de l'Armée (complété en 1931)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340474
oai:u-bordeaux-montaigne.fr:340456,XLIX,49,6,37,B6-C37,Sidi Bou Ali,,1931,,,07-08-01-112,partner,50000,10.14528,10.50528,35.90972,36.10778,0.3600,0.1981,"Tunisie Flle. N° XLIX-B6-C37, Sidi Bou Ali / dressé, gravé et publié par le Service géographique de l'Armée (complété en 1931)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340456
oai:u-bordeaux-montaigne.fr:340469,L,50,6,38,B6-C38,Halk El Mennzel,,,Bonne,Clarke 1880,07-08-02-005,partner,50000,10.50000,10.86667,35.89167,36.08056,0.3667,0.1889,"Tunisie Flle. N° L-B6-C38, Halk El Mennzel / dressé, gravé et publié par Service géographique de l'armée",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340469
oai:u-bordeaux-montaigne.fr:340468,L,50,6,38,B6-C38,Halk El Mennzel,,1931,Bonne,Clarke 1880,07-08-02-003,partner,50000,10.50000,10.86667,35.89167,36.08056,0.3667,0.1889,"Tunisie Flle. N° L-B6-C38, Halk El Mennzel / dressé, gravé et publié par Service géographique de l'armée (complété en 1931)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340468
oai:u-bordeaux-montaigne.fr:340470,LI,51,7,32,B7-C32,Tadjerouine,,1923,,,07-08-02-008,partner,50000,8.36333,8.72306,35.83778,36.02694,0.3597,0.1892,"Tunisie Flle. N° LI-B7-C32, Tadjerouine / dressé, héliogravé et publié par le Service Géographique de l'Armée en 1923 (révision partielle de 1923)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340470
oai:u-bordeaux-montaigne.fr:340472,LIII,53,7,34,B7-C34,Maktar,,1928,,,07-08-02-015,partner,50000,9.07417,9.43417,35.80194,35.99083,0.3600,0.1889,"Tunisie Flle. N° LIII-B7-C34, Maktar / dressé, héliogravé et publié par le Service géographique de l'Armée en 1928",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340472
oai:u-bordeaux-montaigne.fr:340473,LIV,54,7,35,B7-C35,Djebel Serdj,,1932,,,07-08-02-018,partner,50000,9.42528,9.78528,35.78333,35.97278,0.3600,0.1894,"Tunisie Flle. N° LIV-B7-C35, Djebel Serdj / dressé, héliogravé et publié par le Service Géographique de l'Armée en 1929 (complété en 1932)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340473
oai:u-bordeaux-montaigne.fr:340475,LVI,56,7,37,B7-C37,Sebkra Kelbia,,1923,,,07-08-02-026,partner,50000,10.12722,10.48722,35.73000,35.92778,0.3600,0.1978,"Tunisie Flle. N° LVI-B7-C37, Sebkra Kelbia / dressé, gravé et publié par le Service géographique de l'Armée (complété en 1923)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340475
oai:u-bordeaux-montaigne.fr:340487,LVII,57,7,38,B7-C38,Sousse,,,,,07-08-02-032,partner,50000,10.47833,10.84722,35.71194,35.90972,0.3689,0.1978,"Tunisie Flle. N° LVII-B7-C38, Sousse / dressé, héliogravé et publié par le Service géographique de l'Armée",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340487
oai:u-bordeaux-montaigne.fr:340476,LVII,57,7,38,B7-C38,Sousse,,1931,,,07-08-02-030,partner,50000,10.47833,10.84722,35.71194,35.90972,0.3689,0.1978,"Tunisie Flle. N° LVII-B7-C38, Sousse / dressé, héliogravé et publié par le Service géographique de l'Armée (complété en 1931)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340476
oai:u-bordeaux-montaigne.fr:340488,LIX,59,8,32,B8-C32,Kalaat es Senam,,1926,,,07-08-02-034,partner,50000,8.25528,8.70528,35.65778,35.83778,0.4500,0.1800,"Tunisie Flle. N° LIX-B8-C32, Kalaat es Senam / dressé, héliogravé et publié par le Service géographique de l'Armée en 1926",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340488
oai:u-bordeaux-montaigne.fr:340489,LX,60,8,33,B8-C33,Aïn El Kseïba,,1928,Bonne,Clarke 1880,07-08-02-037,partner,50000,8.70528,9.06528,35.64000,35.82889,0.3600,0.1889,"Tunisie Flle. N° LX-B8-C33, Aïn El Kseïba / dressé héliogravé et publié par le Service géographique de l'armée en 1928",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340489
oai:u-bordeaux-montaigne.fr:340490,LXI,61,8,34,B8-C34,Rohia-Dj. Barbrou,,1929,,,07-08-02-039,partner,50000,9.05611,9.41611,35.62194,35.81083,0.3600,0.1889,"Tunisie Flle. N° LXI-B8-C34, Rohia-Dj. Barbrou / dressé, héliogravé et publié par le Service géographique de l'Armée en 1929",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340490
oai:u-bordeaux-montaigne.fr:340491,LXII,62,8,35,B8-C35,Pichon,,1928,,,07-08-02-042,partner,50000,9.40722,9.76722,35.60000,35.79278,0.3600,0.1928,"Tunisie Flle. N° LXII-B8-C35, Pichon / dressé, héliogravé et publié par le Service géographique de l'Armée en 1928",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340491
oai:u-bordeaux-montaigne.fr:340492,LXIII,63,8,36,B8-C36,Kairouan,,1927,,,07-08-02-046,partner,50000,9.75806,10.11833,35.56667,35.75000,0.3603,0.1833,"Tunisie Flle. N° LXIII-B8-C36, Kairouan / dressé, héliogravé et publié par le Service géographique de l'Armée (complété en 1927)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340492
oai:u-bordeaux-montaigne.fr:340493,LXIV,64,8,37,B8-C37,Sidi El Hani,,1923,,,07-08-02-049,partner,50000,10.10917,10.46917,35.55889,35.74778,0.3600,0.1889,"Tunisie Flle. N° LXIV-B8-C37, Sidi El Hani / dressé, héliogravé et publié par le Service géographique de l'Armée (Complété en 1923)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340493
oai:u-bordeaux-montaigne.fr:340494,LXV,65,8,38,B8-C38,Djemmal,,1925,,,07-08-02-052,partner,50000,10.79333,10.82028,35.50000,35.66667,0.0269,0.1667,"Tunisie Flle. N° LXV-B8-C38, Djemmal / dressé, héliogravé et publié par le Service géographique de l'Armée (complété en 1925)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340494
oai:u-bordeaux-montaigne.fr:340495,LXVI,66,8,39,B8-C39,Moknine,,1931,,,07-08-02-055,partner,50000,10.81111,11.17111,35.50500,35.70278,0.3600,0.1978,"Tunisie Flle. N° LXVI-B8-C39, Moknine / dressé, héliogravé et publié par le Service Géographique de l'Armée (Complété en 1931)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340495
oai:u-bordeaux-montaigne.fr:340496,LXVII,67,9,32,B9-C32,Thala,,1927,,,07-08-02-057,partner,50000,8.33611,8.69611,35.47778,35.66667,0.3600,0.1889,"Tunisie Flle. N° LXVII-B9-C32, Thala / dressé, héliogravé et publié par Service géographique de l'armée en 1927",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340496
