record_id,serial,serial_number,band,column,designation,sheet_name,revision_year,published_year,projection,ellipsoid,identifier,provenance,scale_denominator,bbox_west,bbox_east,bbox_south,bbox_north,width_deg,height_deg,title,url
oai:u-bordeaux-montaigne.fr:340367,IV,4,0,33,B0-C33,Cap Negro,,1922,Bonne,,07-08-01-009,partner,50000,8.80000,9.18333,37.06667,37.25000,0.3833,0.1833,"Tunisie Flle. N° IV-B0-C33, Cap Negro / dressé, héliogravé et publié par le Service géographique de l'Armée (complété en 1922)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340367
oai:u-bordeaux-montaigne.fr:340354,I,1,00,34,B00-C34,Kef Abbed,,1931,,,07-08-01-002,partner,50000,9.18333,9.55000,37.23333,37.41667,0.3667,0.1833,"Tunisie Flle. N°I-B00-C34, Kef Abbed / dressé, héliogravé et publié par le Service géographique de l'Armée (complété en 1931) ; les travaux sur le terrain ont été exécutés par Mr. Vicq [en] 1897",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340354
oai:u-bordeaux-montaigne.fr:340368,V,5,0,34,B0-C34,Oued Sedjenane,,1932,,,07-08-01-012,partner,50000,9.16667,9.55000,37.05000,37.25000,0.3833,0.2000,"Tunisie Flle. N° V-B0-C34, Oued Sedjenane / dressé, héliogravé et publié par le Service géographique de l'Armée (complété en 1932)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340368
oai:u-bordeaux-montaigne.fr:340355,II,2,0,35,B0-C35,Bizerte,,1936,,,07-08-01-005,partner,50000,9.53333,9.91667,37.20000,37.40000,0.3833,0.2000,"Tunisie Flle. N° II-B0-C35, Bizerte / dressé, héliogravé et publié par le Service géographique de l'Armée en 1936",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340355
oai:u-bordeaux-montaigne.fr:340369,VI,6,0,35,B0-C35,Djebel Ichkeul,,1936,Bonne,Clarke 1880,07-08-01-014,partner,50000,9.53333,9.88333,37.03333,37.23333,0.3500,0.2000,"Tunisie Flle. N° VI [6] B 0 - C 35, Djebel Ichkeul / dressé, heliogravé et publié par Service géographique de l'armée en 1936",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340369
oai:u-bordeaux-montaigne.fr:340356,III,3,00,36,B00-C36,Metline,,,,,07-08-01-006,partner,50000,9.90000,10.26667,37.18333,37.38333,0.3667,0.2000,"Tunisie Flle. N° III - B 00 - C 36, Metline / dressé, heliogravé et publié par Service géographique de l'armée",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340356
oai:u-bordeaux-montaigne.fr:340371,VII,7,0,36,B0-C36,Porto-Farina,1902,1902,,,07-08-01-016,partner,50000,9.88333,10.23333,37.01667,37.18333,0.3500,0.1667,"Tunisie Flle. N° VII.B 0-C 36, Porto-Farina / dressé, gravé et publié par Service géographique de l'armée (Révision de 1902)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340371
oai:u-bordeaux-montaigne.fr:340370,VII,7,0,36,B0-C36,Porto-Farina,,1935,Bonne,,07-08-01-015,partner,50000,9.88333,10.23333,37.01667,37.18333,0.3500,0.1667,"Tunisie Flle. N° VII.B 0-C 36, Porto-Farina / dressé, héliogravé et publié par Service géographique de l'armée en 1935",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340370
oai:u-bordeaux-montaigne.fr:340372,VIII,8,0,38,B0-C38,Sidi Daoud,1932,1932,Bonne,Clarke 1880,07-08-01-020,partner,50000,10.60000,10.95000,36.95000,37.13333,0.3500,0.1833,"Tunisie Flle. N° VIII - B 0 - C 38, Sidi Daoud / dressé, héliogravé et publié par Service géographique de l'armée (révision de 1932)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340372
oai:u-bordeaux-montaigne.fr:340373,IX,9,0,39,B0-C39,Cap Bon,1932,1939,Bonne,Clarke 1880,07-08-01-023,partner,50000,10.95000,11.30000,36.93333,37.11667,0.3500,0.1833,"Tunisie Flle. N° IX - B 0 - C 39, Cap Bon / dressé, héliogravé et publié par Service géographique de l'armée en 1894 (révision de 1932)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340373
oai:u-bordeaux-montaigne.fr:340374,X,10,1,33,B1-C33,Nefza,,1922,,,07-08-01-026,partner,50000,8.80000,9.15000,37.61667,37.80000,0.3500,0.1833,"Tunisie Flle. N° X-B1-C33, Nefza / dressé, héliogravé et publié par le Service Géographique de l'Armée (complété en 1922)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340374
oai:u-bordeaux-montaigne.fr:340471,LII,52,1,33,B1-C33,Ebba Ksour,,1925,,,07-08-02-011,partner,50000,8.72306,9.07417,35.82000,36.00889,0.3511,0.1889,"Tunisie Flle. N° LII-B1-C33, Ebba Ksour / dressé, héliogravé et publié par le Service géographique de l'Armée en 1925",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340471
oai:u-bordeaux-montaigne.fr:340375,XI,11,1,34,B1-C34,Hedil,,1932,,,07-08-01-027,partner,50000,9.16667,9.51667,36.86667,37.05000,0.3500,0.1833,"Tunisie Flle. N°XI-B1-C34, Hedil / dressé, héliogravé et publié par le Service géographique de l'Armée (complété en 1932)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340375
oai:u-bordeaux-montaigne.fr:340376,XII,12,1,35,B1-C35,Mateur,,1936,Bonne,Clarke 1880,07-08-01-030,partner,50000,9.50000,9.85000,36.85000,37.03333,0.3500,0.1833,"Tunisie Flle. N° XII -B 1-C 35, Mateur / dressé, héliogravé et publié par Service géographique de l'armée en 1936",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340376
oai:u-bordeaux-montaigne.fr:340388,XIII,13,1,36,B1-C36,El Ariana,1902,1902,,,07-08-01-033,partner,50000,,,,,,,"Tunisie Flle. N° XIII-B1-C36, El Ariana / dressé, gravé et publié par le Service géographique de l'armée (révision de 1902)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340388
oai:u-bordeaux-montaigne.fr:340387,XIII,13,1,36,B1-C36,Ariana,,1936,,,07-08-01-032,partner,50000,9.86667,10.23333,36.83333,37.01667,0.3667,0.1833,"Tunisie Flle. N° XIII-B1-C36, Ariana / dressé, gravé et publié par le Service géographique de l'Armée en 1936",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340387
oai:u-bordeaux-montaigne.fr:340390,XIV,14,1,37,B1-C37,La Marsa,1902,1902,,,07-08-01-036,partner,50000,10.23333,10.58333,36.80000,37.00000,0.3500,0.2000,"Tunisie Flle. N° XIV-B 1-C 37, La Marsa / dressé, gravé et publié par Service géographique de l'armée (révision de 1902)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340390
oai:u-bordeaux-montaigne.fr:340389,XIV,14,1,37,B1-C37,La Marsa,1932,1932,Bonne,Clarke 1880,07-08-01-035,partner,50000,10.23333,10.58333,36.80000,37.00000,0.3500,0.2000,"Tunisie Flle. N° XIV-B 1-C 37, La Marsa / dressé, gravé et publié par Service géographique de l'armée (révision de 1932)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340389
oai:u-bordeaux-montaigne.fr:340391,XV,15,1,38,B1-C38,Tazoghrane,,1932,Bonne,Clarke 1880,07-08-01-039,partner,50000,10.58333,10.93333,36.78333,36.95000,0.3500,0.1667,"Tunisie Flle. N° XV-B 1-C 38, Tazoghrane / dressé, héliogravé et publié par Service géographique de l'armée (révisé en 1932)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340391
oai:u-bordeaux-montaigne.fr:340392,XVI,16,1,39,B1-C39,Kelibia,1932,1932,Bonne,Clarke 1880,07-08-01-042,partner,50000,,,,,,,"Tunisie Flle. N° XVI-B 1-C 39, Kelibia / dressé, héliogravé et publié par Service géographique de l'armée (révision de 1932)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340392
oai:u-bordeaux-montaigne.fr:340393,XVIII,18,2,34,B2-C34,Béja,1902,1932,,,07-08-01-046,partner,50000,9.13333,9.50000,36.70000,36.86667,0.3667,0.1667,"Tunisie Flle. N° XVIII-B2-C34, Béja / dressé, héliogravé et publié par le Service géographique de l'Armée (révision de 1902) (complété en 1932)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340393
oai:u-bordeaux-montaigne.fr:340394,XIX,19,2,35,B2-C35,Tebourba,,1934,,,07-08-01-048,partner,50000,9.50611,9.87528,36.67500,36.87278,0.3692,0.1978,"Tunisie Flle. N° XIX-B2-C35, Tebourba / dressé, héliogravé et publié par le service géographique de l'Armée (révisé en 1934)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340394
oai:u-bordeaux-montaigne.fr:340396,XX,20,2,36,B2-C36,Tunis,1902,1902,,,07-08-01-051,partner,50000,9.85722,10.22611,36.65694,36.85500,0.3689,0.1981,"Tunisie Flle. N° XX-B2-C36, Tunis / dressé, gravé et publié par le Service géographique de l'Armée (révision de 1902)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340396
oai:u-bordeaux-montaigne.fr:340395,XX,20,2,36,B2-C36,Tunis,,1935,,,07-08-01-050,partner,50000,9.85722,10.22611,36.65694,36.85500,0.3689,0.1981,"Tunisie Flle. N° XX-B2-C36, Tunis / dressé, dessiné et publié par le Service géographique de l'Armée (révisé en 1935)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340395
oai:u-bordeaux-montaigne.fr:340409,XXI,21,2,37,B2-C37,La Goulette,,,,,07-08-01-054,partner,50000,10.23333,10.58611,36.61667,36.81667,0.3528,0.2000,"Tunisie Flle. N° XXI-B2-C37, La Goulette / dressé, gravé et publié par le Service géographique de l'Armée",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340409
oai:u-bordeaux-montaigne.fr:340407,XXI,21,2,37,B2-C37,La Goulette,1932,1932,,,07-08-01-052,partner,50000,10.23333,10.58611,36.61667,36.81667,0.3528,0.2000,"Tunisie Flle. N° XXI-B2-C37, La Goulette / dressé, gravé et publié par le Service géographique de l'Armée (révision de 1932)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340407
oai:u-bordeaux-montaigne.fr:340410,XXII,22,2,38,B2-C38,Menzel Bou Zelfa,1932,1932,,,07-08-01-056,partner,50000,10.57778,10.94583,36.60278,36.81000,0.3681,0.2072,"Tunisie Flle. N° XXII-B2-C38, Menzel Bou Zelfa / dressé, heliogravé et publié par le Service géographique de l'armée (révision de 1932)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340410
oai:u-bordeaux-montaigne.fr:340411,XXIII,23,2,39,B2-C39,Mennzel Heurr,1932,1932,,,07-08-01-058,partner,50000,,,,,,,"Tunisie Flle. N° XXIII-B2-C39, Mennzel Heurr / dressé, héliogravé et publié par Service géographique de l'armée en 1896. Révision de 1932",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340411
oai:u-bordeaux-montaigne.fr:340412,XXVI,26,3,34,B3-C34,Oued-Zarga,,1931,,,07-08-01-063,partner,50000,9.12778,9.49722,36.52222,36.71111,0.3694,0.1889,"Tunisie Feuille n° XXVI-B3-C34, Oued-Zarga / dressé, héliogravé et publié par le service géographique de l'Armée (complété en 1931)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340412
oai:u-bordeaux-montaigne.fr:340413,XXVII,27,3,35,B3-C35,Medjez-el-Bab,,1931,,,07-08-01-065,partner,50000,9.48889,9.85833,36.49444,36.69167,0.3694,0.1972,"Tunisie Flle. N° XXVII-B3-C35, Medjez-el-Bab / dressé, heliogravé et publié par Service géographique de l'armée",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340413
oai:u-bordeaux-montaigne.fr:340414,XXVIII,28,3,36,B3-C36,Oudna,1931,1931,,,07-08-01-066,partner,50000,9.83889,10.20833,36.47694,36.67500,0.3694,0.1981,"Tunisie Flle. n°XXVIII-B3-C36, Oudna / dressé, gravé et publié par le service géographique de l'Armée (révision de 1931)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340414
oai:u-bordeaux-montaigne.fr:340415,XXIX,29,3,37,B3-C37,Grombalia,,1932,,,07-08-01-067,partner,50000,10.20000,10.56667,36.45000,36.64778,0.3667,0.1978,"Tunisie Flle. n°XXIX-B3-C37, Grombalia / dressé, héliogravé et publié par le service géographique de l'Armée (complété en 1932)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340415
oai:u-bordeaux-montaigne.fr:340416,XXX,30,3,38,B3-C38,Nabeul,1932,1932,,,07-08-01-069,partner,50000,10.55000,10.90000,36.41667,36.60000,0.3500,0.1833,"Tunisie Flle. N° XXX-B3-C38, Nabeul / dressé, gravé et publié par Service géographique de l'armée, révision de 1932",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340416
oai:u-bordeaux-montaigne.fr:340427,XXXI,31,4,32,B4-C32,Ghardimaou,,1928,,,07-08-01-071,partner,50000,8.40833,8.76833,36.37778,36.56667,0.3600,0.1889,"Tunisie Flle. N° XXXI-B4-C32, Ghardimaou / dressé, héliogravé et publié par le service géographique de l'Armée (complété en 1928)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340427
