record_id,symbol_class,lon,lat,gouvernorat,délégation,anchor_confident
oai:u-bordeaux-montaigne.fr:340354,building,9.5607,37.42634,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.56069,37.42585,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.51588,37.41883,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.41525,37.41852,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.55121,37.40977,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.33636,37.4182,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.45632,37.40949,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.291,37.41797,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.41547,37.40936,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.25689,37.41777,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.55006,37.40068,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.2342,37.41758,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.3835,37.40925,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.48216,37.40044,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.43688,37.40032,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.4314,37.40026,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.40273,37.40017,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.5497,37.39152,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.23424,37.40841,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.54003,37.39147,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.50478,37.39139,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.34748,37.39988,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.49481,37.39133,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.33541,37.39984,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.47686,37.39125,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.44714,37.39117,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.28408,37.39954,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.41542,37.39105,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.41598,37.39105,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.38171,37.3909,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.21181,37.39905,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.20395,37.39906,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.54754,37.37317,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.23441,37.39007,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.38175,37.38174,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.51973,37.37308,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.20603,37.38986,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.20454,37.38984,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.45183,37.37283,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.41177,37.37266,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.40433,37.37265,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.23447,37.38085,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.21196,37.38072,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.20472,37.38065,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.20604,37.38064,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.32394,37.37223,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.29028,37.37204,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.56158,37.35487,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.40437,37.36344,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.54007,37.35478,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.38076,37.36334,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.50483,37.35465,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.27926,37.36281,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.56107,37.34565,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.54007,37.34559,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.38212,37.35415,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.52925,37.34558,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.21212,37.36234,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.47226,37.34537,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.44711,37.34529,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.42699,37.34519,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.42592,37.3452,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.26783,37.35353,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.41463,37.34514,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.26741,37.35312,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.40446,37.34508,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.23446,37.3533,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.38189,37.34497,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.21214,37.35319,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.34883,37.34484,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.34816,37.34484,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.49624,37.33633,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.49476,37.3363,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.47219,37.33622,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.30189,37.34458,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.44956,37.33615,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.27933,37.34446,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.56285,37.32733,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.55158,37.32729,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.39184,37.33588,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.54002,37.32724,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.52337,37.3272,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.51635,37.32717,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.48369,37.32706,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.45994,37.327,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.3019,37.33538,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.44849,37.32694,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.39192,37.32669,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.39235,37.32667,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.39082,37.32669,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.2348,37.33494,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.38235,37.32661,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.51744,37.31796,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.35349,37.32649,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.50164,37.31794,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.34818,37.32645,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.34712,37.32647,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.33566,37.3264,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.33458,37.32637,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.47223,37.3178,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.45966,37.31776,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.44957,37.31772,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.44727,37.31774,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.43715,37.31768,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.42702,37.31763,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.55954,37.30892,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.40463,37.31752,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.53365,37.30884,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.21241,37.32559,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.35828,37.31731,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.34715,37.3173,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.3402,37.31721,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.32131,37.31711,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.31112,37.31704,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.30911,37.31704,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.29208,37.31693,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.42503,37.30843,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.42405,37.30843,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.41589,37.30837,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.40162,37.30832,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.3924,37.3083,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.31458,37.30786,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.29088,37.30774,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.23505,37.30732,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.55244,37.28912,Bizerte,Bizerte Sud,1
oai:u-bordeaux-montaigne.fr:340354,building,9.21247,37.30723,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.23507,37.29819,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.53181,37.28006,Bizerte,Bizerte Sud,1
oai:u-bordeaux-montaigne.fr:340354,building,9.2069,37.29795,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.49876,37.28002,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.49873,37.27951,,,1
oai:u-bordeaux-montaigne.fr:340354,building,9.49007,37.26941,Bizerte,Bizerte Sud,1
oai:u-bordeaux-montaigne.fr:340354,building,9.49146,37.26921,Bizerte,Bizerte Sud,1
oai:u-bordeaux-montaigne.fr:340354,building,9.56596,37.25387,Bizerte,Bizerte Sud,1
oai:u-bordeaux-montaigne.fr:340354,building,9.43978,37.26085,Bizerte,Sejnane,1
oai:u-bordeaux-montaigne.fr:340354,building,9.566,37.25326,Bizerte,Bizerte Sud,1
oai:u-bordeaux-montaigne.fr:340354,building,9.44048,37.25995,Bizerte,Sejnane,1
oai:u-bordeaux-montaigne.fr:340354,building,9.4086,37.2613,Bizerte,Sejnane,1
oai:u-bordeaux-montaigne.fr:340354,building,9.4354,37.25906,Bizerte,Sejnane,1
oai:u-bordeaux-montaigne.fr:340354,building,9.40777,37.26051,Bizerte,Sejnane,1
oai:u-bordeaux-montaigne.fr:340354,building,9.43907,37.25287,Bizerte,Sejnane,1
oai:u-bordeaux-montaigne.fr:340354,building,9.43535,37.25208,Bizerte,Sejnane,1
oai:u-bordeaux-montaigne.fr:340354,building,9.21286,37.25365,,,1
oai:u-bordeaux-montaigne.fr:340355,building,9.85125,37.41229,,,1
oai:u-bordeaux-montaigne.fr:340355,building,9.85476,37.41147,,,1
oai:u-bordeaux-montaigne.fr:340355,building,9.86319,37.41091,,,1
oai:u-bordeaux-montaigne.fr:340355,building,9.86512,37.41077,,,1
oai:u-bordeaux-montaigne.fr:340355,building,9.866,37.41071,,,1
oai:u-bordeaux-montaigne.fr:340355,building,9.85103,37.41165,,,1
oai:u-bordeaux-montaigne.fr:340355,building,9.85116,37.41107,,,1
oai:u-bordeaux-montaigne.fr:340355,building,9.82461,37.4107,,,1
oai:u-bordeaux-montaigne.fr:340355,building,9.74198,37.41219,,,1
