record_id,sheet_name,anchor_confident,residual_rms_m,building,well,vegetation,total,clipped_out
oai:u-bordeaux-montaigne.fr:340474,Aïne Djeloula,1,45.04,1344,0,0,1344,415
oai:u-bordeaux-montaigne.fr:340475,Sebkra Kelbia,1,13.57,558,0,0,558,465
oai:u-bordeaux-montaigne.fr:340476,Sousse,1,15.88,1404,0,0,1404,444
oai:u-bordeaux-montaigne.fr:340489,Aïn El Kseïba,1,35.32,1179,0,0,1179,505
oai:u-bordeaux-montaigne.fr:340490,Rohia-Dj. Barbrou,1,15.85,1201,0,0,1201,484
oai:u-bordeaux-montaigne.fr:340491,Pichon,1,21.1,1930,0,0,1930,450
oai:u-bordeaux-montaigne.fr:340492,Kairouan,1,24.9,865,0,0,865,460
oai:u-bordeaux-montaigne.fr:340493,Sidi El Hani,1,56.06,409,0,0,409,470
oai:u-bordeaux-montaigne.fr:340494,Djemmal,1,12.33,16,0,0,16,1188
oai:u-bordeaux-montaigne.fr:340495,Moknine,1,16.4,1561,0,0,1561,352
oai:u-bordeaux-montaigne.fr:340496,Thala,1,15.64,848,0,0,848,538
oai:u-bordeaux-montaigne.fr:340508,Sbiba,1,57.55,1194,0,0,1194,611
oai:u-bordeaux-montaigne.fr:340509,Djebel Trozza,1,30.5,1094,0,0,1094,544
oai:u-bordeaux-montaigne.fr:340510,Pavillier,1,15.44,330,0,0,330,610
oai:u-bordeaux-montaigne.fr:340511,Oued Cherita,1,18.64,509,0,0,509,476
oai:u-bordeaux-montaigne.fr:340512,Kerker,1,29.77,387,0,0,387,409
oai:u-bordeaux-montaigne.fr:340513,Djebel Bireno,1,16.07,397,0,0,397,506
oai:u-bordeaux-montaigne.fr:340514,Djebel Semmama,1,11.62,597,0,0,597,520
oai:u-bordeaux-montaigne.fr:340515,Djebel Mrhila,1,16.73,818,0,0,818,505
oai:u-bordeaux-montaigne.fr:340516,Hadjeb el Aïoun,1,20.38,1689,0,0,1689,530
oai:u-bordeaux-montaigne.fr:340528,Chorbane,1,18.85,497,0,0,497,483
oai:u-bordeaux-montaigne.fr:340529,El Djem,1,14.19,441,0,0,441,441
oai:u-bordeaux-montaigne.fr:340530,Chebba,1,11.69,928,0,0,928,319
oai:u-bordeaux-montaigne.fr:340531,Bou Chebka,1,21.13,566,0,0,566,401
oai:u-bordeaux-montaigne.fr:340532,Kasserine,1,14.04,1195,0,0,1195,326
oai:u-bordeaux-montaigne.fr:340533,Djebeniana,1,33.87,1158,0,0,1158,335
oai:u-bordeaux-montaigne.fr:340534,,1,18.54,1113,0,0,1113,481
oai:u-bordeaux-montaigne.fr:340535,,1,54.34,1072,0,0,1072,528
oai:u-bordeaux-montaigne.fr:340616,,0,42.0,6156,0,0,6156,719
oai:u-bordeaux-montaigne.fr:340629,,0,8.35,711,0,0,711,224
