record_id,sheet_name,anchor_confident,residual_rms_m,building,well,vegetation,total,clipped_out
oai:u-bordeaux-montaigne.fr:340354,Kef Abbed,1,50.13,143,0,0,143,604
oai:u-bordeaux-montaigne.fr:340355,Bizerte,1,16.78,892,0,0,892,287
oai:u-bordeaux-montaigne.fr:340356,Metline,1,12.67,437,0,0,437,351
oai:u-bordeaux-montaigne.fr:340367,Cap Negro,1,8.78,891,0,0,891,478
oai:u-bordeaux-montaigne.fr:340368,Oued Sedjenane,1,17.24,920,0,0,920,289
oai:u-bordeaux-montaigne.fr:340369,Djebel Ichkeul,1,15.42,1288,0,0,1288,459
oai:u-bordeaux-montaigne.fr:340370,Porto-Farina,1,15.6,712,0,0,712,674
oai:u-bordeaux-montaigne.fr:340372,Sidi Daoud,1,10.45,471,0,0,471,562
oai:u-bordeaux-montaigne.fr:340373,Cap Bon,1,49.38,462,0,0,462,563
oai:u-bordeaux-montaigne.fr:340375,Hedil,1,61.62,688,0,0,688,621
oai:u-bordeaux-montaigne.fr:340376,Mateur,1,11.57,1537,0,0,1537,635
oai:u-bordeaux-montaigne.fr:340387,Ariana,1,48.75,1434,0,0,1434,574
oai:u-bordeaux-montaigne.fr:340389,La Marsa,1,11.37,987,0,0,987,477
oai:u-bordeaux-montaigne.fr:340391,Tazoghrane,1,16.69,1164,0,0,1164,649
oai:u-bordeaux-montaigne.fr:340393,Béja,1,9.67,842,0,0,842,667
oai:u-bordeaux-montaigne.fr:340394,Tebourba,1,12.89,1774,0,0,1774,470
oai:u-bordeaux-montaigne.fr:340395,Tunis,1,61.92,3564,0,0,3564,398
oai:u-bordeaux-montaigne.fr:340410,Menzel Bou Zelfa,1,33.73,2292,0,0,2292,470
oai:u-bordeaux-montaigne.fr:340411,Mennzel Heurr,1,55.63,743,0,0,743,0
oai:u-bordeaux-montaigne.fr:340412,Oued-Zarga,1,13.57,1194,0,0,1194,518
oai:u-bordeaux-montaigne.fr:340413,Medjez-el-Bab,1,40.14,2534,0,0,2534,379
oai:u-bordeaux-montaigne.fr:340414,Oudna,1,12.48,1690,0,0,1690,456
oai:u-bordeaux-montaigne.fr:340415,Grombalia,1,18.64,1855,0,0,1855,522
oai:u-bordeaux-montaigne.fr:340416,Nabeul,1,8.78,1684,0,0,1684,591
oai:u-bordeaux-montaigne.fr:340427,Ghardimaou,1,19.29,737,0,0,737,497
oai:u-bordeaux-montaigne.fr:340428,Souk el Arba,1,66.92,1358,0,0,1358,416
oai:u-bordeaux-montaigne.fr:340429,Teboursouk,1,13.83,850,0,0,850,564
oai:u-bordeaux-montaigne.fr:340430,Bou Arada,1,31.67,1543,0,0,1543,416
oai:u-bordeaux-montaigne.fr:340431,Zaghouan,1,50.09,1711,0,0,1711,573
oai:u-bordeaux-montaigne.fr:340432,Bou Ficha,1,14.49,1315,0,0,1315,423
oai:u-bordeaux-montaigne.fr:340433,Hammamet,1,9.11,229,0,0,229,585
oai:u-bordeaux-montaigne.fr:340434,Ouargha,1,18.12,508,0,0,508,553
oai:u-bordeaux-montaigne.fr:340435,Nebeur,1,12.6,923,0,0,923,487
oai:u-bordeaux-montaigne.fr:340436,Gafour,1,19.39,778,0,0,778,571
oai:u-bordeaux-montaigne.fr:340447,Djebel Mansour,1,17.6,1509,0,0,1509,598
oai:u-bordeaux-montaigne.fr:340448,Djebel Fkirine,1,15.44,1074,0,0,1074,541
oai:u-bordeaux-montaigne.fr:340449,Enfidaville,1,51.44,824,0,0,824,532
oai:u-bordeaux-montaigne.fr:340451,Le Kef,1,12.6,663,0,0,663,454
oai:u-bordeaux-montaigne.fr:340452,Les Salines,1,13.95,781,0,0,781,662
oai:u-bordeaux-montaigne.fr:340453,Siliana,1,41.66,1038,0,0,1038,511
oai:u-bordeaux-montaigne.fr:340454,Djebel Bargou,1,25.0,1227,0,0,1227,418
oai:u-bordeaux-montaigne.fr:340455,Djebibina,1,14.11,511,0,0,511,444
oai:u-bordeaux-montaigne.fr:340456,Sidi Bou Ali,1,14.3,870,0,0,870,349
oai:u-bordeaux-montaigne.fr:340468,Halk El Mennzel,1,52.24,163,0,0,163,434
oai:u-bordeaux-montaigne.fr:340470,Tadjerouine,1,16.48,724,0,0,724,424
oai:u-bordeaux-montaigne.fr:340471,Ebba Ksour,1,28.58,1449,0,0,1449,511
oai:u-bordeaux-montaigne.fr:340472,Maktar,1,19.55,1628,0,0,1628,474
oai:u-bordeaux-montaigne.fr:340473,Djebel Serdj,1,17.75,1154,0,0,1154,381
