designation,sheet_name,early_record_id,late_record_id,early_catalogue_year,late_catalogue_year,early_survey_years,late_survey_years,late_revision_years,same_survey,survey_gap_years,shared_km2,early_total,late_total,early_in_shared,late_in_shared,count_ratio,matched,early_only,late_only,matched_share,matched_share_250m,matched_share_400m,matched_share_600m,matched_distance_median_m,twin_offset_m
B0-C36,Porto-Farina,oai:u-bordeaux-montaigne.fr:340371,oai:u-bordeaux-montaigne.fr:340370,1902,1935,1891,1900 1930 1931 1932,1931 1932,0,41,605.1,626,712,624,700,1.122,236,388,464,0.3782,0.3189,0.3782,0.4071,148.7,188.7
B1-C37,La Marsa,oai:u-bordeaux-montaigne.fr:340390,oai:u-bordeaux-montaigne.fr:340389,1902,1932,1891,1891,,1,0,620.9,429,987,413,909,2.201,208,205,701,0.5036,0.4407,0.5036,0.5085,108.1,858.6
B2-C36,Tunis,oai:u-bordeaux-montaigne.fr:340396,oai:u-bordeaux-montaigne.fr:340395,1902,1935,1889,1889,,1,0,606.5,2194,3564,2145,3267,1.523,1056,1089,2211,0.4923,0.4718,0.4923,0.5007,101.5,240.9
B6-C37,Sidi Bou Ali,oai:u-bordeaux-montaigne.fr:340467,oai:u-bordeaux-montaigne.fr:340456,,1931,1892,1892,,1,0,606.6,895,870,842,728,0.865,341,501,387,0.405,0.3789,0.405,0.4192,180.3,221.1
B6-C38,Halk El Mennzel,oai:u-bordeaux-montaigne.fr:340469,oai:u-bordeaux-montaigne.fr:340468,,1931,1892,1892,,1,0,605.4,29,163,23,90,3.913,9,14,81,0.3913,0.1304,0.3913,0.6522,306.1,1085.4
B7-C38,Sousse,oai:u-bordeaux-montaigne.fr:340487,oai:u-bordeaux-montaigne.fr:340476,,1931,1892,1892,,1,0,607.2,1073,1404,971,1208,1.244,400,571,808,0.4119,0.3471,0.4119,0.4511,128.0,857.7
