record_id,title,year,year_earliest,year_latest,century,date,creators,publisher,scale,physical_description,views,subjects,coverage,description,language,holding,rights,doc_type,gallica_typedoc,confidence,matched_signal,matched_labels,matched_queries,url,iiif_manifest,provenance,thumbnail,catalogue_notice,alt_titles,internal_id
btv1b84909709,Disigno dell'Isola de Gerbi... et il sito della fortezza fatta da christiani... bastara à diffenderla dall'insulti de l'armata Turchesca,1560,1560,1560,16th c.,1560,,[s.n.],1:245 600,1 flle ; 440 x 298,1,"Théâtre de la guerre | Batailles navales | Djerba, Île de -- Siègesart militaire)",Tunisie,Échelle(s) : Miglia 30 [=Om. 224 ; 1:245 600 environ],ita,"Bibliothèque nationale de France, département Cartes et plans, GE D-13953",domaine public | public domain,map | carte | image fixe | image | still image,cartes,high,tunis,country | island,djerba | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b84909709,https://gallica.bnf.fr/iiif/ark:/12148/btv1b84909709/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b84909709.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb405939263,,IFN-8490970
btv1b550051358,Fortezza di Gerbi,1560,1560,1560,16th c.,1560,,[s.n.],1:1 030,"1 flle ; 40 x 27,8 cm",1,"Forteresses | Djerba, Île de | Personnages",Tunisie,"Échelle(s) : [1:1 030 environ], Canne 60 [= 15,4 cm]",ita,"Bibliothèque nationale de France, département Cartes et plans, GE DD-626 (64 RES)",domaine public | public domain,plan | plan | view | vue | image fixe | image | still image,cartes,high,tunis,country | island,djerba | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b550051358,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550051358/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b550051358.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb41435795k,,IFN-55005135
btv1b55008266c,"Plantz, pourtraitz et descriptions de plusieurs villes et forteresses, tant de l'Europe, Asie, & Afrique, que des Indes, & terres neuves: Leurs fondations, antiquitez, & manieres de vivre: Avec plusieurs cartes generales & particulieres, servans à la Cosmographie, iointes à leurs declarations: deux tables fort amples, l'une des chapitres, & l'autre des matieres contenues en ce present livre. Le tout mis par ordre, region par region, par Antoine du Pinet",1564,1564,1564,16th c.,1564,"Du Pinet, Antoine (1510?-15..). Cartographe | Apian, Philip (1531-1589). Auteur adapté | Gemma Frisius (1508-1555). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Münster, Sebastian (1489-1552). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Münster, Sebastian (1489-1552). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Münster, Sebastian (1489-1552). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Laurence (17..-17.. ; dessinateur). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Manuel, Hans Rudolf (1525-1571). Graveur | Guéroult, Guillaume (1507?-1569). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Münster, Sebastian (1489-1552). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Guéroult, Guillaume (1507?-1569). Auteur adapté | Münster, Sebastian (1489-1552). Auteur adapté | Münster, Sebastian (1489-1552). Auteur adapté | Münster, Sebastian (1489-1552). Auteur adapté | Münster, Sebastian (1489-1552). Auteur adapté | Münster, Sebastian (1489-1552). Auteur adapté | Ramusio, Giovanni Battista (1485-1557). Auteur adapté | Bordoni, Benedetto (1450?-1530). Auteur adapté","A Lyon, Par Ian d'Ogerolles. M.D.LXIIII",,"1 atlas, 33 x 22 cm, [8]-VXXXVI-308-[21] p., sign.*4, &-y6, a6, b4, c-h6, i-t4, v-z6, A-D46, E6, F-G4, H-K6: 41 cartes, vignettes",362,Villes | Afrique | Asie | Europe,Monde,,fre,"Bibliothèque nationale de France, département Cartes et plans, GE DD-322",domaine public | public domain,atlas | atlas | image fixe | image | still image,cartes,medium,,city,medenine,https://gallica.bnf.fr/ark:/12148/btv1b55008266c,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55008266c/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b55008266c.thumbnail,http://catalogue.bnf.fr/ark:/12148/cb405926877,,IFN-55008266
btv1b8490778x,Benigni lettori / per reppresentarvi piu particulari della citta di Tunisi...,1566,1566,1566,16th c.,1566,"Zaltieri, Bolognino (15..-15.. ; imprimeur-libraire). Auteur du texte",ex aeneis formis Bolognini Zalterii (Venetiis),1:150 000,1 flle ; 387 x 268,1,Théâtre de la guerre | Théâtre de la guerre | Tunis -- Environs,Tunisie,Échelle(s) : [1:150 000 environ],ita,"Bibliothèque nationale de France, département Cartes et plans, GE D-13983",domaine public | public domain,map | carte | image fixe | image | still image,cartes,high,tunis,city | country,tunis | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b8490778x,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8490778x/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b8490778x.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb405939263,,IFN-8490778
btv1b85953649,Benigni lettori per rappresentavi piu particulari della citta di Tunisi ...,1566,1566,1566,16th c.,1566,,ex aeneis formis Bolognini Zaltierii (Venetiis),,"1 feuille ; 40,5 x 49 cm",1,Tunis | La Goulette | Navires à voiles,Tunisie,[Benigni lettori per rappresentavi piu particulari della citta di Tunisi ...] | Appartient à l’ensemble documentaire : AnvilAf | Appartient à l’ensemble documentaire : MAEDI008 | Appartient à l’ensemble documentaire : MAEDIGen0,ita,"Bibliothèque nationale de France, département Cartes et Plans, GE DD-2987 (7992)",domaine public | public domain,image fixe | image | still image,cartes,high,tunis,city | country,la goulette | tunis | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b85953649,https://gallica.bnf.fr/iiif/ark:/12148/btv1b85953649/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b85953649.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb40577015h,,IFN-8595364
btv1b55000296v,Citta di Tunisi,1566,1566,1566,16th c.,1566,,ex aeneis formis Bolognini Zalterii (Venetiis),1:150 000,1 carte : ill. ; 39 x 27 cm,1,Théâtre de la guerre | Tunis -- Environs,Tunisie,Échelle(s) : [1:150 000 environ],ita,"Bibliothèque nationale de France, département Cartes et plans, GE DD-1140 (109 RES)",domaine public | public domain,map | carte | image fixe | image | still image,cartes,high,tunis,city | country,tunis | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b55000296v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55000296v/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b55000296v.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb414461376,,IFN-55000296
btv1b55004731d,Citta di Tunisi...,1566,1566,1566,16th c.,1566,,ex aeneis formis Bolognini Zalterii (Venetiis),1:150 000,1 carte : ill. ; 39 x 27 cm,1,Camps militaires | Théâtre de la guerre | Tunis -- Environs,Tunisie,Échelle(s) : [ca 1:150 000],ita,"Bibliothèque nationale de France, département Cartes et plans, GE DD-626 (62 RES)",domaine public | public domain,map | carte | image fixe | image | still image,cartes,high,tunis,city | country,tunis | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b55004731d,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55004731d/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b55004731d.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb41435795k,,IFN-55004731
btv1b550000800,Disegno de la Goletta,1570,1570,1570,16th c.,1570,,[s.n.],1:2 900,"1 plan ; 32,5 x 24 cm",1,Fortifications | La Goulette -- Fortifications,Tunisie,"Échelle(s) : [1:2 900 environ], Canne 58 [= 4,2 cm]",ita,"Bibliothèque nationale de France, département Cartes et plans, GE DD-1140 (108 RES)",domaine public | public domain,map | carte | image fixe | image | still image,cartes,high,tunis,city | country | historic,goletta | la goulette | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b550000800,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550000800/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b550000800.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb414461376,,IFN-55000080
btv1b8440179w,Disegno de la Goletta... Canne 50 [=Om. 042 ; 1 : 2 900 environ],1570,1570,1570,16th c.,1570,,[s.n.],,1 flle ; 322 x 240,1,Fortifications | La Goulette -- Fortifications,Tunisie,,ita,"Bibliothèque nationale de France, département Cartes et plans, GE D-1281",domaine public | public domain,map | carte | image fixe | image | still image,cartes,high,tunis,city | country | historic,goletta | la goulette | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b8440179w,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8440179w/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b8440179w.thumbnail,http://catalogue.bnf.fr/ark:/12148/cb40644593h,,IFN-8440179
btv1b53042292h,Insularum aliquot maris Mediterranei descriptio / par Jacobo Castaldo,1570,1570,1570,16th c.,1570,"Gastaldi, Giacomo (1500?-1566). Cartographe | Ortelius, Abraham (1527-1598). Auteur du texte",[s.n.] (),,1 carte : ill. ; 42 x 49 cm,2,"Galères | Sardaigne | Sicile, Île de | Corfou, Île de | Djerba, Île de | Elbe, Île d' | Malte | Navires à voiles",Italie – Sicile | Tunisie | Italie – Toscane | Malte,Appartient à l’ensemble documentaire : MAEDI008 | Appartient à l’ensemble documentaire : MAEDIGen0,lat,"Bibliothèque nationale de France, département Cartes et plans, GE DD-2987 (5682)",domaine public | public domain,map | carte | image fixe | image | still image,cartes,high,tunis,country | island,djerba | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b53042292h,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53042292h/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b53042292h.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb40577015h,,IFN-53042292
btv1b55005280g,"La notte del ultimo di Febraro 1570 havendo il molto Ill. sigr. Don Alfonso Pimentel Capitan Gnal de la Goleta inteso / per le sue spie, che Uxli teneva sette barchoni à la Porta di Tunise...",1570,1570,1570,16th c.,1570,,[s.n.],,1 flle ; 520 x 380,1,Sièges (art militaire) | Théâtre de la guerre | Tunis -- Siègesart militaire) | Tunis -- Plans de ville,Tunisie,,ita,"Bibliothèque nationale de France, département Cartes et plans, GE D-1280 (RES)",domaine public | public domain,map | carte | image fixe | image | still image,cartes,high,tunis,city | country | historic,goletta | tunis | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b55005280g,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55005280g/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b55005280g.thumbnail,Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb40632641v,,IFN-55005280
btv1b55000483v,"La notte del ultimo di Febraro 1570 havendo il molto Ill. sigr. Don Alfonso Pimentel Capitan Gnal de la Goleta inteso per le sue spie, che Uxli teneva sette barchoni à la Porta di Tunise...",1570,1570,1570,16th c.,1570,"Pimental, Alfonso (15..-15..). Cartographe",[s.n.],,1 carte ; 52 x 38 cm,1,Sièges (art militaire) | Théâtre de la guerre | Tunis -- Siègesart militaire) | La Goulette -- Siègesart militaire),Tunisie,,ita,"Bibliothèque nationale de France, département Cartes et plans, GE DD-1140 (110 RES)",domaine public | public domain,map | carte | image fixe | image | still image,cartes,high,tunis,city | country | historic,goletta | la goulette | tunis | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b55000483v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55000483v/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b55000483v.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb414461376,,IFN-55000483
btv1b101004136,"Natoliae, quae olim Asia Minor, nova descriptio ; Aegypti recentior descriptio ; Carthaginis celeberrimi sinus typus",1570,1570,1570,16th c.,1570,"Ortelius, Abraham (1527-1598). Cartographe",[Ant. Coppenius Diesth] (Antverpiae),,3 cartes sur une flle. : en coul. ; 41 x 55 cm,2,Asie Mineure | Asie Mineure ancienne | Égypte | Tunisie,Afrique septentrionale | Asie occidentale,Échelle(s) : [Échelle non déterminable] | Numérisé par le partenaire | Appartient à l’ensemble documentaire : BNUStras1 | Appartient à l’ensemble documentaire : BNUStr054 | Appartient à l’ensemble documentaire : BNUStr000 | Appartient à l’ensemble documentaire : BNUStr072 | Cartes anciennes,lat,"Bibliothèque nationale et universitaire de Strasbourg, CARTE91256-2",domaine public | public domain,map | carte | image fixe | image | still image,cartes,high,tunis,country,tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b101004136,https://gallica.bnf.fr/iiif/ark:/12148/btv1b101004136/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b101004136.thumbnail,http://catalogue.bnf.fr/ark:/12148/cb44409326d,,IFN-10100413
oai:patrimoine-numerique.ville-valenciennes.fr:ark:/29755/B_596066101_MS_0488/F_002,[Carte de l'Europe de l'Ouest et de l'Afrique du Nord],1572,1572,1572,16th c.,1572,"Holives, Jaime. Editeur",,,"Peinture sur vélin ; 44 x 58,8 cm (cadre), 46 x 60 cm (feuille)",,Rose des vents | Rumb | Afrique | Europe | Carte nautique | Portulan | Montagne | Fleuve | Ville | Tropique du Cancer | Mer Méditerranée | Île | Sardaigne | Corse | Roi | Fleuve | Venise | France | Espagne | Angleterre | Îles Britanniques | Italie | Guinée | Fès | Tunis | Océan Atlantique | Islande | Mer du Nord | Mer Baltique,,,cat,"Bibliothèque municipale de Valenciennes, Ms 0488, f. 002",,image | document cartographique | cartographic resource | plan | plan,cartes,high,tunis,city,tunis,https://patrimoine-numerique.ville-valenciennes.fr/ark:/29755/B_596066101_MS_0488/F_002,,Bibliothèque numérique de Valenciennes,https://patrimoine-numerique.ville-valenciennes.fr/in/rest/Thumb/image?id=ark:/29755/B_596066101_MS_0488/F_002&amp;mat=ManuscriptMap,,,
btv1b84946797,Fortezza di Gerbi,1573,1573,1573,16th c.,1573,,[s.n.],1:2 500,1 flle ; 400 x 275,1,"Citadelles | Djerba, Île de",Tunisie,Échelle(s) : Canne 60 [=Om. 154 ; 1:2 500 ca],ita,"Bibliothèque nationale de France, département Cartes et plans, GE D-17029",domaine public | public domain,map | carte | image fixe | image | still image,cartes,high,tunis,country | island,djerba | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b84946797,https://gallica.bnf.fr/iiif/ark:/12148/btv1b84946797/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b84946797.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb40593927f,,IFN-8494679
btv1b55005028t,"Il novo disegno di Tunisi et la Goletta fatto con le factioni haute e gl'ultimi duisi, con l'annotatione de beloardi de la nova fortezza tra Tunisi et lo Stagno...",1574,1574,1574,16th c.,1574,,[s.n.] (In Roma),1:60 000,1 carte : ill. ; 46 x 31 cm,1,Théâtre de la guerre | Tunis -- Environs -- Batailles | La Goulette -- Environs -- Batailles,Tunisie,Échelle(s) : [1:60 000 environ],ita,"Bibliothèque nationale de France, département Cartes et plans, GE DD-626 (63 RES)",domaine public | public domain,map | carte | image fixe | image | still image,cartes,high,tunis,city | country | historic,goletta | la goulette | tunis | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b55005028t,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55005028t/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b55005028t.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb41435795k,,IFN-55005028
btv1b550051714,Pianta del forto novo de Tunisi,1574,1574,1574,16th c.,1574,,[s.n.],1:3 800,"1 plan ; 31 x 45,5 cm",1,Forteresses | Tunis,Tunisie,"Échelle(s) : [1:3 800 environ], Cane numero 100 [= 6,9 cm]",ita,"Bibliothèque nationale de France, département Cartes et plans, GE DD-626 (61 RES)",domaine public | public domain,plan | plan | image fixe | image | still image,cartes,high,tunis,city | country,tunis | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b550051714,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550051714/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b550051714.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb41435795k,,IFN-55005171
