record_id,title,year,year_earliest,year_latest,century,date,creators,publisher,scale,physical_description,views,subjects,coverage,description,language,holding,rights,doc_type,gallica_typedoc,confidence,matched_signal,matched_labels,matched_queries,url,iiif_manifest,provenance,thumbnail,catalogue_notice,alt_titles,internal_id
btv1b532811808,Carte marine [de la Méditerranée occidentale] : dessinée en 1318 et dont l'original se trouve à la Bibliothèque Imp. et Roy. de Vienne / par Visconti ; copie de l'exemplaire appartenant à M. Louis Halphen...,1318,1318,1318,14th c.,1318,Visconti (12..?-13..). Cartographe,,1:6 334 578,"1 calque sur feuille : ms., col. ; 22 x 21,5 cm (carte), 29,5 x 37,5 cm (support)",2,"Triangulation | Méditerranée, Mer -- Centre-Ouest | Tyrrhénienne, Mer | Ligurienne, Mer | Sicile, Détroit de | France -- Sud -- Côtes | Italie -- Ouest -- Côtes | Algérie -- Côtes | Tunisie -- Nord -- Côtes | Corse, Île de | Sicile, Île de | Sardaigne, Île de",Mer Méditerranée – Bassin Ouest,"Ancien possesseur : Halphen, Louis (1824-1880). Ancien possesseur | Échelle(s) : [1:6 334 578 environ] | Ancien possesseur : Halphen, Louis (1824-1880)",ita | fre,"Bibliothèque nationale de France, département Cartes et plans, GE SH 18 PF 63 P 26 D",domaine public | public domain,manuscript cartographic resource | document cartographique manuscrit | map | carte | image fixe | image | still image,cartes,high,tunis,country,tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b532811808,https://gallica.bnf.fr/iiif/ark:/12148/btv1b532811808/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b532811808.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb471420060,,IFN-53281180
btv1b8595355b,Disegno dell'isola de Gerbi con le seche che la difendeno dall'inondatione del mare ...,1500,1500,1599,16th c.,1500-1599,,[s.n.],,1 feuille ; 46 x 49 cm,1,Galères | Batailles navales | Djerba,Tunisie,[Disegno dell'isola de Gerbi con le seche che la difendeno dall'inondatione del mare ...] | Appartient à l’ensemble documentaire : AnvilAf | Appartient à l’ensemble documentaire : MAEDI008 | Appartient à l’ensemble documentaire : MAEDIGen0,ita,"Bibliothèque nationale de France, département Cartes et Plans, GE DD-2987 (7984)",domaine public | public domain,image fixe | image | still image,cartes,high,tunis,country | island,djerba | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b8595355b,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8595355b/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b8595355b.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb40577015h,,IFN-8595355
btv1b8595356r,Fortezza di Gerbi,1500,1500,1500,16th c.,1500,,[s.n.],,"1 feuille ; 27,5 x 40 cm",1,Galères | Djerba,Tunisie,[Fortezza di Gerbi] | Appartient à l’ensemble documentaire : AnvilAf | Appartient à l’ensemble documentaire : MAEDI008 | Appartient à l’ensemble documentaire : MAEDIGen0,ita,"Bibliothèque nationale de France, département Cartes et Plans, GE DD-2987 (7985)",domaine public | public domain,image fixe | image | still image,cartes,high,tunis,country | island,djerba | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b8595356r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8595356r/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b8595356r.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb40577015h,,IFN-8595356
btv1b8595372v,Il vero sito de La Goletta,1500,1500,1599,16th c.,1500-1599,,[s.n.],,"1 feuille ; 25,5 x 34,5 cm",1,La Goulette | La Goulette,Tunisie,[Il vero sito de La Goletta] | Appartient à l’ensemble documentaire : AnvilAf | Appartient à l’ensemble documentaire : MAEDI008 | Appartient à l’ensemble documentaire : MAEDIGen0,ita,"Bibliothèque nationale de France, département Cartes et Plans, GE DD-2987 (7999)",domaine public | public domain,image fixe | image | still image,cartes,high,tunis,city | country | historic,goletta | la goulette | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b8595372v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8595372v/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b8595372v.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb40577015h,,IFN-8595372
btv1b8595365q,Carthaginis celeberrimi sinus typus,1535,1535,1535,16th c.,1535,,[s.n.],,"1 feuille ; 14,5 x 23 cm",1,Tunis | Carthage,Tunisie,[Carthaginis celeberrimi sinus typus] | Appartient à l’ensemble documentaire : AnvilAf | Appartient à l’ensemble documentaire : MAEDI008 | Appartient à l’ensemble documentaire : MAEDIGen0,lat,"Bibliothèque nationale de France, département Cartes et Plans, GE DD-2987 (7993 RECTO)",domaine public | public domain,image fixe | image | still image,cartes,high,tunis,city | country,carthage | tunis | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b8595365q,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8595365q/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b8595365q.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb40577015h,,IFN-8595365
btv1b8595345z,"Constantina, Tunetensis, Tripolitana / [Livio Sanuto]",1558,1558,1558,16th c.,1558,"Sanuto, Livio (1520-1576). Cartographe",[s.n.],,1 feuille ; 49 x 65 cm,1,Barbarie | Tunis | Tripoli | Constantine,Afrique (parties) | Algérie,"[Constantina, Tunetensis, Tripolitana] | Appartient à l’ensemble documentaire : AnvilAf | Appartient à l’ensemble documentaire : MAEDI008 | Appartient à l’ensemble documentaire : MAEDIGen0",lat,"Bibliothèque nationale de France, département Cartes et Plans, GE DD-2987 (7976)",domaine public | public domain,image fixe | image | still image,cartes,high,tunis,city,tunis,https://gallica.bnf.fr/ark:/12148/btv1b8595345z,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8595345z/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b8595345z.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb40577015h,,IFN-8595345
btv1b84904710,[Castello del bazzaro],1560,1560,1560,16th c.,1560,,[s.n.],1:1 030,1 flle ; 500 x 380,1,"Forteresses | Djerba, Île de | Personnages",Tunisie,Échelle(s) : Canne 60 [=Om. 154 ; 1:1 030 environ],ita,"Bibliothèque nationale de France, département Cartes et plans, GE D-13954",domaine public | public domain,map | carte | view | vue | image fixe | image | still image,cartes,high,tunis,country | island,djerba | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b84904710,https://gallica.bnf.fr/iiif/ark:/12148/btv1b84904710/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b84904710.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb405939263,,IFN-8490471
btv1b55005215t,"Disigno dell'Isola de Gerbi con le seche che la difendeno dall'inodatione del mare, et il sito della fortezza fatta da Christiani alla defesa della quala vi è restato cinq[ue] millia valorosi soldati, e buona provisione di vituaglie e monitione che con l'aiuto di Dio bastara a diffenderla dall'insulti de l'armata Turchescha",1560,1560,1560,16th c.,1560,,[s.n.],1:245 600,"1 flle ; 44 x 29,8 cm",1,"Théâtre de la guerre | Batailles navales | Djerba, Île de -- Siègesart militaire)",Tunisie,"Échelle(s) : [1:245 600 environ], Miglia 30 [= 22,4 cm]",ita,"Bibliothèque nationale de France, département Cartes et plans, GE DD-626 (65 RES)",domaine public | public domain,map | carte | image fixe | image | still image,cartes,high,tunis,country | island,djerba | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b55005215t,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55005215t/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b55005215t.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb41435795k,,IFN-55005215
btv1b55000007t,"Disigno dell'Isola de Gerbi con le seche che la difendeno dall'inodavone del mare, et il sito della fortezza fatta da Christiani alla defesa della quala vi è restato cinq. millia valorosi soldati e buona provisione di vituaglie e monitione che con l'aiuto di Dio bastara a diffenderla dall'insulti de l'armata Turchesca",1560,1560,1560,16th c.,1560,,[s.n.],1:245 600,1 flle ; 44 x 30 cm,1,"Théâtre de la guerre | Batailles navales | Djerba, Île de -- Siègesart militaire)",Tunisie,"Échelle(s) : [1:245 600 environ], Miglia 30 [= 22,4 cm]",ita,"Bibliothèque nationale de France, département Cartes et plans, GE CC-1380 (79 RES)",domaine public | public domain,map | carte | image fixe | image | still image,cartes,high,tunis,country | island,djerba | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b55000007t,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55000007t/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b55000007t.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb414156967,,IFN-55000007
btv1b550001148,"Disigno dell'Isola de Gerbi con le seche che la difendeno dall'inodavone del mare, et il sito della fortezza fatta da Christiani alla defesa della quala vi è restato cinq. millia valorosi soldati e buona provisione di vituaglie e monitione che con l'aiuto di Dio bastara a diffenderla dall'insulti de l'armata Turchesca",1560,1560,1560,16th c.,1560,,[s.n.],1:245 600,"1 flle ; 44 x 29,8 cm",1,"Théâtre de la guerre | Batailles navales | Djerba, Île de -- Siègesart militaire)",Tunisie,"Échelle(s) : [1:245 600 environ], Miglia 30 [= 22,4 cm]",ita,"Bibliothèque nationale de France, département Cartes et plans, GE DD-1140 (64 RES)",domaine public | public domain,map | carte | image fixe | image | still image,cartes,high,tunis,country | island,djerba | tunisia | tunisie,https://gallica.bnf.fr/ark:/12148/btv1b550001148,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550001148/manifest.json,Gallica,https://gallica.bnf.fr/ark:/12148/btv1b550001148.thumbnail,Notice de recueil : http://catalogue.bnf.fr/ark:/12148/cb414461376,,IFN-55000114
