record_id,designation,sheet_name,revision_year,corner_unit,bbox_uncertainty_lon_m,bbox_uncertainty_lat_m,metres_per_pixel,resolution_basis,grid_uncertainty_m,symbol_centre_uncertainty_m,width_arcmin,height_arcmin,extent_plausible,recommended_control,url
oai:u-bordeaux-montaigne.fr:340629,,,,minute,775,926,4.27,measured_grid,9,17,16.0,12.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340629
oai:u-bordeaux-montaigne.fr:340628,,,1940,minute,770,926,4.27,measured_grid,9,17,15.0,13.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340628
oai:u-bordeaux-montaigne.fr:340627,,,1934,minute,765,926,4.26,series_median,9,17,21.0,10.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340627
oai:u-bordeaux-montaigne.fr:340616,,,,minute,762,926,4.27,measured_grid,9,17,21.0,11.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340616
oai:u-bordeaux-montaigne.fr:340516,B10-C35,Hadjeb el Aïoun,1933,minute,757,926,4.2,measured_grid,8,17,21.0,11.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340516
oai:u-bordeaux-montaigne.fr:340529,B10-C38,El Djem,1931,minute,757,926,4.24,measured_grid,8,17,21.0,12.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340529
oai:u-bordeaux-montaigne.fr:340452,B6-C33,Les Salines,1929,minute,750,926,4.27,measured_grid,9,17,21.0,10.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340452
oai:u-bordeaux-montaigne.fr:340451,B6-C32,Le Kef,1925,minute,749,926,4.27,measured_grid,9,17,22.0,11.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340451
oai:u-bordeaux-montaigne.fr:340436,B5-C34,Gafour,1922,minute,748,926,4.27,measured_grid,9,17,21.0,11.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340436
oai:u-bordeaux-montaigne.fr:340416,B3-C38,Nabeul,1932,minute,746,926,4.27,measured_grid,9,17,21.0,11.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340416
oai:u-bordeaux-montaigne.fr:340615,,,1946,minute,743,926,4.26,series_median,9,17,29.0,10.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340615
oai:u-bordeaux-montaigne.fr:340393,B2-C34,Béja,1902,minute,743,926,4.27,measured_grid,9,17,22.0,10.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340393
oai:u-bordeaux-montaigne.fr:340387,B1-C36,Ariana,1936,minute,742,926,4.24,measured_grid,8,17,22.0,11.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340387
oai:u-bordeaux-montaigne.fr:340390,B1-C37,La Marsa,1902,minute,742,926,4.26,series_median,9,17,21.0,12.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340390
oai:u-bordeaux-montaigne.fr:340389,B1-C37,La Marsa,1932,minute,742,926,4.27,measured_grid,9,17,21.0,12.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340389
oai:u-bordeaux-montaigne.fr:340391,B1-C38,Tazoghrane,1932,minute,742,926,4.27,measured_grid,9,17,21.0,10.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340391
oai:u-bordeaux-montaigne.fr:340373,B0-C39,Cap Bon,1932,minute,741,926,4.27,measured_grid,9,17,21.0,11.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340373
oai:u-bordeaux-montaigne.fr:340375,B1-C34,Hedil,1932,minute,741,926,4.27,measured_grid,9,17,21.0,11.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340375
oai:u-bordeaux-montaigne.fr:340376,B1-C35,Mateur,1936,minute,741,926,4.24,measured_grid,8,17,21.0,11.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340376
oai:u-bordeaux-montaigne.fr:340369,B0-C35,Djebel Ichkeul,1936,minute,740,926,4.27,measured_grid,9,17,21.0,12.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340369
oai:u-bordeaux-montaigne.fr:340371,B0-C36,Porto-Farina,1902,minute,740,926,4.26,series_median,9,17,21.0,10.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340371
oai:u-bordeaux-montaigne.fr:340370,B0-C36,Porto-Farina,1935,minute,740,926,4.27,measured_grid,9,17,21.0,10.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340370
oai:u-bordeaux-montaigne.fr:340372,B0-C38,Sidi Daoud,1932,minute,740,926,4.24,measured_grid,8,17,21.0,11.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340372
oai:u-bordeaux-montaigne.fr:340367,B0-C33,Cap Negro,1922,minute,739,926,4.27,measured_grid,9,17,23.0,11.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340367
oai:u-bordeaux-montaigne.fr:340368,B0-C34,Oued Sedjenane,1932,minute,739,926,4.27,measured_grid,9,17,23.0,12.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340368
oai:u-bordeaux-montaigne.fr:340355,B0-C35,Bizerte,1936,minute,738,926,4.27,measured_grid,9,17,23.0,12.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340355
oai:u-bordeaux-montaigne.fr:340354,B00-C34,Kef Abbed,1931,minute,738,926,4.27,measured_grid,9,17,22.0,11.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340354
oai:u-bordeaux-montaigne.fr:340356,B00-C36,Metline,,minute,738,926,4.24,measured_grid,8,17,22.0,12.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340356
oai:u-bordeaux-montaigne.fr:340374,B1-C33,Nefza,1922,minute,734,926,4.27,measured_grid,9,17,21.0,11.0,1,kilometric_grid,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340374
oai:u-bordeaux-montaigne.fr:340533,,Djebeniana,1940,second,13,15,4.24,measured_grid,8,17,21.6,11.87,1,kilometric_grid (bbox usable as fallback),https://1886.u-bordeaux-montaigne.fr/s/1886/item/340533
