n,caidat,muslims_tunisian,muslims_total,population_total
1,Aïn-Draham,37388,37930,37961
2,Aradh,62732,63199,66153
3,Béja,70379,71213,72202
4,Bizerte,63537,67585,68907
5,Djebeniana,49512,50560,50636
6,Djelass,91992,93017,93157
7,Djerba,43793,43841,47969
8,Djerid,41399,43887,44234
9,Fraïchiches,37224,39043,39085
10,Gafsa,49553,58486,59245
11,Hammama,58619,58953,59010
12,Kairouan,68381,68943,69179
13,La Skhira,29367,29758,29811
14,Le Kef,69047,74782,75858
15,Madjeurs,67709,68503,68734
16,Mahdia,69971,70491,70968
17,Mateur,60029,62065,62514
18,Matmata,19474,19573,19805
19,Medjez-el-Bab,48797,50581,50722
20,Monastir,80508,80787,81604
21,Nabeul,88172,90024,91843
22,Nefzaoua,34554,34740,35112
23,Ouerghemma,69199,70069,71923
24,Oulad-Aoun,29100,30827,30923
25,Oulad-Ayar,34046,34278,34289
26,Sfax,116312,123003,126061
27,Soliman,35811,36911,37211
28,Souassi,42043,42399,42407
29,Souk-el-Arba,57122,59423,59670
30,Souk-el-Khemis,29475,29617,29703
31,Sousse,106139,106843,110594
32,Tadjerouine,50970,54884,54895
33,Tatahouine,44839,45149,45680
34,Téboursouk,34105,38977,39049
35,Tunis-Banlieue,71951,75306,79375
36,Tunis-Ville,81480,89801,115200
37,Zaghouan,42033,43703,43710
