level,unit,parent_gouvernorat,sheets_extracted,building,well_provisional,extracted_km2,buildings_per_km2,density_basis
gouvernorat,Kairouan,,18,9017,0,6044.3,1.492,measured
gouvernorat,Siliana,,17,8668,0,4625.5,1.874,measured
gouvernorat,Nabeul,,10,7654,0,2714.9,2.819,measured
gouvernorat,Béja,,9,6344,0,3473.2,1.827,measured
gouvernorat,Bizerte,,12,6292,0,3568.5,1.763,measured
gouvernorat,Zaghouan,,12,6245,0,2802.4,2.228,measured
gouvernorat,Le Kef,,12,5586,0,4587.4,1.218,measured
gouvernorat,Kassérine,,8,4828,0,4692.9,1.029,measured
gouvernorat,Manubah,,6,3355,0,1116.9,3.004,measured
gouvernorat,Sousse,,7,3112,0,2142.3,1.453,measured
gouvernorat,Tunis,,3,2406,0,252.1,9.542,measured
gouvernorat,Mahdia,,8,2283,0,2651.7,0.861,measured
gouvernorat,Monastir,,4,1694,0,981.6,1.726,measured
gouvernorat,Gabès,,2,1491,0,1118.6,1.333,measured
gouvernorat,Ben Arous,,4,1380,0,516.7,2.671,measured
gouvernorat,Jendouba,,3,1239,0,965.4,1.283,measured
gouvernorat,Sidi Bou Zid,,4,1119,0,685.7,1.632,measured
gouvernorat,Sfax,,3,1098,0,724.1,1.516,measured
gouvernorat,Ariana,,4,1071,0,381.8,2.805,measured
gouvernorat,Médenine,,2,592,0,349.5,1.694,measured
gouvernorat,Gafsa,,0,0,0,0.0,,no_sheet
gouvernorat,Kebili,,0,0,0,0.0,,no_sheet
gouvernorat,Tataouine,,0,0,0,0.0,,no_sheet
gouvernorat,Tozeur,,0,0,0,0.0,,no_sheet
délégation,Oueslatia,Kairouan,6,2417,0,873.8,2.766,measured
délégation,Fahs,Zaghouan,6,2279,0,913.2,2.496,measured
délégation,Goubellat,Béja,2,1622,0,406.2,3.993,measured
délégation,Sbikha,Kairouan,7,1550,0,1035.6,1.497,measured
délégation,Bir Mchergua,Zaghouan,5,1545,0,524.3,2.947,measured
délégation,Testour,Béja,5,1473,0,629.1,2.341,measured
délégation,Hajeb El Ayoun,Kairouan,2,1302,0,564.2,2.308,measured
délégation,Dahmani,Le Kef,5,1278,0,527.0,2.425,measured
délégation,Mejez El Bab,Béja,4,1270,0,444.2,2.859,measured
délégation,Sejnane,Bizerte,4,1206,0,598.4,2.015,measured
délégation,Rouhia,Siliana,5,1204,0,631.0,1.908,measured
délégation,Mateur,Bizerte,4,1168,0,524.3,2.228,measured
délégation,Mareth,Gabès,2,1150,0,860.2,1.337,measured
délégation,Haffouz,Kairouan,4,1138,0,580.6,1.96,measured
délégation,Makthar,Siliana,5,1000,0,333.6,2.998,measured
délégation,Grombalia,Nabeul,2,960,0,235.5,4.077,measured
délégation,Zaghouan,Zaghouan,4,945,0,393.8,2.4,measured
délégation,Siliana Sud,Siliana,4,942,0,473.6,1.989,measured
délégation,Sbiba,Kassérine,2,924,0,374.5,2.467,measured
délégation,Jelma,Sidi Bou Zid,4,921,0,539.7,1.706,measured
délégation,Haouaria,Nabeul,3,885,0,302.0,2.93,measured
délégation,Takelsa,Nabeul,3,884,0,253.2,3.491,measured
délégation,Bouarada,Siliana,2,850,0,355.7,2.39,measured
délégation,Ksour,Le Kef,3,849,0,431.6,1.967,measured
délégation,Alaa,Kairouan,4,811,0,328.6,2.468,measured
délégation,El Krib,Siliana,4,777,0,394.8,1.968,measured
délégation,Tebourba,Manubah,3,776,0,276.4,2.807,measured
délégation,Korba,Nabeul,2,769,0,197.9,3.886,measured
délégation,Bargou,Siliana,2,755,0,436.1,1.731,measured
délégation,Tajerouine,Le Kef,3,745,0,672.2,1.108,measured
délégation,Kasserine Sud,Kassérine,3,742,0,384.2,1.931,measured
délégation,Foussana,Kassérine,4,737,0,855.0,0.862,measured
délégation,Mornag,Ben Arous,4,732,0,292.9,2.499,measured
délégation,Siliana Nord,Siliana,3,716,0,364.4,1.965,measured
délégation,Kesra,Siliana,4,696,0,419.7,1.658,measured
délégation,Zriba,Zaghouan,4,696,0,320.0,2.175,measured
délégation,Borj El Amri,Manubah,4,690,0,163.4,4.222,measured
délégation,Es Sers,Le Kef,4,686,0,416.8,1.646,measured
délégation,Jebeniana,Sfax,2,677,0,233.6,2.898,measured
délégation,Utique,Bizerte,4,671,0,368.5,1.821,measured
