level,unit,parent_gouvernorat,sheets_extracted,building,well_provisional,extracted_km2,buildings_per_km2,density_basis
délégation,Sbeitla,Kassérine,4,652,0,653.1,0.998,measured
délégation,El Mida,Nabeul,2,646,0,147.0,4.395,measured
délégation,Nebeur,Le Kef,4,646,0,678.0,0.953,measured
délégation,Hammamet,Nabeul,4,639,0,301.7,2.118,measured
délégation,Kef Est,Le Kef,4,638,0,381.2,1.673,measured
délégation,Thala,Kassérine,4,638,0,641.5,0.995,measured
délégation,Menzel Temime,Nabeul,3,628,0,230.1,2.729,measured
délégation,Mornaguia,Manubah,2,620,0,247.1,2.509,measured
délégation,Laroussa,Siliana,4,609,0,340.2,1.79,measured
délégation,Bizerte Sud,Bizerte,4,587,0,364.1,1.612,measured
délégation,Joumine,Bizerte,4,574,0,532.6,1.078,measured
délégation,Bourouis,Siliana,4,563,0,251.9,2.235,measured
délégation,Enfidha,Sousse,2,559,0,352.7,1.585,measured
délégation,Gaafour,Siliana,5,556,0,428.1,1.299,measured
délégation,Béja Nord,Béja,2,544,0,335.6,1.621,measured
délégation,Téboursouk,Béja,3,534,0,372.6,1.433,measured
délégation,Hidra,Kassérine,2,524,0,470.4,1.114,measured
délégation,Sidi Hassine,Tunis,1,523,0,60.5,8.65,measured
délégation,Bou Argoub,Nabeul,2,520,0,126.4,4.113,measured
délégation,Moknine,Monastir,2,517,0,173.1,2.987,measured
délégation,Menzel Bourguiba,Bizerte,2,509,0,119.3,4.268,measured
délégation,Ghazala,Bizerte,4,496,0,378.4,1.311,measured
délégation,Jedaida,Manubah,4,473,0,163.7,2.889,measured
délégation,Bouficha,Sousse,2,441,0,237.5,1.857,measured
délégation,Nasrallah,Kairouan,3,440,0,299.5,1.469,measured
délégation,Chebika,Kairouan,3,429,0,440.3,0.974,measured
délégation,Nadhour,Zaghouan,2,425,0,335.8,1.266,measured
délégation,Sakiet Sidi Youssef,Le Kef,3,379,0,499.4,0.759,measured
délégation,Beni Khalled,Nabeul,3,377,0,103.3,3.65,measured
délégation,Sidi Alouane,Mahdia,2,377,0,178.8,2.109,measured
délégation,Kairouan Sud,Kairouan,4,371,0,455.9,0.814,measured
délégation,Béja Sud,Béja,3,366,0,259.5,1.41,measured
délégation,Saouaf,Zaghouan,3,355,0,238.8,1.487,measured
délégation,El Battan,Manubah,2,349,0,148.7,2.347,measured
délégation,Kalaa Kebira,Sousse,4,339,0,193.4,1.753,measured
délégation,Beni Khiar,Nabeul,1,326,0,100.3,3.249,measured
délégation,Bouhajla,Kairouan,3,318,0,527.6,0.603,measured
délégation,Kondar,Sousse,2,316,0,156.6,2.018,measured
délégation,M'Hamdia,Ben Arous,2,307,0,90.0,3.412,measured
délégation,Jendouba Sud,Jendouba,2,303,0,221.5,1.368,measured
délégation,Thibar,Béja,3,301,0,89.5,3.363,measured
délégation,Bousalem,Jendouba,1,297,0,122.1,2.433,measured
délégation,Menzel Bouzelfa,Nabeul,1,297,0,107.9,2.752,measured
délégation,M'Saken,Sousse,3,292,0,209.1,1.396,measured
délégation,Nabeul,Nabeul,1,286,0,64.0,4.471,measured
délégation,Souassi,Mahdia,4,281,0,302.2,0.93,measured
délégation,Ouled Chamekh,Mahdia,3,272,0,314.4,0.865,measured
délégation,Melloulech,Mahdia,2,271,0,133.2,2.034,measured
délégation,Sidi Makhlouf,Médenine,2,270,0,136.9,1.972,measured
délégation,Jendouba Nord,Jendouba,2,268,0,182.3,1.47,measured
délégation,Matmata Nouvelle,Gabès,2,265,0,162.3,1.633,measured
délégation,Hencha,Sfax,3,255,0,351.6,0.725,measured
délégation,Sidi Bou Ali,Sousse,3,246,0,116.1,2.118,measured
délégation,Ras Jebel,Bizerte,2,243,0,72.4,3.359,measured
délégation,Dar Chaabane El Fehri,Nabeul,1,240,0,62.7,3.829,measured
délégation,Médenine Nord,Médenine,1,237,0,128.9,1.839,measured
délégation,Ghardimaou,Jendouba,2,236,0,182.3,1.295,measured
délégation,Nefza,Béja,3,234,0,292.8,0.799,measured
délégation,Sidi Thabet,Ariana,2,234,0,83.1,2.814,measured
délégation,Monastir,Monastir,2,231,0,51.4,4.493,measured
délégation,Soukra,Ariana,2,227,0,27.1,8.37,measured
délégation,Hbira,Mahdia,2,224,0,214.1,1.046,measured
délégation,Sidi El Heni,Sousse,2,218,0,270.4,0.806,measured
délégation,El Jem,Mahdia,3,216,0,253.7,0.851,measured
délégation,Carthage,Tunis,1,214,0,6.5,,too_little_read
délégation,Kairouan Nord,Kairouan,4,211,0,194.9,1.083,measured
délégation,Kasserine Nord,Kassérine,1,207,0,80.0,2.586,measured
délégation,Chorbane,Mahdia,2,204,0,258.5,0.789,measured
délégation,Oued Ellil,Manubah,2,203,0,49.8,4.08,measured
délégation,Bab Bhar,Tunis,1,200,0,6.1,,too_little_read
délégation,Manouba,Manubah,1,196,0,9.9,,too_little_read
délégation,Bizerte Nord,Bizerte,1,194,0,43.2,4.492,measured
délégation,Fouchana,Ben Arous,2,190,0,31.7,5.989,measured
délégation,Kalaat El Andalous,Ariana,2,181,0,153.2,1.182,measured
délégation,La Marsa,Tunis,2,179,0,28.1,6.377,measured
délégation,Kef Ouest,Le Kef,2,178,0,186.8,0.953,measured
délégation,Hrairia,Tunis,1,177,0,22.6,,too_little_read
délégation,Raoued,Ariana,1,177,0,49.9,3.548,measured
délégation,Menzel Jemil,Bizerte,4,173,0,74.4,2.326,measured
délégation,Cité El Khadra,Tunis,3,169,0,26.1,6.467,measured
délégation,Bardo,Tunis,1,165,0,6.0,,too_little_read
délégation,Ghar El Melh,Bizerte,2,163,0,80.3,2.031,measured
délégation,El Amra,Sfax,1,161,0,55.8,2.884,measured
délégation,Bekalta,Monastir,1,157,0,31.8,4.932,measured
délégation,Ksibet El Mediouni,Monastir,1,157,0,24.3,,too_little_read
délégation,Sabalat Ouled Asker,Sidi Bou Zid,1,151,0,86.4,1.749,measured
délégation,Kalaa Sghira,Sousse,2,150,0,72.5,2.069,measured
délégation,Chebba,Mahdia,1,138,0,81.3,1.697,measured
délégation,Feriana,Kassérine,1,137,0,162.0,0.846,measured
délégation,Jedeliane,Kassérine,2,136,0,229.9,0.592,measured
délégation,Oued Mliz,Jendouba,1,133,0,161.4,0.824,measured
délégation,Ariana Médina,Ariana,2,129,0,14.5,,too_little_read
délégation,Tinja,Bizerte,1,129,0,50.4,2.559,measured
délégation,El Menzah,Tunis,2,125,0,8.0,,too_little_read
délégation,Omrane,Tunis,1,125,0,3.9,,too_little_read
délégation,El Alia,Bizerte,2,122,0,78.4,1.557,measured
délégation,Teboulba,Monastir,1,122,0,15.7,,too_little_read
délégation,Akouda,Sousse,3,121,0,35.8,3.383,measured
délégation,Ksour Essef,Mahdia,1,120,0,75.0,1.6,measured
délégation,Hergla,Sousse,2,117,0,73.1,1.6,measured
délégation,Sousse Médina,Sousse,1,117,0,5.8,,too_little_read
délégation,Mnihla,Ariana,2,114,0,17.3,,too_little_read
délégation,Beni Hassen,Monastir,2,113,0,79.8,1.417,measured
délégation,Ksar Hellal,Monastir,1,110,0,19.0,,too_little_read
délégation,Mahdia,Mahdia,1,108,0,36.2,2.984,measured
délégation,Hammam Ghezaz,Nabeul,1,107,0,21.0,,too_little_read
délégation,Ayoun,Kassérine,1,101,0,101.2,0.998,measured
délégation,Sayada-Lamta-Bou Hjar,Monastir,1,95,0,9.9,,too_little_read
délégation,Le Kram,Tunis,1,92,0,7.7,,too_little_read
délégation,Zeramdine,Monastir,2,90,0,71.0,1.267,measured
délégation,Kalaat Senan,Le Kef,2,88,0,114.1,0.771,measured
délégation,Beni Khedache,Médenine,1,85,0,42.6,1.995,measured
délégation,La Goulette,Tunis,2,82,0,14.7,,too_little_read
délégation,Jerissa,Le Kef,3,75,0,94.0,0.798,measured
délégation,Jebel Jelloud,Tunis,1,73,0,4.5,,too_little_read
délégation,Boumerdès,Mahdia,2,72,0,149.0,0.483,measured
délégation,Soliman,Nabeul,3,72,0,63.1,1.141,measured
délégation,Sahline,Monastir,1,71,0,28.3,2.513,measured
délégation,Zaouia Ksiba Thraya,Sousse,1,64,0,27.1,2.359,measured
délégation,Gabès Sud,Gabès,1,61,0,45.4,1.343,measured
délégation,Bab Souika,Tunis,1,60,0,1.2,,too_little_read
délégation,Ben Arous,Ben Arous,1,56,0,2.5,,too_little_read
délégation,Jarzouna,Bizerte,1,54,0,4.1,,too_little_read
délégation,Mégrine,Ben Arous,1,52,0,2.7,,too_little_read
délégation,Médina,Tunis,1,50,0,0.8,,too_little_read
délégation,Douar Hicher,Manubah,2,48,0,6.1,,too_little_read
délégation,Sidi Bouzid Est,Sidi Bou Zid,1,47,0,14.2,,too_little_read
délégation,Ezzouhour,Tunis,2,46,0,2.2,,too_little_read
délégation,Ezzouhour,Kassérine,2,46,0,2.1,,too_little_read
délégation,Sidi El Béchir,Tunis,1,44,0,1.4,,too_little_read
délégation,El Mourouj,Ben Arous,1,42,0,11.2,,too_little_read
délégation,El Ouardia,Tunis,1,42,0,1.9,,too_little_read
délégation,Hammam Sousse,Sousse,2,42,0,11.7,,too_little_read
délégation,Sousse Jaouhara,Sousse,1,40,0,8.8,,too_little_read
délégation,Sousse Sidi Abdelhamid,Sousse,1,31,0,10.6,,too_little_read
délégation,Chrarda,Kairouan,1,30,0,12.1,,too_little_read
délégation,Hassi El Ferid,Kassérine,1,25,0,6.8,,too_little_read
délégation,Kalaa Khesba,Le Kef,1,24,0,4.2,,too_little_read
délégation,El Tahrir,Tunis,1,20,0,0.8,,too_little_read
délégation,Kelibia,Nabeul,2,18,0,10.3,,too_little_read
délégation,Ouerdanine,Monastir,2,18,0,16.3,,too_little_read
délégation,Matmata,Gabès,1,15,0,5.5,,too_little_read
délégation,Omrane Supérieur,Tunis,2,15,0,2.3,,too_little_read
délégation,Jammel,Monastir,2,12,0,29.3,0.409,measured
délégation,Sousse Riadh,Sousse,1,11,0,5.8,,too_little_read
délégation,Ettadhamen,Ariana,1,9,0,0.5,,too_little_read
délégation,Sijoumi,Tunis,1,8,0,0.4,,too_little_read
délégation,Menzel Chaker,Sfax,1,5,0,0.0,,too_little_read
délégation,Fernana,Jendouba,1,2,0,0.0,,no_sheet
délégation,Kabaria,Tunis,1,2,0,0.0,,no_sheet
délégation,Bembla,Monastir,1,1,0,0.0,,no_sheet
délégation,Nouvelle Médina,Ben Arous,1,1,0,0.0,,no_sheet
délégation,Agareb,Sfax,0,0,0,0.0,,no_sheet
délégation,Amdoun,Béja,0,0,0,0.0,,no_sheet
délégation,Aïn Draham,Jendouba,0,0,0,0.0,,no_sheet
délégation,Balta Bou Aouane,Jendouba,0,0,0,0.0,,no_sheet
délégation,Belkhir,Gafsa,0,0,0,0.0,,no_sheet
délégation,Ben Guerdane,Médenine,0,0,0,0.0,,no_sheet
délégation,Bir Ali Ben Khélifa,Sfax,0,0,0,0.0,,no_sheet
délégation,Bir El Hfay,Sidi Bou Zid,0,0,0,0.0,,no_sheet
délégation,Bir Lahmar,Tataouine,0,0,0,0.0,,no_sheet
délégation,Boumhel,Ben Arous,0,0,0,0.0,,no_sheet
délégation,Degueche,Tozeur,0,0,0,0.0,,no_sheet
délégation,Dhiba,Tataouine,0,0,0,0.0,,no_sheet
délégation,Djerba Ajim,Médenine,0,0,0,0.0,,no_sheet
délégation,Djerba Midoun,Médenine,0,0,0,0.0,,no_sheet
délégation,Douz Nord,Kebili,0,0,0,0.0,,no_sheet
délégation,Douz Sud,Kebili,0,0,0,0.0,,no_sheet
délégation,El Ghraiba,Sfax,0,0,0,0.0,,no_sheet
délégation,Ezzahra,Ben Arous,0,0,0,0.0,,no_sheet
délégation,Faouar,Kebili,0,0,0,0.0,,no_sheet
délégation,Gabès Médina,Gabès,0,0,0,0.0,,no_sheet
délégation,Gabès Ouest,Gabès,0,0,0,0.0,,no_sheet
délégation,Gafsa Nord,Gafsa,0,0,0,0.0,,no_sheet
délégation,Gafsa Sud,Gafsa,0,0,0,0.0,,no_sheet
délégation,Ghannouch,Gabès,0,0,0,0.0,,no_sheet
délégation,Ghomrassen,Tataouine,0,0,0,0.0,,no_sheet
délégation,Guetar,Gafsa,0,0,0,0.0,,no_sheet
délégation,Hamma,Gabès,0,0,0,0.0,,no_sheet
délégation,Hammam Chott,Ben Arous,0,0,0,0.0,,no_sheet
délégation,Hammam Lif,Ben Arous,0,0,0,0.0,,no_sheet
délégation,Hazoua,Tozeur,0,0,0,0.0,,no_sheet
délégation,Houmt Souk,Médenine,0,0,0,0.0,,no_sheet
délégation,Kebili Nord,Kebili,0,0,0,0.0,,no_sheet
délégation,Kebili Sud,Kebili,0,0,0,0.0,,no_sheet
délégation,Kerkennah,Sfax,0,0,0,0.0,,no_sheet
délégation,Ksar,Gafsa,0,0,0,0.0,,no_sheet
délégation,Mahres,Sfax,0,0,0,0.0,,no_sheet
délégation,Majel Belabbes,Kassérine,0,0,0,0.0,,no_sheet
délégation,Mazzouna,Sidi Bou Zid,0,0,0,0.0,,no_sheet
délégation,Mdhilla,Gafsa,0,0,0,0.0,,no_sheet
délégation,Meknassi,Sidi Bou Zid,0,0,0,0.0,,no_sheet
délégation,Menzel Bouzaiene,Sidi Bou Zid,0,0,0,0.0,,no_sheet
délégation,Menzel Habib,Gabès,0,0,0,0.0,,no_sheet
délégation,Metlaoui,Gafsa,0,0,0,0.0,,no_sheet
délégation,Metouia,Gabès,0,0,0,0.0,,no_sheet
délégation,Médenine Sud,Médenine,0,0,0,0.0,,no_sheet
délégation,Nefta,Tozeur,0,0,0,0.0,,no_sheet
délégation,Ouled Haffouz,Sidi Bou Zid,0,0,0,0.0,,no_sheet
délégation,Oum Larais,Gafsa,0,0,0,0.0,,no_sheet
délégation,Radès,Ben Arous,0,0,0,0.0,,no_sheet
délégation,Redeyef,Gafsa,0,0,0,0.0,,no_sheet
délégation,Regueb,Sidi Bou Zid,0,0,0,0.0,,no_sheet
délégation,Remada,Tataouine,0,0,0,0.0,,no_sheet
délégation,Sakiet Eddaier,Sfax,0,0,0,0.0,,no_sheet
délégation,Sakiet Ezzit,Sfax,0,0,0,0.0,,no_sheet
délégation,Samar,Tataouine,0,0,0,0.0,,no_sheet
délégation,Sened,Gafsa,0,0,0,0.0,,no_sheet
délégation,Sfax Médina,Sfax,0,0,0,0.0,,no_sheet
délégation,Sfax Ouest,Sfax,0,0,0,0.0,,no_sheet
délégation,Sfax Sud,Sfax,0,0,0,0.0,,no_sheet
délégation,Sidi Aich,Gafsa,0,0,0,0.0,,no_sheet
délégation,Sidi Ali Ben Aoun,Sidi Bou Zid,0,0,0,0.0,,no_sheet
délégation,Sidi Bouzid Ouest,Sidi Bou Zid,0,0,0,0.0,,no_sheet
délégation,Skhira,Sfax,0,0,0,0.0,,no_sheet
délégation,Souk El Ahed,Kebili,0,0,0,0.0,,no_sheet
délégation,Souk Jedid,Sidi Bou Zid,0,0,0,0.0,,no_sheet
délégation,Tabarka,Jendouba,0,0,0,0.0,,no_sheet
délégation,Tamaghza,Tozeur,0,0,0,0.0,,no_sheet
délégation,Tataouine Nord,Tataouine,0,0,0,0.0,,no_sheet
délégation,Tataouine Sud,Tataouine,0,0,0,0.0,,no_sheet
délégation,Thyna,Sfax,0,0,0,0.0,,no_sheet
délégation,Tozeur,Tozeur,0,0,0,0.0,,no_sheet
délégation,Zarzis,Médenine,0,0,0,0.0,,no_sheet
