adm4_pcode,imada,delegation,gouvernorat,area_sqkm,tribe,label_as_printed,source,distance_km,runner_up,runner_up_km
TN135552,Borj Cedria,Hammam Chott,Ben Arous,18.91,Ouled Khiar,Oulad Khiar,1853 Pellissier,34.2,Ouled Saïd,41.3
TN135553,Hammem Chatt,Hammam Chott,Ben Arous,1.6,Ouled Khiar,Oulad Khiar,1853 Pellissier,34.6,Riah,43.3
TN135456,Cite Mohamed Ali,Hammam Lif,Ben Arous,7.06,Ouled Khiar,Oulad Khiar,1853 Pellissier,32.0,Riah,40.6
TN135454,Farhat Hached,Hammam Lif,Ben Arous,1.39,Ouled Khiar,Oulad Khiar,1853 Pellissier,31.6,Riah,39.8
TN135455,Hammam Lif El Malaab,Hammam Lif,Ben Arous,0.79,Ouled Khiar,Oulad Khiar,1853 Pellissier,33.9,Riah,42.4
TN135451,Hammam Lif Ville,Hammam Lif,Ben Arous,1.14,Ouled Khiar,Oulad Khiar,1853 Pellissier,32.5,Riah,40.8
TN135453,Hammem Lif Bou Kornine,Hammam Lif,Ben Arous,0.65,Ouled Khiar,Oulad Khiar,1853 Pellissier,32.8,Riah,40.9
TN135452,Hammem Lif Ville 2,Hammam Lif,Ben Arous,0.32,Ouled Khiar,Oulad Khiar,1853 Pellissier,33.5,Riah,41.8
TN136054,Cite El Nassim,M'Hamdia,Ben Arous,9.87,Ouled Khiar,Oulad Khiar,1853 Pellissier,17.9,Riah,25.8
TN136053,Cite Es-Saada,M'Hamdia,Ben Arous,10.96,Ouled Khiar,Oulad Khiar,1853 Pellissier,15.4,Riah,23.6
TN136051,Mohamedia,M'Hamdia,Ben Arous,4.14,Ouled Khiar,Oulad Khiar,1853 Pellissier,15.7,Riah,22.9
TN136052,Mongi Selim,M'Hamdia,Ben Arous,0.77,Ouled Khiar,Oulad Khiar,1853 Pellissier,17.3,Riah,24.0
TN136055,Sidi Frej,M'Hamdia,Ben Arous,72.64,Ouled Khiar,Oulad Khiar,1853 Pellissier,10.2,Riah,17.3
TN136258,Ain Rekad,Mornag,Ben Arous,36.21,Ouled Khiar,Oulad Khiar,1853 Pellissier,18.2,Ouled Saïd,28.9
TN136255,Djebel Ressas,Mornag,Ben Arous,31.03,Ouled Khiar,Oulad Khiar,1853 Pellissier,27.5,Ouled Saïd,33.2
TN136259,El Gounna,Mornag,Ben Arous,23.7,Ouled Khiar,Oulad Khiar,1853 Pellissier,14.4,Riah,25.0
TN136264,El Kessibi,Mornag,Ben Arous,37.8,Ouled Khiar,Oulad Khiar,1853 Pellissier,22.4,Riah,32.7
TN136262,Errisala,Mornag,Ben Arous,39.82,Ouled Khiar,Oulad Khiar,1853 Pellissier,29.8,Riah,39.3
TN136261,Essalem,Mornag,Ben Arous,26.87,Ouled Khiar,Oulad Khiar,1853 Pellissier,19.3,Riah,29.1
TN136254,Ez-Zaouia,Mornag,Ben Arous,6.95,Ouled Khiar,Oulad Khiar,1853 Pellissier,26.7,Riah,34.9
TN136257,Kabouti,Mornag,Ben Arous,44.82,Ouled Khiar,Oulad Khiar,1853 Pellissier,27.1,Ouled Saïd,28.8
TN136253,Khelidia,Mornag,Ben Arous,23.41,Ouled Khiar,Oulad Khiar,1853 Pellissier,12.9,Riah,22.0
TN136251,Mornag,Mornag,Ben Arous,10.05,Ouled Khiar,Oulad Khiar,1853 Pellissier,26.6,Riah,35.8
TN136252,Mornag Ouest,Mornag,Ben Arous,7.05,Ouled Khiar,Oulad Khiar,1853 Pellissier,25.4,Riah,34.6
TN136263,Oudna,Mornag,Ben Arous,31.72,Ouled Khiar,Oulad Khiar,1853 Pellissier,14.1,Riah,24.2
TN136260,Sidi Saad,Mornag,Ben Arous,23.42,Ouled Khiar,Oulad Khiar,1853 Pellissier,23.1,Riah,31.7
TN136256,Sidi Salem El Garsi,Mornag,Ben Arous,54.87,Ouled Saïd,Ouled Saïd,1881 Lasailly,22.1,Ouled Khiar,26.3
TN135953,Jawhara,Mégrine,Ben Arous,1.5,Ouled Khiar,Oulad Khiar,1853 Pellissier,28.8,Riah,34.6
TN135955,Megrine Chaker,Mégrine,Ben Arous,1.85,Ouled Khiar,Oulad Khiar,1853 Pellissier,30.1,Riah,36.2
TN135956,Megrine Chaker (2),Mégrine,Ben Arous,0.53,Ouled Khiar,Oulad Khiar,1853 Pellissier,29.6,Riah,35.4
TN135952,Megrine Riadh,Mégrine,Ben Arous,1.17,Ouled Khiar,Oulad Khiar,1853 Pellissier,28.3,Riah,34.3
TN135951,Megrine Superieure,Mégrine,Ben Arous,3.3,Ouled Khiar,Oulad Khiar,1853 Pellissier,30.4,Riah,36.8
TN135954,Menzel Mabrouk,Mégrine,Ben Arous,0.38,Ouled Khiar,Oulad Khiar,1853 Pellissier,29.3,Riah,35.4
TN135957,Sidi Rezig,Mégrine,Ben Arous,0.45,Ouled Khiar,Oulad Khiar,1853 Pellissier,29.2,Riah,35.8
TN135958,Sidi Rezig (2),Mégrine,Ben Arous,1.49,Ouled Khiar,Oulad Khiar,1853 Pellissier,28.5,Riah,35.0
TN135254,El Yasminet,Nouvelle Médina,Ben Arous,3.39,Ouled Khiar,Oulad Khiar,1853 Pellissier,26.1,Riah,33.4
TN135255,Errabta,Nouvelle Médina,Ben Arous,2.32,Ouled Khiar,Oulad Khiar,1853 Pellissier,27.2,Riah,34.4
TN135251,La Nouvelle Medina (1),Nouvelle Médina,Ben Arous,0.41,Ouled Khiar,Oulad Khiar,1853 Pellissier,28.1,Riah,35.0
TN135252,La Nouvelle Medina (2),Nouvelle Médina,Ben Arous,1.43,Ouled Khiar,Oulad Khiar,1853 Pellissier,28.5,Riah,35.7
TN135253,Sidi Mosbah,Nouvelle Médina,Ben Arous,0.53,Ouled Khiar,Oulad Khiar,1853 Pellissier,27.0,Riah,33.9
TN135855,Mongi Slim,Radès,Ben Arous,0.43,Ouled Khiar,Oulad Khiar,1853 Pellissier,31.1,Riah,37.9
TN135858,Noubou,Radès,Ben Arous,0.42,Ouled Khiar,Oulad Khiar,1853 Pellissier,30.8,Riah,37.9
TN135856,Rades Foret,Radès,Ben Arous,4.92,Ouled Khiar,Oulad Khiar,1853 Pellissier,29.5,Riah,36.6
TN135857,Rades Meliane,Radès,Ben Arous,2.91,Ouled Khiar,Oulad Khiar,1853 Pellissier,31.9,Riah,39.0
TN135852,Rades Mellaha,Radès,Ben Arous,6.37,Ouled Khiar,Oulad Khiar,1853 Pellissier,32.8,Riah,39.2
TN135854,Rades Remada,Radès,Ben Arous,1.07,Ouled Khiar,Oulad Khiar,1853 Pellissier,32.0,Riah,38.7
TN135851,Rades Ville,Radès,Ben Arous,1.59,Ouled Khiar,Oulad Khiar,1853 Pellissier,30.4,Riah,37.2
TN135853,Taieb Mehiri,Radès,Ben Arous,2.03,Ouled Khiar,Oulad Khiar,1853 Pellissier,32.8,Riah,39.4
TN175162,15 Octobre,Bizerte Nord,Bizerte,1.21,Mogod,MOGOD,1881 Martel (1965),27.3,Makna,29.0
TN175158,Ain Mariam,Bizerte Nord,Bizerte,34.28,Mogod,MOGOD,1881 Martel (1965),25.4,Makna,29.9
TN175157,Bou Baker Bakir,Bizerte Nord,Bizerte,0.83,Mogod,MOGOD,1881 Martel (1965),28.4,Makna,28.4
TN175155,Cheik Driss,Bizerte Nord,Bizerte,0.09,Mogod,MOGOD,1881 Martel (1965),28.9,Makna,29.2
TN175156,El Canal,Bizerte Nord,Bizerte,0.23,Mogod,MOGOD,1881 Martel (1965),29.2,Makna,29.3
TN175161,El Hana,Bizerte Nord,Bizerte,0.54,Mogod,MOGOD,1881 Martel (1965),28.8,Makna,29.8
TN175153,El Korniche,Bizerte Nord,Bizerte,4.88,Mogod,MOGOD,1881 Martel (1965),29.8,Makna,32.3
TN175160,El Motamar,Bizerte Nord,Bizerte,0.99,Mogod,MOGOD,1881 Martel (1965),27.8,Makna,28.6
TN175152,Habib Bouguatfa,Bizerte Nord,Bizerte,0.72,Mogod,MOGOD,1881 Martel (1965),28.3,Makna,28.7
TN175159,Habib Haddad,Bizerte Nord,Bizerte,1.45,Mogod,MOGOD,1881 Martel (1965),28.3,Makna,29.7
TN175151,Hassen Nouri,Bizerte Nord,Bizerte,0.87,Mogod,MOGOD,1881 Martel (1965),29.5,Makna,30.2
TN175163,L'Ile De La Gualite,Bizerte Nord,Bizerte,7.89,Mogod,El Mogod,1881 Lasailly,53.2,Nefza,56.1
TN175154,La Medina,Bizerte Nord,Bizerte,0.48,Mogod,MOGOD,1881 Martel (1965),29.3,Makna,29.6
TN175357,Bab Mateur,Bizerte Sud,Bizerte,0.87,Mogod,MOGOD,1881 Martel (1965),26.2,Makna,27.1
TN175358,Cite El Jala,Bizerte Sud,Bizerte,1.98,Mogod,MOGOD,1881 Martel (1965),26.9,Makna,27.8
TN175359,El Massida,Bizerte Sud,Bizerte,7.88,Mogod,MOGOD,1881 Martel (1965),24.3,Makna,25.1
TN175352,Farhat Hached,Bizerte Sud,Bizerte,23.87,Mogod,MOGOD,1881 Martel (1965),22.3,Makna,26.3
TN175354,Hicher,Bizerte Sud,Bizerte,77.88,Mogod,MOGOD,1881 Martel (1965),11.8,Makna,25.4
TN175356,Louata,Bizerte Sud,Bizerte,65.32,Mogod,MOGOD,1881 Martel (1965),13.9,Makna,17.4
TN175353,Marnissa,Bizerte Sud,Bizerte,40.92,Mogod,MOGOD,1881 Martel (1965),19.1,Makna,28.1
TN175360,Sidi Ahmed,Bizerte Sud,Bizerte,50.54,Mogod,MOGOD,1881 Martel (1965),17.5,Makna,22.0
TN175355,Sidi Ameur,Bizerte Sud,Bizerte,59.34,Mogod,MOGOD,1881 Martel (1965),4.6,Makna,18.7
TN175351,Teskraia,Bizerte Sud,Bizerte,77.58,Mogod,MOGOD,1881 Martel (1965),7.4,Hezil,21.2
TN176352,El Alia Nord,El Alia,Bizerte,21.77,Makna,Makna,1881 Lasailly,31.6,Trabelsi,32.9
TN176353,El Alia Sud,El Alia,Bizerte,12.21,Trabelsi,Trabelsi,1881 Lasailly,33.0,Makna,33.6
TN176354,El Khetmine,El Alia,Bizerte,42.13,Makna,Makna,1881 Lasailly,27.5,Trabelsi,27.9
TN176351,Sidi Ali Chabab,El Alia,Bizerte,8.84,Makna,Makna,1881 Lasailly,36.2,Trabelsi,37.1
TN176152,Bajou,Ghar El Melh,Bizerte,17.13,Trabelsi,Trabelsi,1881 Lasailly,39.2,Makna,42.2
TN176151,Ghar El Meleh,Ghar El Melh,Bizerte,14.05,Trabelsi,Trabelsi,1881 Lasailly,47.0,Makna,51.8
TN176153,Ousja,Ghar El Melh,Bizerte,39.57,Trabelsi,Trabelsi,1881 Lasailly,36.3,Makna,37.8
TN176154,Zouaouine,Ghar El Melh,Bizerte,21.58,Trabelsi,Trabelsi,1881 Lasailly,28.8,Makna,31.7
TN175758,Bou Jerir,Ghazala,Bizerte,24.86,Hezil,Hezil,1881 Lasailly,12.2,Mogod,17.2
TN175753,Dheouaouda,Ghazala,Bizerte,42.43,Hezil,Hezil,1881 Lasailly,11.0,Mogod,19.1
TN175752,El Arab,Ghazala,Bizerte,52.77,Mogod,MOGOD,1881 Martel (1965),5.1,Hezil,11.3
TN175751,Ghezala,Ghazala,Bizerte,61.75,Hezil,Hezil,1881 Lasailly,8.4,Mogod,10.2
TN175754,Hached,Ghazala,Bizerte,32.29,Hezil,Hezil,1881 Lasailly,5.5,Makna,10.4
TN175755,Ouled El May,Ghazala,Bizerte,62.2,Hezil,Hezil,1881 Lasailly,11.8,Mogod,13.9
TN175757,Rakb,Ghazala,Bizerte,48.08,Hezil,Hezil,1881 Lasailly,2.7,Makna,18.2
TN175756,Sidi Aissa,Ghazala,Bizerte,39.12,Hezil,Hezil,1881 Lasailly,6.7,Mogod,12.4
TN175759,Sidi Mansour,Ghazala,Bizerte,46.27,Hezil,Hezil,1881 Lasailly,8.0,Makna,20.8
TN175252,Zarzouna Est,Jarzouna,Bizerte,4.03,Makna,Makna,1881 Lasailly,28.8,Mogod,30.1
TN175253,Zarzouna Nord,Jarzouna,Bizerte,0.35,Makna,Makna,1881 Lasailly,28.3,Mogod,28.9
TN175251,Zarzouna Ouest,Jarzouna,Bizerte,0.43,Makna,Makna,1881 Lasailly,27.8,Mogod,28.6
TN175254,Zarzouna Sud,Jarzouna,Bizerte,0.73,Makna,Makna,1881 Lasailly,27.6,Mogod,29.0
TN175558,Bazina,Joumine,Bizerte,17.47,Djeladjela,Djeladjela,1881 Lasailly,11.2,Riah,11.9
TN175556,Berraies,Joumine,Bizerte,113.55,Riah,Riah,1881 Lasailly,14.8,Nefza,25.5
TN175553,Chenana,Joumine,Bizerte,17.97,Djeladjela,Djeladjela,1881 Lasailly,14.8,Nefza,15.5
TN175552,Essemman,Joumine,Bizerte,67.84,Nefza,NEFZA,1881 Martel (1965),18.9,Djeladjela,19.8
TN175555,Kef Ghrab,Joumine,Bizerte,98.69,Riah,Riah,1881 Lasailly,20.7,Hezil,21.9
TN175551,Ouled Ghanem,Joumine,Bizerte,63.2,Hezil,Hezil,1881 Lasailly,15.6,Mogod,16.4
TN175559,Rouaha,Joumine,Bizerte,41.42,Nefza,NEFZA,1881 Martel (1965),11.6,Djeladjela,13.9
TN175554,Tahent,Joumine,Bizerte,84.22,Hezil,Hezil,1881 Lasailly,17.8,Riah,21.3
TN175557,Touajnia,Joumine,Bizerte,47.75,Djeladjela,Djeladjela,1881 Lasailly,5.5,Riah,6.2
TN175658,Arab Majour,Mateur,Bizerte,123.0,Makna,Makna,1881 Lasailly,11.7,Trabelsi,14.3
TN175652,Banlieue De Mateur,Mateur,Bizerte,47.1,Makna,Makna,1881 Lasailly,2.6,Hezil,14.7
TN175659,Behaya,Mateur,Bizerte,118.99,Hezil,Hezil,1881 Lasailly,13.6,Makna,16.9
TN175660,Boumkhila,Mateur,Bizerte,57.07,Hezil,Hezil,1881 Lasailly,7.7,Makna,12.6
TN175654,Cite En Nasr,Mateur,Bizerte,26.83,Makna,Makna,1881 Lasailly,6.3,Hezil,9.7
TN175656,Cite Essadaka,Mateur,Bizerte,0.98,Makna,Makna,1881 Lasailly,3.5,Hezil,12.8
TN175651,Mateur,Mateur,Bizerte,8.34,Makna,Makna,1881 Lasailly,2.5,Hezil,15.5
TN175653,Mateur Sud,Mateur,Bizerte,0.26,Makna,Makna,1881 Lasailly,3.3,Hezil,13.6
TN175655,Nefat,Mateur,Bizerte,76.55,Makna,Makna,1881 Lasailly,5.8,Trabelsi,15.7
TN175657,Targuellache,Mateur,Bizerte,105.27,Trabelsi,Trabelsi,1881 Lasailly,6.8,Makna,13.3
TN175857,Chelagmia,Menzel Bourguiba,Bizerte,7.06,Makna,Makna,1881 Lasailly,12.8,Mogod,21.6
TN175854,Cite Etthaoura,Menzel Bourguiba,Bizerte,0.54,Makna,Makna,1881 Lasailly,13.7,Mogod,21.3
TN175858,Cite Jardins,Menzel Bourguiba,Bizerte,2.28,Makna,Makna,1881 Lasailly,14.7,Mogod,20.3
TN175856,El Medina,Menzel Bourguiba,Bizerte,8.33,Makna,Makna,1881 Lasailly,14.5,Mogod,22.0
TN175851,En-Najah (1),Menzel Bourguiba,Bizerte,0.95,Makna,Makna,1881 Lasailly,13.2,Mogod,19.8
TN175855,En-Najah (2),Menzel Bourguiba,Bizerte,1.99,Makna,Makna,1881 Lasailly,12.3,Mogod,20.0
TN175852,Gabtna (1),Menzel Bourguiba,Bizerte,47.26,Makna,Makna,1881 Lasailly,18.9,Trabelsi,22.9
TN175853,Gabtna (2),Menzel Bourguiba,Bizerte,60.1,Makna,Makna,1881 Lasailly,12.8,Trabelsi,18.4
TN176255,El Azib,Menzel Jemil,Bizerte,25.95,Makna,Makna,1881 Lasailly,27.7,Trabelsi,31.8
TN176253,Menzel Abderrahmen Est,Menzel Jemil,Bizerte,3.44,Makna,Makna,1881 Lasailly,26.4,Mogod,28.0
TN176254,Menzel Abderrahmen Ouest,Menzel Jemil,Bizerte,6.23,Makna,Makna,1881 Lasailly,24.8,Mogod,26.1
TN176251,Menzel Djemil Est,Menzel Jemil,Bizerte,39.62,Makna,Makna,1881 Lasailly,32.7,Trabelsi,36.6
TN176252,Menzel Djemil Ouest,Menzel Jemil,Bizerte,7.27,Makna,Makna,1881 Lasailly,27.6,Mogod,30.7
TN176457,El Garia,Ras Jebel,Bizerte,10.32,Makna,Makna,1881 Lasailly,36.4,Trabelsi,38.5
TN176453,Metline,Ras Jebel,Bizerte,11.94,Makna,Makna,1881 Lasailly,40.3,Trabelsi,42.3
TN176454,Metline Ouest,Ras Jebel,Bizerte,9.76,Makna,Makna,1881 Lasailly,37.3,Trabelsi,40.4
TN176456,Rafraf,Ras Jebel,Bizerte,17.14,Trabelsi,Trabelsi,1881 Lasailly,43.9,Makna,46.6
TN176451,Ras El Djebel Nord,Ras Jebel,Bizerte,15.14,Trabelsi,Trabelsi,1881 Lasailly,44.3,Makna,45.4
TN176452,Ras El Djebel Sud,Ras Jebel,Bizerte,14.75,Trabelsi,Trabelsi,1881 Lasailly,41.5,Makna,41.9
TN176455,Sounine,Ras Jebel,Bizerte,5.07,Trabelsi,Trabelsi,1881 Lasailly,44.5,Makna,46.5
