adm4_pcode,imada,delegation,gouvernorat,area_sqkm,tribe,label_as_printed,source,distance_km,runner_up,runner_up_km
TN125152,Ariana Superieur,Ariana Médina,Ariana,6.2,Trabelsi,Trabelsi,1881 Lasailly,32.1,Ouled Khiar,35.8
TN125154,El Menzah V,Ariana Médina,Ariana,1.35,Trabelsi,Trabelsi,1881 Lasailly,33.4,Ouled Khiar,33.5
TN125155,El Menzah VI,Ariana Médina,Ariana,0.84,Trabelsi,Trabelsi,1881 Lasailly,32.3,Ouled Khiar,33.1
TN125157,El Yasmina,Ariana Médina,Ariana,1.32,Ouled Khiar,Oulad Khiar,1853 Pellissier,34.8,Trabelsi,34.9
TN125158,Ennasr 1,Ariana Médina,Ariana,2.22,Trabelsi,Trabelsi,1881 Lasailly,32.6,Ouled Khiar,34.5
TN125159,Ennasr 2,Ariana Médina,Ariana,3.89,Trabelsi,Trabelsi,1881 Lasailly,31.1,Ouled Khiar,34.7
TN125156,Etaamir,Ariana Médina,Ariana,1.14,Trabelsi,Trabelsi,1881 Lasailly,34.5,Ouled Khiar,36.0
TN125153,L'Ariana Ville,Ariana Médina,Ariana,0.89,Trabelsi,Trabelsi,1881 Lasailly,33.7,Ouled Khiar,35.9
TN125151,La Nouvelle Ariana,Ariana Médina,Ariana,0.54,Trabelsi,Trabelsi,1881 Lasailly,33.8,Ouled Khiar,34.3
TN125657,07 Novembre,Ettadhamen,Ariana,0.4,Trabelsi,Trabelsi,1881 Lasailly,26.9,Ouled Khiar,30.1
TN125653,09 Avril,Ettadhamen,Ariana,0.68,Trabelsi,Trabelsi,1881 Lasailly,28.2,Ouled Khiar,29.4
TN125654,18 Janvier,Ettadhamen,Ariana,0.47,Trabelsi,Trabelsi,1881 Lasailly,27.5,Ouled Khiar,29.7
TN125655,20 Mars,Ettadhamen,Ariana,0.37,Trabelsi,Trabelsi,1881 Lasailly,27.2,Ouled Khiar,30.4
TN125658,Abulkassem Ech-Chebbi,Ettadhamen,Ariana,0.28,Trabelsi,Trabelsi,1881 Lasailly,27.7,Ouled Khiar,30.6
TN125651,Cite Ettadhamen,Ettadhamen,Ariana,0.45,Trabelsi,Trabelsi,1881 Lasailly,28.4,Ouled Khiar,30.1
TN125652,Ibn Khaldoun,Ettadhamen,Ariana,0.24,Trabelsi,Trabelsi,1881 Lasailly,28.1,Ouled Khiar,30.5
TN125659,Khaireddine Pacha,Ettadhamen,Ariana,0.21,Trabelsi,Trabelsi,1881 Lasailly,27.2,Ouled Khiar,30.9
TN125656,Mongi Slim,Ettadhamen,Ariana,0.18,Trabelsi,Trabelsi,1881 Lasailly,26.8,Ouled Khiar,30.6
TN125454,Bou Hanach,Kalaat El Andalous,Ariana,39.2,Trabelsi,Trabelsi,1881 Lasailly,27.5,Makna,40.8
TN125455,El Hessiane,Kalaat El Andalous,Ariana,29.2,Trabelsi,Trabelsi,1881 Lasailly,33.9,Makna,46.0
TN125456,Ennahli,Kalaat El Andalous,Ariana,7.96,Trabelsi,Trabelsi,1881 Lasailly,27.6,Ouled Khiar,37.7
TN125451,Kalaat El Andalous Est,Kalaat El Andalous,Ariana,60.23,Trabelsi,Trabelsi,1881 Lasailly,33.9,Makna,42.2
TN125452,Kalaat El Andalous Ouest,Kalaat El Andalous,Ariana,23.35,Trabelsi,Trabelsi,1881 Lasailly,30.2,Makna,38.3
TN125453,Pont De Bizerte,Kalaat El Andalous,Ariana,29.42,Trabelsi,Trabelsi,1881 Lasailly,24.7,Makna,36.4
TN125755,15 Octobre,Mnihla,Ariana,3.11,Trabelsi,Trabelsi,1881 Lasailly,25.6,Ouled Khiar,32.2
TN125751,El Mnihla,Mnihla,Ariana,8.89,Trabelsi,Trabelsi,1881 Lasailly,26.1,Ouled Khiar,33.6
TN125754,El-Bassatine,Mnihla,Ariana,0.95,Trabelsi,Trabelsi,1881 Lasailly,26.8,Ouled Khiar,31.2
TN125753,En-Nasr,Mnihla,Ariana,0.57,Trabelsi,Trabelsi,1881 Lasailly,27.9,Ouled Khiar,31.1
TN125752,Errafaha,Mnihla,Ariana,10.05,Trabelsi,Trabelsi,1881 Lasailly,28.8,Ouled Khiar,34.1
TN125356,Bourj Ettouil,Raoued,Ariana,17.79,Trabelsi,Trabelsi,1881 Lasailly,29.1,Ouled Khiar,40.4
TN125354,El Ghazala,Raoued,Ariana,1.22,Trabelsi,Trabelsi,1881 Lasailly,33.0,Ouled Khiar,37.2
TN125353,El Medina El Fadhila,Raoued,Ariana,6.57,Trabelsi,Trabelsi,1881 Lasailly,31.5,Ouled Khiar,38.3
TN125352,Enkhilet,Raoued,Ariana,4.05,Trabelsi,Trabelsi,1881 Lasailly,34.4,Ouled Khiar,38.8
TN125351,Jaafer,Raoued,Ariana,2.48,Trabelsi,Trabelsi,1881 Lasailly,33.1,Ouled Khiar,40.8
TN125355,Raoued,Raoued,Ariana,14.44,Trabelsi,Trabelsi,1881 Lasailly,35.5,Ouled Khiar,46.0
TN125357,Sidi Amor Bou Khtioua,Raoued,Ariana,9.65,Trabelsi,Trabelsi,1881 Lasailly,32.3,Ouled Khiar,43.0
TN125552,Bejaoua,Sidi Thabet,Ariana,13.46,Trabelsi,Trabelsi,1881 Lasailly,18.8,Riah,31.4
TN125554,Cebalet Ben Ammar,Sidi Thabet,Ariana,20.21,Trabelsi,Trabelsi,1881 Lasailly,25.3,Ouled Khiar,38.2
TN125555,Chorfech,Sidi Thabet,Ariana,33.25,Trabelsi,Trabelsi,1881 Lasailly,21.2,Makna,35.4
TN125553,Mongi Slim,Sidi Thabet,Ariana,16.79,Trabelsi,Trabelsi,1881 Lasailly,18.9,Riah,35.1
TN125551,Sidi Thabet,Sidi Thabet,Ariana,13.43,Trabelsi,Trabelsi,1881 Lasailly,21.8,Riah,36.8
TN125255,Borj El Ouzir,Soukra,Ariana,3.01,Ouled Khiar,Oulad Khiar,1853 Pellissier,36.1,Trabelsi,36.1
TN125254,Chotrana,Soukra,Ariana,6.68,Trabelsi,Trabelsi,1881 Lasailly,36.6,Ouled Khiar,39.9
TN125252,Dar Fadhal,Soukra,Ariana,2.38,Ouled Khiar,Oulad Khiar,1853 Pellissier,38.0,Trabelsi,39.0
TN125253,El Bessatine,Soukra,Ariana,3.1,Trabelsi,Trabelsi,1881 Lasailly,37.8,Ouled Khiar,38.5
TN125256,Ennasim,Soukra,Ariana,2.71,Trabelsi,Trabelsi,1881 Lasailly,34.5,Ouled Khiar,37.1
TN125257,Ettaamir,Soukra,Ariana,2.01,Trabelsi,Trabelsi,1881 Lasailly,36.0,Ouled Khiar,37.5
TN125251,Soukra,Soukra,Ariana,8.43,Ouled Khiar,Oulad Khiar,1853 Pellissier,39.8,Trabelsi,40.3
TN135151,Ben Arous Est,Ben Arous,Ben Arous,0.62,Ouled Khiar,Oulad Khiar,1853 Pellissier,27.3,Riah,33.6
TN135154,Ben Arous Ouest,Ben Arous,Ben Arous,1.08,Ouled Khiar,Oulad Khiar,1853 Pellissier,26.0,Riah,32.4
TN135156,Cite El Iskane,Ben Arous,Ben Arous,1.19,Ouled Khiar,Oulad Khiar,1853 Pellissier,25.6,Riah,32.4
TN135152,Cite Ibn Arafa,Ben Arous,Ben Arous,0.36,Ouled Khiar,Oulad Khiar,1853 Pellissier,27.5,Riah,33.7
TN135153,El Mehiri,Ben Arous,Ben Arous,2.41,Ouled Khiar,Oulad Khiar,1853 Pellissier,27.5,Riah,34.1
TN135155,Sidi Ben Arous,Ben Arous,Ben Arous,0.81,Ouled Khiar,Oulad Khiar,1853 Pellissier,26.5,Riah,32.8
TN135651,Bou Mhel,Boumhel,Ben Arous,4.4,Ouled Khiar,Oulad Khiar,1853 Pellissier,30.2,Riah,38.5
TN135653,Chela,Boumhel,Ben Arous,5.59,Ouled Khiar,Oulad Khiar,1853 Pellissier,28.6,Riah,37.1
TN135652,El Bassatine,Boumhel,Ben Arous,5.11,Ouled Khiar,Oulad Khiar,1853 Pellissier,29.7,Riah,37.6
TN135654,El Bassatine El Gharbya,Boumhel,Ben Arous,5.07,Ouled Khiar,Oulad Khiar,1853 Pellissier,27.8,Riah,35.5
TN135355,Bir Kassaa,El Mourouj,Ben Arous,0.88,Ouled Khiar,Oulad Khiar,1853 Pellissier,24.9,Riah,31.5
TN135351,El Mourouj (1),El Mourouj,Ben Arous,1.63,Ouled Khiar,Oulad Khiar,1853 Pellissier,23.5,Riah,30.0
TN135352,El Mourouj (3),El Mourouj,Ben Arous,2.87,Ouled Khiar,Oulad Khiar,1853 Pellissier,23.8,Riah,30.7
TN135353,El Mourouj (4),El Mourouj,Ben Arous,1.12,Ouled Khiar,Oulad Khiar,1853 Pellissier,22.7,Riah,29.7
TN135354,El Mourouj (5),El Mourouj,Ben Arous,5.11,Ouled Khiar,Oulad Khiar,1853 Pellissier,22.5,Riah,30.1
TN135356,Farhat Hached,El Mourouj,Ben Arous,4.39,Ouled Khiar,Oulad Khiar,1853 Pellissier,24.8,Riah,32.1
TN135753,18 Janvier,Ezzahra,Ben Arous,0.86,Ouled Khiar,Oulad Khiar,1853 Pellissier,31.4,Riah,39.0
TN135754,Borj El Louzir,Ezzahra,Ben Arous,2.58,Ouled Khiar,Oulad Khiar,1853 Pellissier,30.5,Riah,38.0
TN135752,Cite El Habib,Ezzahra,Ben Arous,1.43,Ouled Khiar,Oulad Khiar,1853 Pellissier,31.6,Riah,39.5
TN135751,Ez-Zahra Ville,Ezzahra,Ben Arous,2.13,Ouled Khiar,Oulad Khiar,1853 Pellissier,32.2,Riah,39.8
TN136156,Chebeda,Fouchana,Ben Arous,8.3,Ouled Khiar,Oulad Khiar,1853 Pellissier,20.6,Riah,29.0
TN136152,Cite El Mostakbel,Fouchana,Ben Arous,1.27,Ouled Khiar,Oulad Khiar,1853 Pellissier,18.2,Riah,24.9
TN136157,Douar Elhouch,Fouchana,Ben Arous,3.05,Ouled Khiar,Oulad Khiar,1853 Pellissier,21.8,Riah,30.1
TN136153,El Hidhab,Fouchana,Ben Arous,8.98,Ouled Khiar,Oulad Khiar,1853 Pellissier,20.1,Riah,27.1
TN136154,El Mghira,Fouchana,Ben Arous,8.51,Ouled Khiar,Oulad Khiar,1853 Pellissier,20.3,Riah,26.1
TN136151,Fouchana,Fouchana,Ben Arous,4.93,Ouled Khiar,Oulad Khiar,1853 Pellissier,18.9,Riah,26.0
TN136155,Naassen,Fouchana,Ben Arous,3.77,Ouled Khiar,Oulad Khiar,1853 Pellissier,23.4,Riah,31.3
TN135551,Bir El Bey,Hammam Chott,Ben Arous,6.2,Ouled Khiar,Oulad Khiar,1853 Pellissier,34.3,Riah,43.2
