tribe,label_in_source,year,source,figure,unit,page,quote,url,note,in_gazetteer
Ouled bou Salem,Oulad-Bou-Selem,1853,Pellissier de Reynaud 1853,4000,souls,29,"La population de la partie supérieure du bassin tunisien de la Medjerda peut être évaluée approximativement à quatorze mille cinq cents âmes, savoir : ...",https://archive.org/details/descriptiondela00rayngoog,"Table of the upper Medjerda basin; the table's own total, 14,500, checks against its parts.",1
Djendouba,Djendouba,1853,Pellissier de Reynaud 1853,2000,souls,29,"La population de la partie supérieure du bassin tunisien de la Medjerda peut être évaluée approximativement à quatorze mille cinq cents âmes, savoir : ...",https://archive.org/details/descriptiondela00rayngoog,"Table of the upper Medjerda basin; the table's own total, 14,500, checks against its parts.",1
Hakim,Hakim,1853,Pellissier de Reynaud 1853,2500,souls,29,"La population de la partie supérieure du bassin tunisien de la Medjerda peut être évaluée approximativement à quatorze mille cinq cents âmes, savoir : ...",https://archive.org/details/descriptiondela00rayngoog,"Table of the upper Medjerda basin; the table's own total, 14,500, checks against its parts.",1
Ouled Sdira,Oulad-Sedira,1853,Pellissier de Reynaud 1853,3000,souls,29,"La population de la partie supérieure du bassin tunisien de la Medjerda peut être évaluée approximativement à quatorze mille cinq cents âmes, savoir : ...",https://archive.org/details/descriptiondela00rayngoog,"Table of the upper Medjerda basin; the table's own total, 14,500, checks against its parts.",1
Zouagha,"Zouaka (with Kouka, Oulad-Merah, Oulad-Abdallah)",1853,Pellissier de Reynaud 1853,2000,souls,29,"Les Zouaka, Kouka, Oulad-Merah, Oulad-Abdallah 2,000",https://archive.org/details/descriptiondela00rayngoog,Four groups counted as one line; not separable.,1
Mogod,Le Mogod,1853,Pellissier de Reynaud 1853,10000,souls,52,"La population de toute la contrée située au nord du bassin de la Medjerda peut être évaluée à cinquante et un mille cinq cents âmes, savoir : ...",https://archive.org/details/descriptiondela00rayngoog,"Table for the country north of the Medjerda; total 51,500 checks against its parts.",1
Kroumirs,Khoumir,1853,Pellissier de Reynaud 1853,8000,souls,52,"La population de toute la contrée située au nord du bassin de la Medjerda peut être évaluée à cinquante et un mille cinq cents âmes, savoir : ...",https://archive.org/details/descriptiondela00rayngoog,"Table for the country north of the Medjerda; total 51,500 checks against its parts.",1
Beni Mtir,Beni-Mazen,1853,Pellissier de Reynaud 1853,1000,souls,52,"La population de toute la contrée située au nord du bassin de la Medjerda peut être évaluée à cinquante et un mille cinq cents âmes, savoir : ...",https://archive.org/details/descriptiondela00rayngoog,"Table for the country north of the Medjerda; total 51,500 checks against its parts.",1
Ouled Ali,Oulad-Ali,1853,Pellissier de Reynaud 1853,1000,souls,52,"La population de toute la contrée située au nord du bassin de la Medjerda peut être évaluée à cinquante et un mille cinq cents âmes, savoir : ...",https://archive.org/details/descriptiondela00rayngoog,"Table for the country north of the Medjerda; total 51,500 checks against its parts.",1
Ouchtata,Ouchtata,1853,Pellissier de Reynaud 1853,2000,souls,52,"La population de toute la contrée située au nord du bassin de la Medjerda peut être évaluée à cinquante et un mille cinq cents âmes, savoir : ...",https://archive.org/details/descriptiondela00rayngoog,"Table for the country north of the Medjerda; total 51,500 checks against its parts.",1
