record_id,title,year,century,confidence,provenance_tier,bbox_west,bbox_east,bbox_north,bbox_south,bbox_source,tunisia_extent_share,orientation,orientation_basis,geometric_class,georef_tier,georef_blockers,scale_class,scan_resolution_class,thematic_layers,n_thematic_layers,content_mappable,inequality_layers,inequality_use,coverage_group,url
btv1b525062937,Itinéraire de Tunis à Bizerte et à la frontière d'Algérie / gravé par Erhard,1880,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,medium,high,roads | admin_boundaries,2,yes,admin_boundaries | roads,direct,medium,https://gallica.bnf.fr/ark:/12148/btv1b525062937
btv1b7759078q,Itinéraire de Tunis à Bizerte et à la Frontière d'Algérie / Publié par le Dépôt de la Guerre ; Gravé par Erhard ... Paris,1880,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,medium,medium,roads | admin_boundaries,2,yes,admin_boundaries | roads,direct,medium,https://gallica.bnf.fr/ark:/12148/btv1b7759078q
btv1b53197273p,Carte des itinéraires de la Tunisie,1903,20th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,small,high,roads | admin_boundaries,2,yes,admin_boundaries | roads,direct,small,https://gallica.bnf.fr/ark:/12148/btv1b53197273p
btv1b531972761,Carte des itinéraires de la Tunisie,1906,20th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,small,high,roads | admin_boundaries,2,yes,admin_boundaries | roads,direct,small,https://gallica.bnf.fr/ark:/12148/btv1b531972761
btv1b53064546p,Carte des sites préhistoriques et protohistoriques de la Macédoine. Régions de Salonique et de Monastir (1re édition) / Dressée d'après les observations du Service archéologique de l'armée française,1918,20th c.,low,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,small,medium,admin_boundaries | archaeology,2,yes,admin_boundaries,indirect,small,https://gallica.bnf.fr/ark:/12148/btv1b53064546p
btv1b53179703r,"Carte de la Régence de Tunis dressée au Dépôt général de la guerre sous la direction de Mr. le lieu.t gén.al baron Pelet d'après les observations et les reconnaissances de Mr. Falbe, cap.ne de vaisseau danois, de Mr. Pricot S.te Marie cap.ne d'Etat-major, et d'après les renseignemens recueillis par eux. Gravé J. Schwaerzlé",1842,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,small,high,roads,1,yes,roads,direct,small,https://gallica.bnf.fr/ark:/12148/btv1b53179703r
btv1b53021091b,"Environs de Tunis et Carthage / Levés exécutés par MM. les capitaines Derrien... ; Koszutski... ; sous la direction de M. le commt Perrier, en 1878",1878,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,medium,high,archaeology,1,yes,,none,medium,https://gallica.bnf.fr/ark:/12148/btv1b53021091b
btv1b530210435,Carte des Itinéraires de la Régence de Tunis / publiée par le Dépôt,1882,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,small,high,roads,1,yes,roads,direct,small,https://gallica.bnf.fr/ark:/12148/btv1b530210435
btv1b8439510s,Croquis de la ville de Qirwan,1884,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,large,high,settlements,1,yes,settlements,indirect,large,https://gallica.bnf.fr/ark:/12148/btv1b8439510s
btv1b53022873s,"Carte des itinéraires de la Tunisie, 1/800 000, 1885",1886,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,small,high,roads,1,yes,roads,direct,small,https://gallica.bnf.fr/ark:/12148/btv1b53022873s
