record_id,title,year,century,confidence,provenance_tier,bbox_west,bbox_east,bbox_north,bbox_south,bbox_source,tunisia_extent_share,orientation,orientation_basis,geometric_class,georef_tier,georef_blockers,scale_class,scan_resolution_class,thematic_layers,n_thematic_layers,content_mappable,inequality_layers,inequality_use,coverage_group,url
btv1b530299959,Carte des itinéraires de la Tunisie,1887,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,small,high,roads,1,yes,roads,direct,small,https://gallica.bnf.fr/ark:/12148/btv1b530299959
btv1b53179707j,"Carte des itinéraires de la Tunisie / chef du service géographique, le Général Perrier",1887,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,small,high,roads,1,yes,roads,direct,small,https://gallica.bnf.fr/ark:/12148/btv1b53179707j
btv1b53179709f,Carte des itinéraires de la Tunisie / dressée au Service géographique de l'armée,1889,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,small,high,roads,1,yes,roads,direct,small,https://gallica.bnf.fr/ark:/12148/btv1b53179709f
btv1b531797080,Carte des itinéraires de la Tunisie / dressée au Service géographique de l'armée,1896,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,small,high,roads,1,yes,roads,direct,small,https://gallica.bnf.fr/ark:/12148/btv1b531797080
btv1b53062063k,"Carte archéologique et topographique des ruines de Carthage dressée d'après les relevés de M. l'adjoint du génie Bordy / avec le concours de MM. le R. P. Delattre ; ,... le général Dolot ; ,... P. Gauckler,...",1907,20th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,large,high,archaeology,1,yes,,none,large,https://gallica.bnf.fr/ark:/12148/btv1b53062063k
oai:u-bordeaux-montaigne.fr:340509,"Tunisie Flle. N° LXX-B9-C35, Djebel Trozza / dessiné, héliogravé et publié par le Service Géographique de l'Armée en 1929",1929,20th c.,high,partner,9.389,9.749,35.613,35.424,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,relief,1,yes,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340509
oai:u-bordeaux-montaigne.fr:340513,"Tunisie Flle. N° LXXV-B10-C32, Djebel Bireno / dressé, heliogravé et publié par le Service géographique de l'armée en 1930",1930,20th c.,high,partner,8.327,8.678,35.487,35.298,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,relief,1,yes,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340513
oai:u-bordeaux-montaigne.fr:340514,"Tunisie Flle. N° LXXVI-B10-C33, Djebel Semmama / dressé, héliogravé et publié au Service Géographique de l'Armée en 1930",1930,20th c.,high,partner,8.678,9.029,35.469,35.280,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,relief,1,yes,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340514
oai:u-bordeaux-montaigne.fr:340447,"Tunisie Flle. N° XLI-B5-C35, Djebel Mansour / dessiné, héliogravé et publié par le Service géographique de l'Armée en 1923 (révisé en 1930)",1930,20th c.,high,partner,9.461,9.821,36.333,36.144,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,relief,1,yes,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340447
oai:u-bordeaux-montaigne.fr:340448,"Tunisie Flle. N° XLII-B5-C36, Djebel Fkirine / dressé, gravé et publié par Service géographique de l'armée (révisé en 1930)",1930,20th c.,high,partner,9.812,10.172,36.283,36.100,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,relief,1,yes,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340448
oai:u-bordeaux-montaigne.fr:340449,"Tunisie Flle. N° XLIII-B5-C37, Enfidaville / dressé, gravé et publié par le Service géographique de l'Armée (révision de 1930)",1930,20th c.,high,partner,10.163,10.523,36.267,36.083,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,settlements,1,yes,settlements,indirect,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340449
oai:u-bordeaux-montaigne.fr:340412,"Tunisie Feuille n° XXVI-B3-C34, Oued-Zarga / dressé, héliogravé et publié par le service géographique de l'Armée (complété en 1931)",1931,20th c.,high,partner,9.128,9.497,36.711,36.522,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,hydrology,1,yes,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340412
oai:u-bordeaux-montaigne.fr:340511,"Tunisie Flle. N° LXXII-B9-C37, Oued Cherita / dessiné, héliogravé et publié par le Service Géographique de l'Armée en 1922 (Complété en 1931)",1931,20th c.,high,partner,10.091,10.451,35.567,35.367,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,hydrology,1,yes,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340511
oai:u-bordeaux-montaigne.fr:340454,"Tunisie Flle. N° XLVII-B6-C35, Djebel Bargou / dessiné, héliogravé et publié par le Service géographique de l'Armée en 1930 (complété en 1931)",1931,20th c.,high,partner,9.443,9.803,36.153,35.955,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,relief,1,yes,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340454
oai:u-bordeaux-montaigne.fr:340473,"Tunisie Flle. N° LIV-B7-C35, Djebel Serdj / dressé, héliogravé et publié par le Service Géographique de l'Armée en 1929 (complété en 1932)",1932,20th c.,high,partner,9.425,9.785,35.973,35.783,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,relief,1,yes,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340473
oai:u-bordeaux-montaigne.fr:340515,"Tunisie Flle. N° LXXVII-B10-C34, Djebel Mrhila / dessiné, héliogravé et publié par le Service Géographique de l'Armée en 1932",1932,20th c.,high,partner,9.380,9.696,35.451,35.262,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,relief,1,yes,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340515
oai:u-bordeaux-montaigne.fr:340368,"Tunisie Flle. N° V-B0-C34, Oued Sedjenane / dressé, héliogravé et publié par le Service géographique de l'Armée (complété en 1932)",1932,20th c.,high,partner,9.167,9.550,37.250,37.050,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,hydrology,1,yes,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340368
oai:u-bordeaux-montaigne.fr:340369,"Tunisie Flle. N° VI [6] B 0 - C 35, Djebel Ichkeul / dressé, heliogravé et publié par Service géographique de l'armée en 1936",1936,20th c.,high,partner,9.533,9.883,37.233,37.033,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,relief,1,yes,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340369
btv1b53260403g,"Carte des chemins de fer français / dressé, dessiné et publié par le Service géographique de l'armée",1937,20th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,small,high,railways,1,yes,railways,direct,small,https://gallica.bnf.fr/ark:/12148/btv1b53260403g
btv1b53065122w,"Carte des possessions françaises en Afrique et d'une partie de la Régence de Tunis dréssée au Dépôt général de la guerre, sous la direction de M. le lieutenant général Pelet d'après les levés et les reconnaissances faits à Alger, Oran et Bone, ...",1853,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,small,high,,0,no,,none,small,https://gallica.bnf.fr/ark:/12148/btv1b53065122w
btv1b531797046,"Carte de la régence de Tunis, dressé au Dépôt de la guerre / d'après les observations... de Mr Falbe ; de M. Pricot Ste Marie, étant directeur le colonel Blondel...",1857,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,small,high,,0,no,,none,small,https://gallica.bnf.fr/ark:/12148/btv1b531797046
btv1b53179705n,Carte de la régence de Tunis dressée au dépôt de la guerre... 1857,1878,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,small,high,,0,no,,none,small,https://gallica.bnf.fr/ark:/12148/btv1b53179705n
btv1b8441166k,"Plan de Sfax, 1/2 000, levé et dessiné par le lieutenant d'artillerie soussigné. Sfax, le 25 septembre 1881 : H. Baquet",1881,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,large,high,,0,no,,none,large,https://gallica.bnf.fr/ark:/12148/btv1b8441166k
btv1b530634783,Carte de la régence de Tunis dressée au dépôt de la guerre... 1857,1884,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,small,high,,0,no,,none,small,https://gallica.bnf.fr/ark:/12148/btv1b530634783
btv1b53022924j,"Algérie et Tunisie, d'après les documents fournis par le Dépôt de la Guerre (Service Géographique); orthographe des noms arabes d'après les principes du général Parmentier / dessinée par J. Hansen, 1885",1885,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,small,high,,0,no,,none,small,https://gallica.bnf.fr/ark:/12148/btv1b53022924j
btv1b53024975r,"Carte de la Tunisie, dressée au service géographique de l'armée",1889,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,small,high,,0,no,,none,small,https://gallica.bnf.fr/ark:/12148/btv1b53024975r
btv1b5969652w,"Carte de l'Afrique à l'échelle de 1:2 000 000. 02, Tunis : Afrique (région septentrionale) / [dressé et dessiné par... Régnauld de Lannoy de Bissy]",1894,,high,bnf,-17.550,51.333,37.300,-34.833,unimarc_123,0.006,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,very_small,medium,,0,no,,none,very_small,https://gallica.bnf.fr/ark:/12148/btv1b5969652w
btv1b53121118t,Carte de la Tunisie dressée au Service géographique de l'Armée,1895,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,small,high,,0,no,,none,small,https://gallica.bnf.fr/ark:/12148/btv1b53121118t
btv1b53029646j,Environs de Bizerte,1898,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,medium,high,,0,no,,none,medium,https://gallica.bnf.fr/ark:/12148/btv1b53029646j
btv1b530294979,Environs de Tunis,1898,19th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,medium,high,,0,no,,none,medium,https://gallica.bnf.fr/ark:/12148/btv1b530294979
btv1b531797063,Plan de Tunis,1901,20th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,large,high,,0,no,,none,large,https://gallica.bnf.fr/ark:/12148/btv1b531797063
oai:u-bordeaux-montaigne.fr:340371,"Tunisie Flle. N° VII.B 0-C 36, Porto-Farina / dressé, gravé et publié par Service géographique de l'armée (Révision de 1902)",1902,20th c.,high,partner,9.883,10.233,37.183,37.017,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340371
oai:u-bordeaux-montaigne.fr:340390,"Tunisie Flle. N° XIV-B 1-C 37, La Marsa / dressé, gravé et publié par Service géographique de l'armée (révision de 1902)",1902,20th c.,high,partner,10.233,10.583,37.000,36.800,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340390
oai:u-bordeaux-montaigne.fr:340396,"Tunisie Flle. N° XX-B2-C36, Tunis / dressé, gravé et publié par le Service géographique de l'Armée (révision de 1902)",1902,20th c.,high,partner,9.857,10.226,36.855,36.657,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340396
oai:u-bordeaux-montaigne.fr:340408,"Tunisie Flle. N° XXI-B2-C37, La Goulette / dressé, gravé et publié par le Service géographique de l'Armée (révision de 1902)",1902,20th c.,high,partner,10.233,10.586,36.817,36.617,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,large,unknown,,0,no,,none,large,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340408
btv1b8445503p,"Environs de Medenine / Dressé, héliogravé et publié par le Service géographique de l'Armée",1911,20th c.,high,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,medium,high,,0,no,,none,medium,https://gallica.bnf.fr/ark:/12148/btv1b8445503p
btv1b10104083z,Monastir : The Balkans / War office,1915,20th c.,low,bnf,,,,,none,,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,,medium,high,,0,no,,none,medium,https://gallica.bnf.fr/ark:/12148/btv1b10104083z
oai:u-bordeaux-montaigne.fr:340367,"Tunisie Flle. N° IV-B0-C33, Cap Negro / dressé, héliogravé et publié par le Service géographique de l'Armée (complété en 1922)",1922,20th c.,high,partner,8.800,9.183,37.250,37.067,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340367
oai:u-bordeaux-montaigne.fr:340374,"Tunisie Flle. N° X-B1-C33, Nefza / dressé, héliogravé et publié par le Service Géographique de l'Armée (complété en 1922)",1922,20th c.,high,partner,8.800,9.150,37.800,37.617,partner_page,0.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340374
oai:u-bordeaux-montaigne.fr:340436,"Tunisie Flle. N° XL-B5-C34, Gafour / dressé, héliogravé et publié par le Service géographique de l'Armée, en 1922",1922,20th c.,high,partner,9.100,9.450,36.333,36.150,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340436
oai:u-bordeaux-montaigne.fr:340470,"Tunisie Flle. N° LI-B7-C32, Tadjerouine / dressé, héliogravé et publié par le Service Géographique de l'Armée en 1923 (révision partielle de 1923)",1923,20th c.,high,partner,8.363,8.723,36.027,35.838,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340470
oai:u-bordeaux-montaigne.fr:340475,"Tunisie Flle. N° LVI-B7-C37, Sebkra Kelbia / dressé, gravé et publié par le Service géographique de l'Armée (complété en 1923)",1923,20th c.,high,partner,10.127,10.487,35.928,35.730,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340475
oai:u-bordeaux-montaigne.fr:340493,"Tunisie Flle. N° LXIV-B8-C37, Sidi El Hani / dressé, héliogravé et publié par le Service géographique de l'Armée (Complété en 1923)",1923,20th c.,high,partner,10.109,10.469,35.748,35.559,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340493
oai:u-bordeaux-montaigne.fr:340428,"Tunisie Flle. N° XXXII-B4-C33, Souk el Arba / dressé, héliogravé et publié par le Service géographique de l'Armée (complété en 1923)",1923,20th c.,high,partner,8.758,9.128,36.550,36.358,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340428
oai:u-bordeaux-montaigne.fr:340435,"Tunisie Flle. N° XXXIX-B5-C33, Nebeur / dessiné, héliogravé et publié par le Service géographique de l'Armée en 1924",1924,20th c.,high,partner,8.750,9.110,36.367,36.180,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340435
oai:u-bordeaux-montaigne.fr:340451,"Tunisie Flle N° XLIV-B6-C32, Le Kef / dessiné, héliogravé et publié par le Service géographique de l'Armée en 1924 (complété en 1925)",1925,20th c.,high,partner,8.367,8.733,36.200,36.017,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340451
oai:u-bordeaux-montaigne.fr:340471,"Tunisie Flle. N° LII-B1-C33, Ebba Ksour / dressé, héliogravé et publié par le Service géographique de l'Armée en 1925",1925,20th c.,high,partner,8.723,9.074,36.009,35.820,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340471
oai:u-bordeaux-montaigne.fr:340494,"Tunisie Flle. N° LXV-B8-C38, Djemmal / dressé, héliogravé et publié par le Service géographique de l'Armée (complété en 1925)",1925,20th c.,high,partner,10.793,10.820,35.667,35.500,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340494
oai:u-bordeaux-montaigne.fr:340530,"Tunisie Flle. N° LXXXII-B10-C39, Chebba / dressé, héliogravé et publié par le Service géographique de l'Armée (complété en 1925)",1925,20th c.,high,partner,10.775,11.135,35.343,35.145,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340530
oai:u-bordeaux-montaigne.fr:340488,"Tunisie Flle. N° LIX-B8-C32, Kalaat es Senam / dressé, héliogravé et publié par le Service géographique de l'Armée en 1926",1926,20th c.,high,partner,8.255,8.705,35.838,35.658,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340488
oai:u-bordeaux-montaigne.fr:340492,"Tunisie Flle. N° LXIII-B8-C36, Kairouan / dressé, héliogravé et publié par le Service géographique de l'Armée (complété en 1927)",1927,20th c.,high,partner,9.758,10.118,35.750,35.567,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340492
oai:u-bordeaux-montaigne.fr:340496,"Tunisie Flle. N° LXVII-B9-C32, Thala / dressé, héliogravé et publié par Service géographique de l'armée en 1927",1927,20th c.,high,partner,8.336,8.696,35.667,35.478,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340496
oai:u-bordeaux-montaigne.fr:340510,"Tunisie Flle. N° LXXI-B9-C36, Pavillier / dressé, héliogravé et publié par le Service géographique de l'Armée en 1923 (révision partielle en 1927)",1927,20th c.,high,partner,9.758,10.100,35.583,35.400,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340510
oai:u-bordeaux-montaigne.fr:340472,"Tunisie Flle. N° LIII-B7-C34, Maktar / dressé, héliogravé et publié par le Service géographique de l'Armée en 1928",1928,20th c.,high,partner,9.074,9.434,35.991,35.802,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340472
oai:u-bordeaux-montaigne.fr:340489,"Tunisie Flle. N° LX-B8-C33, Aïn El Kseïba / dressé héliogravé et publié par le Service géographique de l'armée en 1928",1928,20th c.,high,partner,8.705,9.065,35.829,35.640,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340489
oai:u-bordeaux-montaigne.fr:340491,"Tunisie Flle. N° LXII-B8-C35, Pichon / dressé, héliogravé et publié par le Service géographique de l'Armée en 1928",1928,20th c.,high,partner,9.407,9.767,35.793,35.600,partner_page,1.000,presumed_north,European printed cartography after 1700 is north-up by convention,survey,1_direct,no IIIF (partner-hosted); scan resolution low or unknown; image not on IIIF; fetch from the holding library,medium,unknown,,0,no,,none,medium,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340491
