sheet,tribe,parent,labels,printed_as,own_spread_km,lon,lat,major_km,minor_km,angle_deg,area_sqkm,grew_by_km,stopped_by,stopped_at_km,encloses_other_tribes
1853 Pellissier,Ouled Saïd,,1,Oulad Said,8.0,10.3,36.153,104.2,104.2,0.0,8532,48.1,Ouled Khiar,52.1,0
1853 Pellissier,Frechiche,,3,Frachiche | Frachiche Ouazaz | Frachiche Oulad Ali,43.8,8.59,35.27,98.2,81.7,8.0,6304,27.2,Mejers,49.1,0
1853 Pellissier,Mehadhba,,1,Mahedeba,8.0,9.943,34.341,84.4,84.4,0.0,5590,38.2,Hammama — Oulad Aziz,42.2,0
1853 Pellissier,Nefzaoua,,1,Nefzaoua,8.0,9.174,33.787,79.5,79.5,0.0,4967,35.8,Beni Yacoub,39.8,0
1853 Pellissier,Aguerba,,1,Agherba,8.0,10.402,34.696,78.7,78.7,0.0,4870,35.4,M'Talith — Nadjem,39.4,0
1853 Pellissier,Beni Zid,,1,Beni Zid,8.0,9.898,33.766,74.8,74.8,0.0,4394,33.4,Matmata,37.4,0
1853 Pellissier,Matmata,,1,Matmatta,8.0,9.735,33.456,74.8,74.8,0.0,4394,33.4,Beni Zid,37.4,0
1853 Pellissier,Ouled Aoun,,1,Oulad Aoun,8.0,9.421,36.278,73.4,73.4,0.0,4234,32.7,Drid,36.7,0
1853 Pellissier,Hammama — Oulad Aziz,Hammama,1,Hamema Oulad Aziz,8.0,9.491,34.411,73.1,73.1,0.0,4193,32.5,Beni Yacoub,36.5,0
1853 Pellissier,Beni Yacoub,,1,Beni Yacoub,8.0,9.413,34.087,73.1,73.1,0.0,4193,32.5,Hammama — Oulad Aziz,36.5,0
1853 Pellissier,Zlass,,2,Djelas | Djelas Senrassin,39.0,9.928,35.652,88.4,57.5,-53.4,3993,24.7,Oulad Khalifa,42.8,0
1853 Pellissier,Ouled Yakoub,,1,Oulad Yacoub,8.0,8.959,35.966,69.1,69.1,0.0,3755,30.6,Ouartan,34.6,0
1853 Pellissier,M'Talith — Oulad Alia,M'Talith,1,Methelith Oulad Alia,8.0,11.003,35.407,62.3,62.3,0.0,3044,27.1,M'Talith — Oulad Zid,31.1,0
1853 Pellissier,Ouled Khiar,,1,Oulad Khiar,8.0,10.033,36.569,60.4,60.4,0.0,2865,26.2,Drid,30.2,0
1853 Pellissier,Mejers,,1,Madjer,8.0,9.122,35.32,56.1,56.1,0.0,2476,24.1,Frechiche,28.1,0
1853 Pellissier,Hanencha,,1,Hanecha,8.0,8.166,36.137,55.1,55.1,0.0,2386,23.6,Charen,27.6,0
1853 Pellissier,M'Talith — Nadjem,M'Talith,1,Methelith Nadjem,8.0,10.704,34.949,50.6,50.6,0.0,2008,21.3,M'Talith — Meraïah,25.3,0
1853 Pellissier,Ouled Sidi Yahia ben Taleb,,1,Yahia bou Taleb,8.0,8.14,35.776,46.5,46.5,0.0,1700,19.3,Zeghalma,23.3,0
1853 Pellissier,Hamarna,,1,Hamerna,8.0,10.182,33.417,46.5,46.5,0.0,1696,19.2,Ouerghemma,23.2,0
