record_id,designation,sheet_name,lambert_zone,epsg,grid_intersections,frame_size_error_pct,easting_origin_km,northing_origin_km,label_votes_e,label_votes_n,labels_matched_e,labels_matched_n,anchor_vs_catalogue_e_m,anchor_vs_catalogue_n_m,corner_support_e,corner_support_n,corner_shift_km_e,corner_shift_km_n,neatline_error_m_e,neatline_error_m_n,anchor_basis_e,anchor_basis_n,neighbour_corner_m,neighbour_corner_sheet,corner_shift_refused_e,corner_shift_refused_n,residual_rms_m,residual_max_m,anchor_confident,nw_lon,nw_lat,se_lon,se_lat,error
oai:u-bordeaux-montaigne.fr:340354,B00-C34,Kef Abbed,nord,22391,248,2.28,440,461,13,3,16,4,1619.1,1306.2,3,2,,,11.0,182.3,printed_corners,printed_corners,,,,,50.13,86.77,1,9.212416,37.438856,9.556849,37.234592,
oai:u-bordeaux-montaigne.fr:340355,B0-C35,Bizerte,nord,22391,640,8.73,471,456,15,9,21,13,1747.8,1612.9,1,1,,,,,neighbour_corner,neighbour_corner,38.2,oai:u-bordeaux-montaigne.fr:340354,,,16.78,37.67,1,9.572734,37.414929,9.916197,37.213945,
oai:u-bordeaux-montaigne.fr:340356,B00-C36,Metline,nord,22391,396,9.35,503,454,7,19,7,23,1875.1,1068.0,1,3,,,,10.9,neighbour_corner,printed_corners,51.9,oai:u-bordeaux-montaigne.fr:340370,,,12.67,26.89,1,9.933728,37.393929,10.274839,37.191675,
oai:u-bordeaux-montaigne.fr:340367,B0-C33,Cap Negro,nord,22391,288,39.07,406,440,13,4,22,6,7029.7,1195.0,0,1,,,,,neighbour_corner,neighbour_corner,183.0,oai:u-bordeaux-montaigne.fr:340354,,,8.78,18.99,1,8.961294,37.265944,9.17984,37.073287,
oai:u-bordeaux-montaigne.fr:340368,B0-C34,Oued Sedjenane,nord,22391,704,8.99,438,439,34,23,37,26,848.9,691.9,3,2,,,-36.1,36.0,printed_corners,printed_corners,,,,,17.24,56.54,1,9.195449,37.256124,9.539806,37.056183,
oai:u-bordeaux-montaigne.fr:340369,B0-C35,Djebel Ichkeul,nord,22391,558,8.76,470,436,21,26,22,28,1682.4,175.6,3,4,,,-27.8,57.6,printed_corners,printed_corners,,,,,15.42,27.03,1,9.555492,37.235592,9.898598,37.03405,
oai:u-bordeaux-montaigne.fr:340370,B0-C36,Porto-Farina,nord,22391,630,8.93,501,434,6,21,9,25,2466.2,1492.1,4,3,,,-11.0,-9.0,printed_corners,printed_corners,,,,,15.6,30.56,1,9.915047,37.214128,10.256738,37.012442,
oai:u-bordeaux-montaigne.fr:340371,B0-C36,Porto-Farina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no kilometric grid
oai:u-bordeaux-montaigne.fr:340372,B0-C38,Sidi Daoud,nord,22391,462,1.18,565,429,2,14,6,19,2472.7,2738.2,4,3,,,12.1,91.6,printed_corners,printed_corners,,,,,10.45,21.66,1,10.633851,37.168027,10.971877,36.964014,
oai:u-bordeaux-montaigne.fr:340373,B0-C39,Cap Bon,nord,22391,310,1.95,598,428,20,6,22,6,3207.1,1864.3,1,3,,,,72.9,neighbour_corner,printed_corners,19.1,oai:u-bordeaux-montaigne.fr:340372,,,49.38,123.31,1,10.99241,37.143396,11.329784,36.93923,
