record_id,designation,sheet_name,catalogue_year,survey_year_min,survey_year_max,survey_years_read,survey_years_basis,credit_form,credits_window,revised_on_sheet,imprint_year,print_run_month,print_run_year,publisher_on_sheet,contour_interval_m,declination_epoch,price_francs,catalogue_to_survey_gap_years
oai:u-bordeaux-montaigne.fr:340354,B00-C34,Kef Abbed,1931,,,,anchored,,,,,,,,,,,
oai:u-bordeaux-montaigne.fr:340355,B0-C35,Bizerte,1936,,,,anchored,,,,,,,,,,,
oai:u-bordeaux-montaigne.fr:340356,B00-C36,Metline,,,,,unanchored,,,,,,,,,,,
oai:u-bordeaux-montaigne.fr:340367,B0-C33,Cap Negro,1922,1900,1900,1,anchored,,,,,,,,,,,22
oai:u-bordeaux-montaigne.fr:340368,B0-C34,Oued Sedjenane,1932,1897,1897,1,anchored,officers,,,,,,,,,,35
oai:u-bordeaux-montaigne.fr:340369,B0-C35,Djebel Ichkeul,1936,1890,1932,5,anchored,compiled,,,1936,,,,,,,46
oai:u-bordeaux-montaigne.fr:340370,B0-C36,Porto-Farina,1935,,,,unanchored,,,,1935,,,,,,,
oai:u-bordeaux-montaigne.fr:340371,B0-C36,Porto-Farina,1902,,,,anchored,officers,,,,,,SGA,,,,
oai:u-bordeaux-montaigne.fr:340372,B0-C38,Sidi Daoud,1932,,,,unanchored,,,,,,,,,,,
oai:u-bordeaux-montaigne.fr:340373,B0-C39,Cap Bon,1932,,,,unanchored,,,,,,,,,,,
oai:u-bordeaux-montaigne.fr:340374,B1-C33,Nefza,1922,1900,1900,1,anchored,officers,,,,,,SGA,,,,22
oai:u-bordeaux-montaigne.fr:340375,B1-C34,Hedil,1932,1899,1899,1,anchored,,,,,,,,,,,33
oai:u-bordeaux-montaigne.fr:340376,B1-C35,Mateur,1936,1900,1932,3,anchored,compiled,,,,,,,,,,36
oai:u-bordeaux-montaigne.fr:340387,B1-C36,Ariana,1936,1890,1935,4,anchored,compiled,,,1936,,,,,,,46
oai:u-bordeaux-montaigne.fr:340388,B1-C36,El Ariana,1902,,,,unanchored,,,,,,,,,,,
oai:u-bordeaux-montaigne.fr:340389,B1-C37,La Marsa,1932,,,,unanchored,,,,,,,,,,,
oai:u-bordeaux-montaigne.fr:340390,B1-C37,La Marsa,1902,,,,anchored,officers,,,,,,SGA,,,,
