tribe,taxpayers_1277,fiscal_units,units,attribution_basis,ganiage_individuals,ganiage_qualifier,ganiage_where,implied_per_taxpayer,at_ganiage_rate_of_4
Zlass,15706,4,Kooub et Gouazine | Ouled Khalifa | Ouled Iddir | Ouled Sendassen,footnote,60000,>,"p. 878, more than 60.000",3.82,62824
Drid,13075,2,Drid | Arab Majour,name,50000,~,"p. 877, near 50.000, Arab Majour included",3.82,52300
Hammama,12313,3,Ouled Aziz | Ouled Redouane | Ouled Maameur,footnote,50000,=,"p. 878, 50.000",4.06,49252
Frechiche,11057,4,Ouled Tlil | Ouled Ouzzaz | Ouled Ali | Ouled Naji,footnote,46500,~,"p. 877-878, 46 or 47.000 in 1857, Ouled Sidi Tlil included",4.21,44228
Mejers,9240,3,Ouled Mehanna | Fouad | Chaktma,footnote,40000,~,"p. 877, near 40.000",4.33,36960
M'Talith,6411,1,Methellith,name,25000,>,"p. 878, a little over 25.000",3.90,25644
Ouled Ayar,5797,1,Ouled Ayar,name,24000,~,"p. 877, twice the Ouled Aoun",4.14,23188
Souassi,4955,1,Souassi,name,20000,=,"p. 878, 20.000",4.04,19820
Ouartan,3953,1,Ouartane,name,,,,,15812
Trabelsi,3883,1,Trabelsia,name,,,,,15532
Ouled bou Ghanem,2930,1,Ouled bou Ghanem,name,,,,,11720
Ouled Aoun,2769,1,Ouled Aoun,name,12000,~,"p. 877, a dozen thousand",4.33,11076
Djendouba,2674,1,Jendouba,name,,,,,10696
Charen,2164,1,Charen,name,,,,,8656
Ouled Sidi Abid,1500,1,Ouled Sidi Abid,name,,,,,6000
Ouargha,1480,1,Ouergha,name,,,,,5920
Zeghalma,1393,1,Zeghalma,name,,,,,5572
Neffat,1287,1,Neffat,name,,,,,5148
Ouled Saïd,1185,1,Ouled Saïd,name,,,,,4740
Ouled bou Salem,1040,1,Ouled b. Salem,name,,,,,4160
Ouled Yakoub,863,1,Ouled Yacoub,name,,,,,3452
Ouled Khiar,266,1,Ouled Khiar,name,,,,,1064
