record_id,designation,sheet_name,catalogue_year,legend_variant,legend_confidence,has_symbol_legend,markers_1900s,markers_1930s,band_top
oai:u-bordeaux-montaigne.fr:340354,B00-C34,Kef Abbed,1931,1930s_functional,weak,1,0,1,0.8597
oai:u-bordeaux-montaigne.fr:340355,B0-C35,Bizerte,1936,1930s_functional,strong,1,0,2,0.8431
oai:u-bordeaux-montaigne.fr:340356,B00-C36,Metline,,1930s_functional,strong,1,0,2,0.8564
oai:u-bordeaux-montaigne.fr:340367,B0-C33,Cap Negro,1922,1930s_functional,strong,1,0,2,0.8521
oai:u-bordeaux-montaigne.fr:340368,B0-C34,Oued Sedjenane,1932,1930s_functional,weak,1,0,1,0.8631
oai:u-bordeaux-montaigne.fr:340369,B0-C35,Djebel Ichkeul,1936,1930s_functional,strong,1,0,2,0.8495
oai:u-bordeaux-montaigne.fr:340370,B0-C36,Porto-Farina,1935,1930s_functional,weak,1,0,1,0.8786
oai:u-bordeaux-montaigne.fr:340371,B0-C36,Porto-Farina,1902,1900s_administrative,strong,1,3,0,0.835
oai:u-bordeaux-montaigne.fr:340372,B0-C38,Sidi Daoud,1932,1930s_functional,strong,1,0,2,0.8557
oai:u-bordeaux-montaigne.fr:340373,B0-C39,Cap Bon,1932,1930s_functional,strong,1,0,2,0.869
oai:u-bordeaux-montaigne.fr:340374,B1-C33,Nefza,1922,1930s_functional,strong,1,0,2,0.821
oai:u-bordeaux-montaigne.fr:340375,B1-C34,Hedil,1932,1930s_functional,strong,1,0,2,0.8414
oai:u-bordeaux-montaigne.fr:340376,B1-C35,Mateur,1936,1930s_functional,strong,1,0,2,0.8402
oai:u-bordeaux-montaigne.fr:340387,B1-C36,Ariana,1936,1930s_functional,strong,1,0,2,0.8518
oai:u-bordeaux-montaigne.fr:340388,B1-C36,El Ariana,1902,1900s_administrative,strong,1,3,0,0.8404
oai:u-bordeaux-montaigne.fr:340389,B1-C37,La Marsa,1932,1930s_functional,strong,1,0,2,0.8544
oai:u-bordeaux-montaigne.fr:340390,B1-C37,La Marsa,1902,1900s_administrative,strong,1,3,0,0.8347
oai:u-bordeaux-montaigne.fr:340391,B1-C38,Tazoghrane,1932,1930s_functional,strong,1,0,2,0.848
oai:u-bordeaux-montaigne.fr:340392,B1-C39,Kelibia,1932,1930s_functional,strong,1,0,2,0.8433
oai:u-bordeaux-montaigne.fr:340393,B2-C34,Béja,1902,legend_present_edition_unread,none,1,0,0,0.8371
oai:u-bordeaux-montaigne.fr:340394,B2-C35,Tebourba,1934,1930s_functional,weak,1,0,1,0.8519
oai:u-bordeaux-montaigne.fr:340395,B2-C36,Tunis,1935,1930s_functional,strong,1,0,2,0.8899
oai:u-bordeaux-montaigne.fr:340396,B2-C36,Tunis,1902,1900s_administrative,strong,1,3,0,0.8932
oai:u-bordeaux-montaigne.fr:340407,B2-C37,La Goulette,1932,1930s_functional,strong,1,0,2,0.8573
oai:u-bordeaux-montaigne.fr:340409,B2-C37,La Goulette,,1900s_administrative,strong,1,2,0,0.826
oai:u-bordeaux-montaigne.fr:340410,B2-C38,Menzel Bou Zelfa,1932,1930s_functional,strong,1,0,2,0.8557
oai:u-bordeaux-montaigne.fr:340411,B2-C39,Mennzel Heurr,1932,1930s_functional,strong,1,0,2,0.8745
oai:u-bordeaux-montaigne.fr:340412,B3-C34,Oued-Zarga,1931,1930s_functional,weak,1,0,1,0.8682
oai:u-bordeaux-montaigne.fr:340413,B3-C35,Medjez-el-Bab,1931,1930s_functional,strong,1,0,2,0.8553
oai:u-bordeaux-montaigne.fr:340414,B3-C36,Oudna,1931,1930s_functional,strong,1,0,2,0.8327
oai:u-bordeaux-montaigne.fr:340415,B3-C37,Grombalia,1932,1930s_functional,strong,1,0,2,0.862
oai:u-bordeaux-montaigne.fr:340416,B3-C38,Nabeul,1932,1930s_functional,strong,1,0,2,0.8907
oai:u-bordeaux-montaigne.fr:340427,B4-C32,Ghardimaou,1928,1930s_functional,weak,1,0,1,0.8686
oai:u-bordeaux-montaigne.fr:340428,B4-C33,Souk el Arba,1923,1930s_functional,weak,1,0,1,0.8673
oai:u-bordeaux-montaigne.fr:340429,B4-C34,Teboursouk,1932,1930s_functional,strong,1,0,2,0.8649
oai:u-bordeaux-montaigne.fr:340430,B4-C35,Bou Arada,1930,1930s_functional,weak,1,0,1,0.8769
oai:u-bordeaux-montaigne.fr:340431,B4-C36,Zaghouan,1902,legend_present_edition_unread,none,1,0,0,0.8733
oai:u-bordeaux-montaigne.fr:340432,B4-C37,Bou Ficha,1932,1930s_functional,strong,1,0,2,0.8518
oai:u-bordeaux-montaigne.fr:340433,B4-C38,Hammamet,1931,1930s_functional,strong,1,0,2,0.8463
oai:u-bordeaux-montaigne.fr:340434,B5-C32,Ouargha,,1930s_functional,strong,1,0,2,0.8628
oai:u-bordeaux-montaigne.fr:340435,B5-C33,Nebeur,1924,1930s_functional,strong,1,0,2,0.847
oai:u-bordeaux-montaigne.fr:340436,B5-C34,Gafour,1922,1930s_functional,weak,1,0,1,0.8492
oai:u-bordeaux-montaigne.fr:340447,B5-C35,Djebel Mansour,1930,1930s_functional,weak,1,0,1,0.8517
oai:u-bordeaux-montaigne.fr:340448,B5-C36,Djebel Fkirine,1930,1930s_functional,weak,1,0,1,0.8603
oai:u-bordeaux-montaigne.fr:340449,B5-C37,Enfidaville,1930,1930s_functional,strong,1,0,2,0.8603
oai:u-bordeaux-montaigne.fr:340450,B5-C37,Enfida,,1900s_administrative,strong,1,2,0,0.8405
oai:u-bordeaux-montaigne.fr:340451,B6-C32,Le Kef,1925,1930s_functional,strong,1,0,2,0.8595
oai:u-bordeaux-montaigne.fr:340452,B6-C33,Les Salines,1929,1930s_functional,strong,1,0,2,0.8541
oai:u-bordeaux-montaigne.fr:340453,B6-C34,Siliana,1931,1930s_functional,strong,1,0,2,0.8463
oai:u-bordeaux-montaigne.fr:340454,B6-C35,Djebel Bargou,1931,1930s_functional,strong,1,0,2,0.836
oai:u-bordeaux-montaigne.fr:340455,B6-C36,Djebibina,1931,1930s_functional,strong,1,0,2,0.8391
oai:u-bordeaux-montaigne.fr:340456,B6-C37,Sidi Bou Ali,1931,legend_present_edition_unread,none,1,0,0,0.8583
oai:u-bordeaux-montaigne.fr:340467,B6-C37,Sidi Bou Ali,,1900s_administrative,strong,1,3,0,0.8642
oai:u-bordeaux-montaigne.fr:340468,B6-C38,Halk El Mennzel,1931,1930s_functional,weak,1,0,1,0.8437
oai:u-bordeaux-montaigne.fr:340469,B6-C38,Halk El Mennzel,,1900s_administrative,strong,1,2,0,0.8455
oai:u-bordeaux-montaigne.fr:340470,B7-C32,Tadjerouine,1923,1930s_functional,weak,1,0,1,0.8547
oai:u-bordeaux-montaigne.fr:340471,B1-C33,Ebba Ksour,1925,1930s_functional,weak,1,0,1,0.8528
oai:u-bordeaux-montaigne.fr:340472,B7-C34,Maktar,1928,1930s_functional,weak,1,0,1,0.8404
oai:u-bordeaux-montaigne.fr:340473,B7-C35,Djebel Serdj,1932,1930s_functional,strong,1,0,2,0.8476
oai:u-bordeaux-montaigne.fr:340474,B6-C37,Aïne Djeloula,1931,1930s_functional,weak,1,0,1,0.8564
oai:u-bordeaux-montaigne.fr:340475,B7-C37,Sebkra Kelbia,1923,1930s_functional,strong,1,0,2,0.8651
oai:u-bordeaux-montaigne.fr:340476,B7-C38,Sousse,1931,1930s_functional,strong,1,0,2,0.8379
oai:u-bordeaux-montaigne.fr:340487,B7-C38,Sousse,,1900s_administrative,strong,1,3,0,0.8358
oai:u-bordeaux-montaigne.fr:340488,B8-C32,Kalaat es Senam,1926,1930s_functional,strong,1,0,2,0.8383
oai:u-bordeaux-montaigne.fr:340489,B8-C33,Aïn El Kseïba,1928,1930s_functional,strong,1,0,2,0.8528
oai:u-bordeaux-montaigne.fr:340490,B8-C34,Rohia-Dj. Barbrou,1929,1930s_functional,weak,1,0,1,0.8544
oai:u-bordeaux-montaigne.fr:340491,B8-C35,Pichon,1928,1930s_functional,weak,1,0,1,0.844
oai:u-bordeaux-montaigne.fr:340492,B8-C36,Kairouan,1927,1930s_functional,strong,1,0,2,0.858
oai:u-bordeaux-montaigne.fr:340493,B8-C37,Sidi El Hani,1923,1930s_functional,strong,1,0,2,0.8321
oai:u-bordeaux-montaigne.fr:340494,B8-C38,Djemmal,1925,1930s_functional,strong,1,0,2,0.8547
oai:u-bordeaux-montaigne.fr:340495,B8-C39,Moknine,1931,1930s_functional,weak,1,0,1,0.8499
oai:u-bordeaux-montaigne.fr:340496,B9-C32,Thala,1927,1930s_functional,strong,1,0,2,0.8643
oai:u-bordeaux-montaigne.fr:340507,B9-C33,Ksar Tlili,1928,1930s_functional,strong,1,0,2,0.8636
oai:u-bordeaux-montaigne.fr:340508,B9-C34,Sbiba,1928,1930s_functional,weak,1,0,1,0.8575
oai:u-bordeaux-montaigne.fr:340509,B9-C35,Djebel Trozza,1929,1930s_functional,strong,1,0,2,0.8507
oai:u-bordeaux-montaigne.fr:340510,B9-C36,Pavillier,1927,1930s_functional,weak,1,0,1,0.8534
oai:u-bordeaux-montaigne.fr:340511,B9-C37,Oued Cherita,1931,legend_present_edition_unread,none,1,0,0,0.8497
oai:u-bordeaux-montaigne.fr:340512,B9-C38,Kerker,1931,1930s_functional,strong,1,0,2,0.8907
oai:u-bordeaux-montaigne.fr:340513,B10-C32,Djebel Bireno,1930,1930s_functional,strong,1,0,2,0.864
oai:u-bordeaux-montaigne.fr:340514,B10-C33,Djebel Semmama,1930,1930s_functional,weak,1,0,1,0.8547
oai:u-bordeaux-montaigne.fr:340515,B10-C34,Djebel Mrhila,1932,1930s_functional,weak,1,0,1,0.8314
oai:u-bordeaux-montaigne.fr:340516,B10-C35,Hadjeb el Aïoun,1933,1930s_functional,weak,1,0,1,0.8691
oai:u-bordeaux-montaigne.fr:340527,B10-C36,Nasr Allah,1934,1930s_functional,strong,1,0,2,0.8649
oai:u-bordeaux-montaigne.fr:340528,B10-C37,Chorbane,1934,1930s_functional,weak,1,0,1,0.8271
oai:u-bordeaux-montaigne.fr:340529,B10-C38,El Djem,1931,1930s_functional,weak,1,0,1,0.8615
oai:u-bordeaux-montaigne.fr:340530,B10-C39,Chebba,1925,1930s_functional,strong,1,0,2,0.8419
oai:u-bordeaux-montaigne.fr:340531,B11-C32,Bou Chebka,1939,1930s_functional,strong,1,0,3,0.8256
oai:u-bordeaux-montaigne.fr:340532,B11-C33,Kasserine,1936,1930s_functional,weak,1,0,1,0.8427
oai:u-bordeaux-montaigne.fr:340533,,Djebeniana,1940,1930s_functional,strong,1,0,2,0.8568
oai:u-bordeaux-montaigne.fr:340534,,,1941,no_symbol_legend,band_read,0,0,0,0.8935
oai:u-bordeaux-montaigne.fr:340535,,,1941,no_symbol_legend,band_read,0,0,0,0.8921
oai:u-bordeaux-montaigne.fr:340615,,,1946,no_symbol_legend,band_read,0,0,0,0.9105
oai:u-bordeaux-montaigne.fr:340616,,,,1930s_functional,strong,1,0,2,0.8809
oai:u-bordeaux-montaigne.fr:340627,,,1934,1930s_functional,weak,1,0,1,0.8509
oai:u-bordeaux-montaigne.fr:340628,,,1940,unread,none,0,0,0,0.8827
oai:u-bordeaux-montaigne.fr:340629,,,,no_symbol_legend,band_read,0,0,0,0.834
