adm4_pcode,imada,delegation,gouvernorat,area_sqkm,tribes_n,tribes
TN225351,Bou Salem Nord,Bousalem,Jendouba,6.49,3,Djendouba | Ouled bou Salem | Zouagha
TN225352,Bou Salem Sud,Bousalem,Jendouba,1.65,3,Djendouba | Ouled bou Salem | Zouagha
TN225256,Bulla-Regja,Jendouba Nord,Jendouba,37.01,3,Djendouba | Ghezoran | Hakim
TN225853,Dkhailia,Oued Mliz,Jendouba,43.31,3,Meressen | Ouchtata | Ouled Sdira
TN225757,Ed-Daoura,Ghardimaou,Jendouba,32.58,3,Hakim | Ouchtata | Ouled Sdira
TN225259,Ed-Dir,Jendouba Nord,Jendouba,23.91,3,Meressen | Ouchtata | Ouled Soltan
TN225954,El Baldia,Balta Bou Aouane,Jendouba,21.5,3,Chehida | Ghezoran | Zouagha
TN225762,El Galaa,Ghardimaou,Jendouba,60.55,3,Meressen | Ouchtata | Ouled Sdira
TN225453,El Hamdia,Tabarka,Jendouba,31.07,3,Beni Mtir | Kroumirs | Nefza
TN225357,El Koudia,Bousalem,Jendouba,42.32,3,Djendouba | Ouled bou Salem | Zouagha
TN225753,El Maaden,Ghardimaou,Jendouba,34.34,3,Meressen | Ouchtata | Ouled Sdira
TN225155,El Malga,Jendouba Sud,Jendouba,32.11,3,Djendouba | Hakim | Ouled bou Salem
TN225358,El Msanghouche,Bousalem,Jendouba,44.43,3,Djendouba | Ouled bou Salem | Zouagha
TN225754,Er-Rakha,Ghardimaou,Jendouba,54.99,3,Hakim | Ouchtata | Ouled Sdira
TN225559,Er-Rouii,Aïn Draham,Jendouba,39.86,3,Meressen | Ouchtata | Ouled Soltan
TN225353,Erroumani,Bousalem,Jendouba,29.7,3,Djendouba | Ouled bou Salem | Zouagha
TN225758,Es-Sraia,Ghardimaou,Jendouba,66.07,3,Hakim | Ouchtata | Ouled Sdira
TN225253,Ezzouhour,Jendouba Nord,Jendouba,34.11,3,Djendouba | Ghezoran | Ouled bou Salem
TN225760,Fej Hassine,Ghardimaou,Jendouba,62.64,3,Charen | Hakim | Ouled Sdira
TN225752,Ghardimaou Nord,Ghardimaou,Jendouba,2.26,3,Hakim | Ouchtata | Ouled Sdira
TN225664,Halima,Fernana,Jendouba,32.3,3,Meressen | Ouchtata | Ouled Soltan
TN225661,Jaouaouada,Fernana,Jendouba,16.11,3,Meressen | Ouchtata | Ouled Soltan
TN225961,Oued Kesseb,Balta Bou Aouane,Jendouba,31.06,3,Chehida | Ouled bou Salem | Zouagha
TN225654,Ouled Mefada,Fernana,Jendouba,24.07,3,Meressen | Ouchtata | Ouled Soltan
TN225553,Ouled Sedra,Aïn Draham,Jendouba,69.35,3,Beni Mtir | Kroumirs | Ouled Ali
TN225653,Rabiaa,Fernana,Jendouba,33.35,3,Ghezoran | Hakim | Ouled Soltan
TN225452,Raihane,Tabarka,Jendouba,50.02,3,Beni Mtir | Kroumirs | Nefza
TN225359,Sidi Abid,Bousalem,Jendouba,46.88,3,Djendouba | Ouled bou Salem | Zouagha
TN225260,Souk Djemaa,Jendouba Nord,Jendouba,24.62,3,Meressen | Ouchtata | Ouled Soltan
TN225560,Tegma,Aïn Draham,Jendouba,31.59,3,Meressen | Ouchtata | Ouled Soltan
TN416054,Cheraitia Sud,Chrarda,Kairouan,72.84,3,M'Talith | Oulad Khalifa | Ouled Redouan
TN425961,Sidi M'Hammed,Thala,Kassérine,72.29,3,Mejers | Ouartan | Zeghalma
TN236055,Abida,Dahmani,Le Kef,82.3,3,Khememsa | Ouartan | Ouled Yakoub
TN235553,Ain El Abar,Tajerouine,Le Kef,75.47,3,Doufan | Ouled bou Ghanem | Zeghalma
TN235952,Ain El Ksiba,Ksour,Le Kef,80.98,3,Khememsa | Ouartan | Zeghalma
TN235953,Banou,Ksour,Le Kef,73.16,3,Khememsa | Ouartan | Ouled Yakoub
TN235454,Djeradou,Sakiet Sidi Youssef,Le Kef,137.16,3,Charen | Hakim | Ouargha
TN235951,El Ksour,Ksour,Le Kef,25.59,3,Khememsa | Ouartan | Ouled Yakoub
TN236057,El Medeina,Dahmani,Le Kef,71.23,3,Khememsa | Ouartan | Ouled Yakoub
TN235556,Ennajet,Tajerouine,Le Kef,37.03,3,Charen | Ouartan | Ouled Yakoub
TN235452,Es-Sefeia,Sakiet Sidi Youssef,Le Kef,43.07,3,Charen | Hakim | Ouargha
TN235855,Fej Ettameur,Jerissa,Le Kef,99.54,3,Khememsa | Ouartan | Zeghalma
TN235455,Forchane,Sakiet Sidi Youssef,Le Kef,160.09,3,Charen | Ouargha | Ouartan
TN235558,Jezza,Tajerouine,Le Kef,77.61,3,Charen | Ouartan | Ouled Yakoub
TN235651,Kalaat Snan,Kalaat Senan,Le Kef,30.46,3,Doufan | Ouled bou Ghanem | Zeghalma
TN235656,Sed El Khir,Kalaat Senan,Le Kef,104.33,3,Doufan | Ouled bou Ghanem | Zeghalma
TN236058,Sidi Baraket Nord,Dahmani,Le Kef,46.25,3,Khememsa | Ouartan | Zeghalma
TN236059,Sidi Baraket Sud,Dahmani,Le Kef,42.26,3,Khememsa | Ouartan | Zeghalma
TN235555,Sidi M'Tir,Tajerouine,Le Kef,64.16,3,Charen | Ouartan | Ouled Yakoub
TN335554,Ech-Chahda Ouest,Hbira,Mahdia,65.79,3,M'Talith | Oulad Amer | Oulad Khalifa
TN335555,El Maherza Sud,Hbira,Mahdia,131.08,3,M'Talith | Oulad Amer | Oulad Khalifa
TN336060,En-Nozha,Sidi Alouane,Mahdia,22.67,3,M'Talith — Meraïah | M'Talith — Oulad Merab | M'Talith — Oulad Zid
TN336059,Zalba Ouest,Sidi Alouane,Mahdia,37.55,3,M'Talith — Meraïah | M'Talith — Oulad Merab | M'Talith — Oulad Zid
TN345853,Baltech,Jebeniana,Sfax,39.18,3,M'Talith — Meraïah | M'Talith — Oulad Merab | M'Talith — Oulad Zid
TN345856,El Ajengna,Jebeniana,Sfax,46.72,3,M'Talith — Meraïah | M'Talith — Oulad Merab | M'Talith — Oulad Zid
TN436156,Erradhaa,Regueb,Sidi Bou Zid,54.58,3,Hammama | Neffat | Taïfa
TN436157,Erradhaa Est,Regueb,Sidi Bou Zid,38.97,3,Hammama | Neffat | Taïfa
TN175658,Arab Majour,Mateur,Bizerte,123.0,2,Makna | Trabelsi
TN175652,Banlieue De Mateur,Mateur,Bizerte,47.1,2,Hezil | Makna
TN175659,Behaya,Mateur,Bizerte,118.99,2,Hezil | Makna
TN175660,Boumkhila,Mateur,Bizerte,57.07,2,Hezil | Makna
TN175654,Cite En Nasr,Mateur,Bizerte,26.83,2,Hezil | Makna
TN175452,El Maalia,Sejnane,Bizerte,59.91,2,Djeladjela | Mogod
TN175751,Ghezala,Ghazala,Bizerte,61.75,2,Hezil | Makna
TN175754,Hached,Ghazala,Bizerte,32.29,2,Hezil | Makna
TN175559,Rouaha,Joumine,Bizerte,41.42,2,Djeladjela | Riah
TN175456,Sidi Mechrek,Sejnane,Bizerte,77.37,2,Mogod | Nefza
TN175657,Targuellache,Mateur,Bizerte,105.27,2,Makna | Trabelsi
TN215858,Cheikh El Ouediane,Goubellat,Béja,29.86,2,Drid | Trabelsi
TN215652,Djebba,Thibar,Béja,34.25,2,Djendouba | Zouagha
TN215854,Dour Esmail,Goubellat,Béja,86.55,2,Drid | Trabelsi
TN215364,El Djouza,Amdoun,Béja,21.59,2,Chehida | Nefza
TN215852,El Gammarthi,Goubellat,Béja,24.3,2,Drid | Trabelsi
TN215163,El Ghraba,Béja Nord,Béja,41.68,2,Djeladjela | Riah
TN215158,El Ghriria,Béja Nord,Béja,31.81,2,Ouled bou Salem | Zouagha
TN215960,El Gueriaat,Mejez El Bab,Béja,35.04,2,Drid | Trabelsi
TN215955,El Heri,Mejez El Bab,Béja,46.29,2,Riah | Trabelsi
TN215757,Es-Slouguia,Testour,Béja,83.94,2,Drid | Trabelsi
TN215455,Ezzouaraa,Nefza,Béja,61.0,2,Mekena | Nefza
TN215851,Goubellat,Goubellat,Béja,30.41,2,Drid | Trabelsi
TN215853,Guerram,Goubellat,Béja,74.48,2,Drid | Trabelsi
TN215254,Hammam Siala,Béja Sud,Béja,67.12,2,Ouled bou Salem | Zouagha
TN215857,Khacheb,Goubellat,Béja,84.56,2,Drid | Trabelsi
TN215457,Maktaa Hadid,Nefza,Béja,63.34,2,Mekena | Nefza
TN215361,Malek,Amdoun,Béja,19.72,2,Chehida | Zouagha
TN215952,Medjez El Bab Sud,Mejez El Bab,Béja,18.02,2,Riah | Trabelsi
TN215453,Ouachtata,Nefza,Béja,27.67,2,Mekena | Nefza
TN215355,Romadhnia,Amdoun,Béja,15.21,2,Chehida | Zouagha
TN215953,Sidi Medien,Mejez El Bab,Béja,32.54,2,Drid | Trabelsi
TN215958,Sidi Nasr,Mejez El Bab,Béja,29.0,2,Riah | Trabelsi
TN215255,Sidi Smail,Béja Sud,Béja,62.94,2,Ouled bou Salem | Zouagha
TN215362,Tarhouni,Amdoun,Béja,25.47,2,Ouled bou Salem | Zouagha
TN215463,Tebaba,Nefza,Béja,44.83,2,Djeladjela | Riah
TN215462,Zaga,Nefza,Béja,34.16,2,Mekena | Nefza
TN215352,Zahret Medien Sud,Amdoun,Béja,18.67,2,Ouled bou Salem | Zouagha
TN215258,Zouagha,Béja Sud,Béja,33.11,2,Ouled bou Salem | Zouagha
TN225159,Ain Karima,Jendouba Sud,Jendouba,25.53,2,Djendouba | Hakim
TN225755,Ain Soltane,Ghardimaou,Jendouba,59.13,2,Ouchtata | Ouled Sdira
TN225258,Chemtou,Jendouba Nord,Jendouba,37.14,2,Ouled Sdira | Ouled Soltan
TN225955,Cheouaoula,Balta Bou Aouane,Jendouba,17.96,2,Chehida | Ghezoran
TN225158,El Aitha,Jendouba Sud,Jendouba,16.09,2,Djendouba | Ouled bou Salem
TN225162,El Azima,Jendouba Sud,Jendouba,20.71,2,Djendouba | Ouled bou Salem
TN225355,El Marja,Bousalem,Jendouba,49.81,2,Djendouba | Ouled bou Salem
TN225255,Es-Souani,Jendouba Nord,Jendouba,38.88,2,Hakim | Ouled Soltan
TN225156,Ettataouer,Jendouba Sud,Jendouba,16.34,2,Djendouba | Hakim
TN225759,Forgassen,Ghardimaou,Jendouba,44.06,2,Ouchtata | Ouled Sdira
TN225751,Ghardimaou,Ghardimaou,Jendouba,1.86,2,Hakim | Ouled Sdira
TN225952,Ghezala,Balta Bou Aouane,Jendouba,29.04,2,Ghezoran | Zouagha
TN225854,Hakim Nord,Oued Mliz,Jendouba,21.92,2,Hakim | Ouled Sdira
TN225855,Hakim Sud,Oued Mliz,Jendouba,58.32,2,Hakim | Ouled Sdira
TN225160,Maalla,Jendouba Sud,Jendouba,34.03,2,Djendouba | Hakim
TN225457,Melloula,Tabarka,Jendouba,39.3,2,Beni Mtir | Kroumirs
TN225761,Mrassen,Ghardimaou,Jendouba,39.0,2,Ouchtata | Ouled Sdira
TN225756,Ouechtata,Ghardimaou,Jendouba,61.06,2,Ouchtata | Ouled Sdira
TN225851,Oued Meliz Est,Oued Mliz,Jendouba,41.75,2,Hakim | Ouled Sdira
TN225852,Oued Meliz Ouest,Oued Mliz,Jendouba,33.06,2,Hakim | Ouled Sdira
TN225157,Souk Es-Sebt,Jendouba Sud,Jendouba,28.23,2,Djendouba | Ouled bou Salem
TN225451,Tabarka,Tabarka,Jendouba,14.36,2,Beni Mtir | Kroumirs
TN416151,Bouhajla Centre,Bouhajla,Kairouan,32.18,2,Oulad Khalifa | Zlass
TN416152,Bouhajla El Ahouez,Bouhajla,Kairouan,33.07,2,Oulad Khalifa | Zlass
TN416157,El Fatah,Bouhajla,Kairouan,56.3,2,Oulad Khalifa | Zlass
TN415457,El Gfi,Sbikha,Kairouan,64.75,2,Ouled Saïd | Souassi
TN416156,Ouled Achour,Bouhajla,Kairouan,55.35,2,M'Talith | Oulad Khalifa
TN416158,Ouled Fardjallah Nord,Bouhajla,Kairouan,55.98,2,M'Talith | Oulad Khalifa
TN416053,Ouled Farjallah Sud,Chrarda,Kairouan,53.61,2,M'Talith | Oulad Khalifa
TN425954,Ain Aj-Jadeida,Thala,Kassérine,41.76,2,Mejers | Zeghalma
TN425955,Barmajna,Thala,Kassérine,66.19,2,Mejers | Zeghalma
TN425960,Boulahnech,Thala,Kassérine,36.05,2,Mejers | Zeghalma
TN425752,Fej Terbah,Jedeliane,Kassérine,85.58,2,Mejers | Ouartan
TN425962,Ouljet Edhel,Thala,Kassérine,82.63,2,Ouartan | Zeghalma
TN235456,Ain El Karma,Sakiet Sidi Youssef,Le Kef,105.92,2,Charen | Ouargha
TN235657,Ain Snan,Kalaat Senan,Le Kef,48.27,2,Doufan | Zeghalma
TN235854,Besseriana,Jerissa,Le Kef,35.91,2,Doufan | Zeghalma
TN235561,Borj Eddiouana,Tajerouine,Le Kef,70.17,2,Doufan | Ouled bou Ghanem
TN235652,Bou Jabeur,Kalaat Senan,Le Kef,45.05,2,Ouled bou Ghanem | Zeghalma
TN236051,Dahmani,Dahmani,Le Kef,3.71,2,Khememsa | Ouled Yakoub
TN235658,El Hamaima,Kalaat Senan,Le Kef,68.23,2,Doufan | Ouled bou Ghanem
TN235559,El Houdh,Tajerouine,Le Kef,87.2,2,Khememsa | Ouled Yakoub
TN235659,El Mahjouba,Kalaat Senan,Le Kef,48.0,2,Doufan | Zeghalma
TN235754,En-Nadhour,Kalaa Khesba,Le Kef,85.14,2,Doufan | Zeghalma
TN235458,Et-Tabia,Sakiet Sidi Youssef,Le Kef,108.3,2,Charen | Ouled bou Ghanem
TN235956,Ezzitouna,Ksour,Le Kef,100.05,2,Ouartan | Ouled Yakoub
TN235654,Mzita,Kalaat Senan,Le Kef,50.03,2,Doufan | Zeghalma
TN235363,Oueljet Essedra,Nebeur,Le Kef,41.54,2,Hakim | Ouled Sdira
TN235451,Sakiet Sidi Youssef,Sakiet Sidi Youssef,Le Kef,12.03,2,Charen | Ouargha
TN235753,Sidi Ahmed Essalah,Kalaa Khesba,Le Kef,78.83,2,Doufan | Zeghalma
TN235457,Sidi Rabeh,Sakiet Sidi Youssef,Le Kef,74.73,2,Charen | Ouled bou Ghanem
TN235551,Tajerouine Nord,Tajerouine,Le Kef,27.61,2,Ouled Yakoub | Ouled bou Ghanem
TN235353,Tel El Ghozlane,Nebeur,Le Kef,53.5,2,Djendouba | Ouled bou Salem
TN236053,Zouarine,Dahmani,Le Kef,117.13,2,Khememsa | Ouled Yakoub
TN335954,Ben Hssine,Melloulech,Mahdia,41.91,2,M'Talith — Meraïah | M'Talith — Oulad Zid
TN335451,Chorbane,Chorbane,Mahdia,58.14,2,M'Talith | Oulad Amer
TN335454,Ech-Chahda Est,Chorbane,Mahdia,38.8,2,M'Talith | Oulad Amer
TN335453,Ech-Chahda Sud,Chorbane,Mahdia,54.04,2,M'Talith | Oulad Amer
TN335953,El Mansoura,Melloulech,Mahdia,34.4,2,M'Talith — Meraïah | M'Talith — Oulad Zid
TN335658,Ez-Zairat,Souassi,Mahdia,11.89,2,M'Talith | Oulad Amer
TN335951,Melloulech,Melloulech,Mahdia,44.14,2,M'Talith — Meraïah | M'Talith — Oulad Zid
TN335460,Ouled El Hannachi,Chorbane,Mahdia,28.49,2,M'Talith | Oulad Amer
TN335660,Ouled Moulahem Ouest,Souassi,Mahdia,23.17,2,M'Talith | Oulad Amer
TN335955,Sidi Abdellaziz,Melloulech,Mahdia,18.33,2,M'Talith — Meraïah | M'Talith — Oulad Zid
TN336058,Zalba Est,Sidi Alouane,Mahdia,56.15,2,M'Talith — Meraïah | M'Talith — Oulad Zid
TN345852,Batria,Jebeniana,Sfax,26.95,2,M'Talith — Meraïah | M'Talith — Oulad Zid
TN346055,Bir Chaaba,Hencha,Sfax,27.63,2,M'Talith — Nadjem | M'Talith — Oulad Merab
TN346156,Bou-Thadi,Menzel Chaker,Sfax,173.19,2,M'Talith | Ouled Redouan
TN345851,Djebeniana,Jebeniana,Sfax,19.68,2,M'Talith — Meraïah | M'Talith — Oulad Zid
TN346051,El Hencha,Hencha,Sfax,105.9,2,M'Talith — Meraïah | M'Talith — Oulad Merab
TN345858,El Houdh,Jebeniana,Sfax,42.94,2,M'Talith — Meraïah | M'Talith — Oulad Merab
TN345855,El Kalelja,Jebeniana,Sfax,40.91,2,M'Talith — Meraïah | M'Talith — Oulad Zid
TN345854,Hazeg,Jebeniana,Sfax,21.98,2,M'Talith — Meraïah | M'Talith — Oulad Zid
TN346059,Jouaouda,Hencha,Sfax,29.34,2,M'Talith — Meraïah | M'Talith — Nadjem
TN346056,Merkez Mosbah,Hencha,Sfax,71.47,2,M'Talith — Nadjem | M'Talith — Oulad Merab
TN346352,Sidi Dhaher,Bir Ali Ben Khélifa,Sfax,129.14,2,Ouled Redouan | Ouled el Goussem
TN346053,Sidi Hassen Belhaj,Hencha,Sfax,94.51,2,M'Talith — Meraïah | M'Talith — Oulad Merab
TN436054,El Gheris Est,Mazzouna,Sidi Bou Zid,74.01,2,Neffat | Taïfa
TN436162,Essekba,Regueb,Sidi Bou Zid,92.01,2,Hammama | Taïfa
TN435857,Ezzouaraa,Meknassi,Sidi Bou Zid,46.86,2,Hammama | Taïfa
TN436166,Ferch Gharib,Regueb,Sidi Bou Zid,37.0,2,Hammama | Ouled el Goussem
TN435852,Gheris Ouest,Meknassi,Sidi Bou Zid,90.03,2,Neffat | Taïfa
TN436160,Gobrar,Regueb,Sidi Bou Zid,49.2,2,Hammama | Ouled el Goussem
TN436155,Gouleb,Regueb,Sidi Bou Zid,89.54,2,Hammama | Taïfa
TN436163,Khechem Est,Regueb,Sidi Bou Zid,61.92,2,Ouled Redouan | Ouled el Goussem
TN436154,Ksar El Hammam Est,Regueb,Sidi Bou Zid,66.2,2,Hammama | Ouled el Goussem
TN436159,Ksar El Hammam Ouest,Regueb,Sidi Bou Zid,81.39,2,Hammama | Ouled el Goussem
TN436167,Ouled Ayouni,Regueb,Sidi Bou Zid,41.61,2,Hammama | Ouled el Goussem
TN436161,Rihana,Regueb,Sidi Bou Zid,106.06,2,Hammama | Taïfa
TN246055,Ain Fourna,Bargou,Siliana,58.3,2,Ouled Aoun | Riah
TN245454,Ain Zerig,Gaafour,Siliana,142.97,2,Ouled Aoun | Riah
TN246052,Banlieue Bargou,Bargou,Siliana,86.94,2,Ouled Aoun | Riah
TN245455,El Ahouez Nord,Gaafour,Siliana,84.72,2,Ouled Aoun | Riah
TN246151,El Aroussa,Laroussa,Siliana,110.17,2,Ouled Aoun | Riah
TN246153,Er Remil,Laroussa,Siliana,89.41,2,Ouled Aoun | Riah
TN245554,Hammam Biadha Nord,El Krib,Siliana,54.44,2,Djendouba | Ouled bou Salem
TN245354,Henchir Er-Roman,Bouarada,Siliana,89.97,2,Ouled Aoun | Riah
TN245154,Jema,Siliana Nord,Siliana,113.29,2,Ouled Aoun | Ouled Ayar
TN246154,Mousrata,Laroussa,Siliana,42.8,2,Ouled Aoun | Riah
TN245355,Sidi Abdennour,Bouarada,Siliana,67.56,2,Ouled Aoun | Riah
TN316052,El Frada,Enfidha,Sousse,36.32,2,Ouled Saïd | Souassi
TN316059,El Garci,Enfidha,Sousse,19.07,2,Ouled Saïd | Souassi
TN316053,Gerimet Est,Enfidha,Sousse,17.6,2,Ouled Saïd | Souassi
TN316054,Gerimet Ouest,Enfidha,Sousse,21.17,2,Ouled Saïd | Souassi
TN316061,Hicher,Enfidha,Sousse,30.59,2,Ouled Saïd | Souassi
TN316063,M'Rabet Hached,Enfidha,Sousse,22.25,2,Ouled Saïd | Souassi
TN316062,Menzel Dar Belouar,Enfidha,Sousse,23.86,2,Ouled Saïd | Souassi
TN316058,Menzel Fateh,Enfidha,Sousse,10.76,2,Ouled Saïd | Souassi
TN165653,El Hamira,Saouaf,Zaghouan,60.92,2,Ouled Saïd | Souassi
TN165652,Saouef Ouest,Saouaf,Zaghouan,61.26,2,Ouled Saïd | Souassi
TN136259,El Gounna,Mornag,Ben Arous,23.7,1,Ouled Khiar
TN136253,Khelidia,Mornag,Ben Arous,23.41,1,Ouled Khiar
TN136263,Oudna,Mornag,Ben Arous,31.72,1,Ouled Khiar
