adm4_pcode,imada,delegation,gouvernorat,area_sqkm,tribes_n,tribes
TN225558,Selloul,Aïn Draham,Jendouba,39.73,7,Beni Mtir | Ghezoran | Kroumirs | Meressen | Ouchtata | Ouled Ali | Ouled Soltan
TN225656,Beni M'Tir,Fernana,Jendouba,7.84,6,Beni Mtir | Ghezoran | Kroumirs | Meressen | Ouled Ali | Ouled Soltan
TN225557,Khemairia,Aïn Draham,Jendouba,58.15,6,Beni Mtir | Kroumirs | Meressen | Ouchtata | Ouled Ali | Ouled Soltan
TN225562,Oued Ezzan,Aïn Draham,Jendouba,49.57,6,Beni Mtir | Chehida | Ghezoran | Kroumirs | Nefza | Ouled Ali
TN215458,Bellif,Nefza,Béja,24.31,5,Djeladjela | Mekena | Mogod | Nefza | Riah
TN225662,Ain El Beya,Fernana,Jendouba,18.71,5,Ghezoran | Meressen | Ouchtata | Ouled Ali | Ouled Soltan
TN225561,Ain Salam,Aïn Draham,Jendouba,42.34,5,Beni Mtir | Chehida | Ghezoran | Kroumirs | Ouled Ali
TN225660,El Adhar,Fernana,Jendouba,29.87,5,Ghezoran | Meressen | Ouchtata | Ouled Ali | Ouled Soltan
TN225655,El Gouaidia,Fernana,Jendouba,33.28,5,Ghezoran | Kroumirs | Meressen | Ouled Ali | Ouled Soltan
TN225555,El Homrane,Aïn Draham,Jendouba,57.6,5,Chehida | Ghezoran | Kroumirs | Nefza | Ouled Ali
TN225556,Etbainia,Aïn Draham,Jendouba,44.15,5,Beni Mtir | Ghezoran | Kroumirs | Ouled Ali | Ouled Soltan
TN225659,Hedhil,Fernana,Jendouba,12.11,5,Ghezoran | Meressen | Ouchtata | Ouled Ali | Ouled Soltan
TN225652,Oued Ghrib,Fernana,Jendouba,38.43,5,Ghezoran | Meressen | Ouchtata | Ouled Ali | Ouled Soltan
TN175551,Ouled Ghanem,Joumine,Bizerte,63.2,4,Djeladjela | Hezil | Mogod | Riah
TN175451,Sedjnane,Sejnane,Bizerte,54.06,4,Djeladjela | Mogod | Nefza | Riah
TN175455,Sehabna,Sejnane,Bizerte,81.11,4,Djeladjela | Mogod | Nefza | Riah
TN175557,Touajnia,Joumine,Bizerte,47.75,4,Djeladjela | Mogod | Nefza | Riah
TN215456,Bou-Zenna,Nefza,Béja,29.3,4,Djeladjela | Mogod | Nefza | Riah
TN215466,Dehiret,Nefza,Béja,20.31,4,Djeladjela | Mogod | Nefza | Riah
TN215459,Djebel Ediss,Nefza,Béja,49.03,4,Djeladjela | Mogod | Nefza | Riah
TN215354,El Ghorfa,Amdoun,Béja,18.26,4,Chehida | Kroumirs | Nefza | Zouagha
TN215461,Ghayadha,Nefza,Béja,31.09,4,Djeladjela | Mogod | Nefza | Riah
TN215454,Kap Negro,Nefza,Béja,81.71,4,Djeladjela | Mogod | Nefza | Riah
TN215451,Nefza Est,Nefza,Béja,10.91,4,Djeladjela | Mogod | Nefza | Riah
TN215452,Nefza Ouest,Nefza,Béja,27.22,4,Djeladjela | Mekena | Nefza | Riah
TN225552,Ain Draham Banlieue,Aïn Draham,Jendouba,16.84,4,Beni Mtir | Ghezoran | Kroumirs | Ouled Ali
TN225953,El Aouaoudha,Balta Bou Aouane,Jendouba,35.74,4,Chehida | Ghezoran | Ouled bou Salem | Zouagha
TN225554,El Atatfa,Aïn Draham,Jendouba,37.24,4,Beni Mtir | Kroumirs | Nefza | Ouled Ali
TN225354,El Brahmi,Bousalem,Jendouba,46.76,4,Djendouba | Ghezoran | Ouled bou Salem | Zouagha
TN225454,El Hammam,Tabarka,Jendouba,48.96,4,Beni Mtir | Kroumirs | Mekena | Nefza
TN225651,Fernana,Fernana,Jendouba,33.61,4,Ghezoran | Meressen | Ouled Ali | Ouled Soltan
TN225657,Gloub Ethirane,Fernana,Jendouba,20.05,4,Ghezoran | Meressen | Ouchtata | Ouled Soltan
TN225658,Gloub Ethirane Nord,Fernana,Jendouba,36.0,4,Ghezoran | Meressen | Ouchtata | Ouled Soltan
TN225456,Nadhour,Tabarka,Jendouba,63.7,4,Chehida | Kroumirs | Mekena | Nefza
TN225665,Sidi Ammar,Fernana,Jendouba,28.53,4,Ghezoran | Meressen | Ouled Ali | Ouled Soltan
TN225957,Somrane,Balta Bou Aouane,Jendouba,29.41,4,Chehida | Djendouba | Ouled bou Salem | Zouagha
TN225257,Zatfoura,Jendouba Nord,Jendouba,36.1,4,Ghezoran | Hakim | Meressen | Ouled Soltan
TN235453,Ain Mazer,Sakiet Sidi Youssef,Le Kef,89.42,4,Charen | Hakim | Ouargha | Ouled Sdira
TN235554,Cite Bourguiba,Tajerouine,Le Kef,74.84,4,Charen | Doufan | Ouled Yakoub | Ouled bou Ghanem
TN236056,Ebba,Dahmani,Le Kef,103.26,4,Khememsa | Ouartan | Ouled Yakoub | Zeghalma
TN235562,Garn Halfaia,Tajerouine,Le Kef,90.9,4,Charen | Doufan | Ouartan | Ouled bou Ghanem
TN235152,Oued Remel Sud,Kef Ouest,Le Kef,141.16,4,Charen | Ouargha | Ouartan | Ouled Yakoub
TN235557,Sidi Abdelbasset,Tajerouine,Le Kef,92.3,4,Charen | Ouartan | Ouled Yakoub | Ouled bou Ghanem
TN175558,Bazina,Joumine,Bizerte,17.47,3,Djeladjela | Mogod | Riah
TN175458,Mechargua,Sejnane,Bizerte,49.17,3,Mogod | Nefza | Riah
TN215653,Ain Ed-Defali,Thibar,Béja,30.18,3,Djendouba | Ouled bou Salem | Zouagha
TN215465,Djamila,Nefza,Béja,26.93,3,Djeladjela | Nefza | Riah
TN215353,El Fraijia,Amdoun,Béja,13.16,3,Chehida | Nefza | Zouagha
TN215363,El Goussa,Amdoun,Béja,23.84,3,Chehida | Ouled bou Salem | Zouagha
TN215962,El Mouatiss,Mejez El Bab,Béja,19.92,3,Drid | Riah | Trabelsi
TN215654,En-Nechima,Thibar,Béja,19.08,3,Djendouba | Ouled bou Salem | Zouagha
TN215460,Fatnassa,Nefza,Béja,26.03,3,Djeladjela | Mogod | Riah
TN215963,Guerich El Ouedi,Mejez El Bab,Béja,42.88,3,Drid | Riah | Trabelsi
TN215356,Maghraoua,Amdoun,Béja,10.73,3,Chehida | Nefza | Zouagha
TN215951,Medjez El Bab Ville,Mejez El Bab,Béja,14.38,3,Drid | Riah | Trabelsi
TN215964,Sidi Erraies,Mejez El Bab,Béja,36.47,3,Drid | Riah | Trabelsi
TN215257,Sidi Es-Shili,Béja Sud,Béja,45.65,3,Djendouba | Ouled bou Salem | Zouagha
TN215651,Tibar,Thibar,Béja,30.9,3,Djendouba | Ouled bou Salem | Zouagha
TN225959,Abdeljaber,Balta Bou Aouane,Jendouba,11.9,3,Chehida | Ouled bou Salem | Zouagha
TN225551,Ain Drahem Ville,Aïn Draham,Jendouba,2.89,3,Beni Mtir | Kroumirs | Ouled Ali
TN225458,Ain Es-Snoussi,Tabarka,Jendouba,59.29,3,Chehida | Kroumirs | Nefza
TN225455,Ain Es-Sobh,Tabarka,Jendouba,69.65,3,Kroumirs | Mekena | Nefza
TN225951,Assila,Balta Bou Aouane,Jendouba,22.74,3,Djendouba | Ouled bou Salem | Zouagha
TN225958,Balta,Balta Bou Aouane,Jendouba,12.24,3,Chehida | Ouled bou Salem | Zouagha
TN225956,Beni M'Hamed,Balta Bou Aouane,Jendouba,24.34,3,Chehida | Nefza | Zouagha
TN225356,Bir Lakhdar,Bousalem,Jendouba,28.52,3,Djendouba | Ouled bou Salem | Zouagha
TN225960,Bou Aouane,Balta Bou Aouane,Jendouba,22.21,3,Chehida | Ouled bou Salem | Zouagha
TN225663,Bou Hertma,Fernana,Jendouba,33.62,3,Ghezoran | Kroumirs | Ouled Ali
