record_id,designation,sheet_name,revision_year,has_kilometric_grid,grid_basis,lambert_zone,lambert_zone_basis,grid_wording,px_per_km,scan_dpi,metres_per_px,grid_rotation_deg,easting_lines,northing_lines,gap_iqr_px,easting_label_min_km,easting_label_max_km,width_px,height_px
oai:u-bordeaux-montaigne.fr:340507,B9-C33,Ksar Tlili,1928,1,both_axes,nord,header_text,carroyage,236.0,300,4.24,4.38,33,23,0.2,,,9328,6952
oai:u-bordeaux-montaigne.fr:340508,B9-C34,Sbiba,1928,1,both_axes,nord,inferred_from_latitude,,236.0,300,4.24,4.5,33,22,0.0,,,9232,6880
oai:u-bordeaux-montaigne.fr:340509,B9-C35,Djebel Trozza,1929,1,both_axes,nord,header_text,carroyage,236.0,300,4.24,4.25,34,22,0.0,,,9552,6992
oai:u-bordeaux-montaigne.fr:340510,B9-C36,Pavillier,1927,1,both_axes,nord,header_text,carroyage,236.0,300,4.24,4.25,32,22,0.0,495,515,9064,6536
oai:u-bordeaux-montaigne.fr:340511,B9-C37,Oued Cherita,1931,1,both_axes,nord,header_text,carroyage,236.0,300,4.24,4.25,32,21,0.0,520,524,9064,6584
oai:u-bordeaux-montaigne.fr:340512,B9-C38,Kerker,1931,1,both_axes,nord,inferred_from_latitude,,236.0,300,4.24,4.5,33,22,0.0,,,9440,6776
oai:u-bordeaux-montaigne.fr:340513,B10-C32,Djebel Bireno,1930,1,both_axes,nord,header_text,carroyage,236.0,300,4.24,4.25,32,21,0.5,362,389,9072,6512
oai:u-bordeaux-montaigne.fr:340514,B10-C33,Djebel Semmama,1930,1,both_axes,nord,header_text,quadrillage,236.0,300,4.24,4.25,32,22,0.0,392,419,9168,6752
oai:u-bordeaux-montaigne.fr:340515,B10-C34,Djebel Mrhila,1932,1,both_axes,nord,header_text,carroyage,236.0,300,4.24,4.38,34,23,1.0,,,9632,6952
oai:u-bordeaux-montaigne.fr:340516,B10-C35,Hadjeb el Aïoun,1933,1,both_axes,nord,header_text,carroyage,238.0,302,4.2,4.38,33,22,1.2,,,9248,6880
oai:u-bordeaux-montaigne.fr:340527,B10-C36,Nasr Allah,1934,1,both_axes,nord,header_text,carroyage,236.0,300,4.24,4.25,33,23,1.0,,,9544,6960
oai:u-bordeaux-montaigne.fr:340528,B10-C37,Chorbane,1934,1,both_axes,nord,header_text,carroyage,236.0,300,4.24,4.38,33,22,0.2,543,550,9712,7008
oai:u-bordeaux-montaigne.fr:340529,B10-C38,El Djem,1931,1,both_axes,nord,header_text,carroyage,236.0,300,4.24,4.0,32,22,0.0,564,580,8992,6512
oai:u-bordeaux-montaigne.fr:340530,B10-C39,Chebba,1925,1,both_axes,nord,header_text,carroyage,236.0,300,4.24,4.25,35,22,0.0,,,9728,7008
oai:u-bordeaux-montaigne.fr:340531,B11-C32,Bou Chebka,1939,1,both_axes,nord,header_text,carroyage,236.0,300,4.24,4.38,33,21,0.0,357,363,9152,6904
oai:u-bordeaux-montaigne.fr:340532,B11-C33,Kasserine,1936,1,both_axes,nord,inferred_from_latitude,,236.0,300,4.24,4.12,33,22,0.0,397,413,9456,6992
oai:u-bordeaux-montaigne.fr:340533,,Djebeniana,1940,1,one_axis_confirmed_by_spacing,nord,header_text,carroyage,236.0,300,4.24,4.12,28,14,0.0,590,610,9232,6904
oai:u-bordeaux-montaigne.fr:340534,,,1941,1,both_axes,sud,header_text,quadrillage,236.0,300,4.24,4.38,34,23,1.0,522,534,9656,6880
oai:u-bordeaux-montaigne.fr:340535,,,1941,1,both_axes,sud,header_text,quadrillage,238.0,302,4.2,4.38,34,23,1.0,,,9672,6868
oai:u-bordeaux-montaigne.fr:340615,,,1946,0,not_detected,nord,inferred_from_latitude,,,,,0.0,21,20,121.8,,,9680,7272
oai:u-bordeaux-montaigne.fr:340616,,,,1,both_axes,,,,234.0,297,4.27,4.25,33,23,0.0,570,584,9616,7280
oai:u-bordeaux-montaigne.fr:340627,,,1934,0,not_detected,sud,inferred_from_latitude,,,,,-0.88,8,8,304.0,,,9120,6792
oai:u-bordeaux-montaigne.fr:340628,,,1940,1,both_axes,sud,header_text,carroyage,234.0,297,4.27,4.12,26,24,0.0,,,9648,7256
oai:u-bordeaux-montaigne.fr:340629,,,,1,both_axes,sud,header_text,carroyage,234.0,297,4.27,4.25,25,17,1.0,553,565,7040,5552
