record_id,title,year,century,confidence,provenance,scale_denominator,scale_class,scale_source,production_mode,colour,authority_type,genre,sheet_count,sheet_width_cm,sheet_height_cm,sheet_area_cm2,date_precision,has_creator,has_publisher,has_scale,has_dimensions,has_subjects,has_language,has_catalogue_notice,has_exact_date,metadata_completeness,metadata_grade,provenance_tier,has_iiif,views,rights_open,scan_width,scan_height,scan_megapixels,scan_resolution_class,scan_dpi,scan_dpi_class,quality_index,research_tier,url
btv1b8491219n,"Estats de l'Empire du Grand Seigneur des Turcs... en Asie, en Afrique et en Europe / par Nicolas Sanson d'Abbeville...",1654,17th c.,high,Gallica,11150000,very_small,catalogue,printed,colour,commercial,map,1,55.0,41.0,2255,exact,1,1,1,1,1,1,1,1,8,A,bnf,1,1,1,9492,7174,68.1,high,438,standard,100.0,2_contextual,https://gallica.bnf.fr/ark:/12148/btv1b8491219n
btv1b530937785,"Carte des côtes de Barbarie, comprenant les états de Maroc, Fez, Alger, Tunis et Tripoli... ; enrichie des plans des principales places et ports / gravé par E. Collin...",1816,19th c.,high,Gallica,3000000,very_small,catalogue,printed,colour,commercial,map,1,97.0,67.0,6499,exact,1,1,1,1,1,1,1,1,8,A,bnf,1,1,1,11542,8112,93.6,high,302,standard,100.0,2_contextual,https://gallica.bnf.fr/ark:/12148/btv1b530937785
btv1b525059495,"Carte comparée des Régences d'Alger et de Tunis / Dressée par le Chev. Lapie, 1er Géographe du Roi, ... ; Les noms anciens ont été revus par Mr le Chev. Hase, ... ; les noms arabes par Mr le Chev. Jaubert, ... ; Gravé par Flahaut ; écrit par Lallemant",1829,19th c.,high,Gallica,1600000,very_small,catalogue,printed,colour,commercial,map,1,102.0,70.5,7191,exact,1,1,1,1,1,1,1,1,8,A,bnf,1,2,1,17277,12281,212.2,high,430,standard,100.0,2_contextual,https://gallica.bnf.fr/ark:/12148/btv1b525059495
btv1b530352677,"Théâtre de la guerre en Afrique comprenant les régences d'Alger, de Tunis, Tripoli et de l'empire du Maroc : avec plans détaillés de la baie et des fortifications de la ville d'Alger et de ses environs... / dressé par Frémin géographe",1837,19th c.,high,Gallica,5358000,very_small,catalogue,printed,colour,commercial,map,1,51.5,73.5,3785,exact,1,1,1,1,1,1,1,1,8,A,bnf,1,1,1,10173,7079,72.0,high,352,standard,100.0,2_contextual,https://gallica.bnf.fr/ark:/12148/btv1b530352677
btv1b530353989,"Théâtre de la guerre en Afrique, comprenant les régences d'Alger, de Tunis, Tripoli et de l'empire du Maroc : Avec plans détaillés de la baie et des fortifications de la ville d'Alger et de ses environs, d'après les meilleurs matériaux qu'on a pu se procurer sur ce pays / drefsé par Frémin géographe",1840,19th c.,high,Gallica,5085000,very_small,catalogue,printed,colour,commercial,map,1,52.5,76.0,3990,exact,1,1,1,1,1,1,1,1,8,A,bnf,1,1,1,10883,7553,82.2,high,364,standard,100.0,2_contextual,https://gallica.bnf.fr/ark:/12148/btv1b530353989
btv1b530252651,"Carte des régences d'Alger, de Tunis et de Tripoli, avec l'empire de Maroc... / par Hérisson, ,... ; Gravé par J.B. Tardieu",1841,19th c.,high,Gallica,2925000,very_small,catalogue,printed,colour,commercial,map,1,83.0,55.0,4565,exact,1,1,1,1,1,1,1,1,8,A,bnf,1,1,1,10118,6925,70.1,high,310,standard,100.0,2_contextual,https://gallica.bnf.fr/ark:/12148/btv1b530252651
btv1b53087517j,"Carte géographique, physique et politique des royaumes d'Espagne et de Portugal indiquant toutes les routes principales et la division par provinces : accompagnée d'une partie de l'Afrique, donnant toute l'Algérie depuis le détroit de Gibraltar, jusqu'aux frontières de Tunis / Dressée par Girard et Charlie, géographes ; écrit par Mlle Vicq",1841,19th c.,high,Gallica,2128000,very_small,catalogue,printed,colour,commercial,map,1,53.5,82.5,4414,exact,1,1,1,1,1,1,1,1,8,A,bnf,1,1,1,10624,7248,77.0,high,327,standard,100.0,2_contextual,https://gallica.bnf.fr/ark:/12148/btv1b53087517j
btv1b53087533k,"Carte géographique, physique et politique des royaumes d'Espagne et de Portugal indiquant toutes les routes principales et la division par provinces : accompagnée d'une partie de l'Afrique, donnant toute l'Algérie depuis le détroit de Gibraltar, jusqu'aux frontières de Tunis / Dressée par Girard et Charlie, géographes ; écrit par Mlle Vicq",1841,19th c.,high,Gallica,2128000,very_small,catalogue,printed,colour,commercial,map,1,53.5,82.5,4414,exact,1,1,1,1,1,1,1,1,8,A,bnf,1,1,1,11064,7552,83.6,high,341,standard,100.0,2_contextual,https://gallica.bnf.fr/ark:/12148/btv1b53087533k
btv1b530875341,"Théâtre de la guerre en Afrique, comprenant les régences d'Alger, de Tunis, Tripoli et de l'empire du Maroc : avec plans détaillés de la baie et des fortifications de la ville d'Alger et de ses environs, d'après les meilleurs matériaux qu'on a pu se procurer sur ce pays / dressé par Frémin géographe",1841,19th c.,high,Gallica,5085000,very_small,catalogue,printed,colour,commercial,map,1,52.5,75.5,3964,exact,1,1,1,1,1,1,1,1,8,A,bnf,1,1,1,10856,7584,82.3,high,365,standard,100.0,2_contextual,https://gallica.bnf.fr/ark:/12148/btv1b530875341
btv1b53119590h,"Carte de l'Algérie et de la Régence de Tunis / Publiée par J. Andriveau-Goujon ; D'après les documents du Dépôt de la Guerre, et du Dépôt de la Marine",1844,19th c.,high,Gallica,1720000,very_small,catalogue,printed,colour,commercial,map,1,64.0,91.0,5824,exact,1,1,1,1,1,1,1,1,8,A,bnf,1,1,1,11520,8366,96.4,high,322,standard,100.0,2_contextual,https://gallica.bnf.fr/ark:/12148/btv1b53119590h
btv1b53172837r,"Carte de l'Empire Ottoman, en Europe et en Asie / publié par J. Andriveau-Goujon",1853,19th c.,high,Gallica,4400000,very_small,catalogue,printed,colour,commercial,map,1,63.0,85.0,5355,exact,1,1,1,1,1,1,1,1,8,A,bnf,1,1,1,10158,7626,77.5,high,304,standard,100.0,2_contextual,https://gallica.bnf.fr/ark:/12148/btv1b53172837r
