designation,sheet_name,record_id,edition,catalogue_year,survey_years,revision_years,credit_block,basis
B0-C36,Porto-Farina,oai:u-bordeaux-montaigne.fr:340371,early,1902,1891,,Les travaux sur le terrain ont ete executes par M.M.rs | Corniot Cap.ne a 1891 | Thiebaut Lieut.t c 1891 | Tantot Lieut.t b id | Soulie Cap.ne d id,read_from_sheet
B0-C36,Porto-Farina,oai:u-bordeaux-montaigne.fr:340370,later,1935,1900 1930 1931 1932,1931 1932,"D'apres les travaux : | a,b,c,d,e, leves en 1900, revises en 1931-32 | f,g,h,i,j,k,l,m,n, leves en 1930-31 et 1932",read_from_sheet
B1-C37,La Marsa,oai:u-bordeaux-montaigne.fr:340390,early,1902,1891,,"Les travaux sur le terrain ont ete executes par M.r | Sauret Cap.ne {a,b} 1891",read_from_sheet
B1-C37,La Marsa,oai:u-bordeaux-montaigne.fr:340389,later,1932,1891,,"Les travaux sur le terrain ont ete executes par M.r | Sauret Cap.ne {a,b} 1891",read_from_sheet
B2-C36,Tunis,oai:u-bordeaux-montaigne.fr:340396,early,1902,1889,,Les Travaux sur le Terrain ont ete executes par M.M.rs | Roget Lieut.t a 1889 | Espinasse Capit.ne e 1889 | Corniot Capit.ne b d.o | Lachouque Lieut.t f d.o | Martinez Lieut.t c d.o | Delaunay d.o g d.o | Bonnefoy Capit.ne d d.o,read_from_sheet
B2-C36,Tunis,oai:u-bordeaux-montaigne.fr:340395,later,1935,1889,,Les Travaux sur le Terrain ont ete executes par M.M.rs | Roget Lieut.t a 1889 | Espinasse Capit.ne e 1889 | Corniot Capit.ne b d.o | Lachouque Lieut.t f d.o | Martinez Lieut.t c d.o | Delaunay d.o g d.o | Bonnefoy Capit.ne d d.o,read_from_sheet
B6-C37,Sidi Bou Ali,oai:u-bordeaux-montaigne.fr:340467,early,,1892,,Les Travaux sur le Terrain ont ete executes par M.M.rs | Balland Cap.ne a 1892 | Clerc Lieut.t d 1892 | Moreau id b id | Vuillemin id e id | Montagnon Lieut.t c id,read_from_sheet
B6-C37,Sidi Bou Ali,oai:u-bordeaux-montaigne.fr:340456,later,1931,1892,,Les Travaux sur le Terrain ont ete executes par M.M.rs | Balland Cap.ne a 1892 | Clerc Lieut.t d 1892 | Moreau id b id | Vuillemin id e id | Montagnon Lieut.t c id,read_from_sheet
B6-C38,Halk El Mennzel,oai:u-bordeaux-montaigne.fr:340469,early,,1892,,Les Travaux sur le Terrain ont ete executes par M.M.rs | Moreau Capitaine a 1892 | Wary Lieut.t b id,read_from_sheet
B6-C38,Halk El Mennzel,oai:u-bordeaux-montaigne.fr:340468,later,1931,1892,,Les Travaux sur le Terrain ont ete executes par M.M.rs | Moreau Capitaine a 1892 | Wary Lieut.t b id,read_from_sheet
B7-C38,Sousse,oai:u-bordeaux-montaigne.fr:340487,early,,1892,,Les Travaux sur le Terrain ont ete executes par M.M.rs | Wary Lieut.t a 1892 | Corniot Cap.ne b 1892 | Esnol Cap.ne c 1892,read_from_sheet
B7-C38,Sousse,oai:u-bordeaux-montaigne.fr:340476,later,1931,1892,,Les Travaux sur le Terrain ont ete executes par M.M.rs | Wary Lieut.t a 1892 | Corniot Cap.ne b 1892 | Esnol Cap.ne c 1892,read_from_sheet
