record_id,title,year,scale_denominator,georef_tier,layers,osm_rebuild_score,osm_rebuild,rebuildable_layers,blocked_layers,url
btv1b53088066m,"Carte du gouvernement d'Alger comprenant l'empire de Maroc, la régence de Tunis et une partie du grand désert / par A. R. Fremin, géographe ; gravée sur acier par Bénard ; imp[rim]ée par Folliau",1840,3449000,2_control_points,coastline | principal_towns,0.80,most_of_it,coastline,,https://gallica.bnf.fr/ark:/12148/btv1b53088066m
btv1b53081303h,Carte de l'Algérie et de la Tunisie / gravée par L. Sonnet,1881,2500000,2_control_points,coastline | principal_towns,0.80,most_of_it,coastline,,https://gallica.bnf.fr/ark:/12148/btv1b53081303h
oai:u-bordeaux-montaigne.fr:168522,"Algérie, Tunisie et Sahara central / carte dressée et dessinée par J. V. Barbier, pour servir particulièrement à l'intelligence des évenements actuels et notamment à suivre les deux explorations du colonel Flatters",2013,5000000,2_control_points,coastline | principal_towns,0.80,most_of_it,coastline,,https://1886.u-bordeaux-montaigne.fr/s/1886/item/168522
btv1b530353737,"Carte de la colonie française d'Alger, de la régence de Tunis et de la partie nord de l'empire de Maroc / par J. M. Darmet ; la lettre gravée par Abel Malo",1836,2499000,2_control_points,coastline | principal_towns,0.80,most_of_it,coastline,,https://gallica.bnf.fr/ark:/12148/btv1b530353737
btv1b53088018f,"Carte générale de l'Algérie comprenant l'empire de Maroc de la régence de Tunis dressée d'après les derniers documents... / par A.-R. Frémin, ingénieur-géographe ; gravée par Ch. Leclercq ; et I[sido]re Dalmont",1847,2565000,2_control_points,coastline | principal_towns,0.80,most_of_it,coastline,,https://gallica.bnf.fr/ark:/12148/btv1b53088018f
btv1b530880672,"Carte du gouvernement d'Alger comprenant l'empire de Maroc, la régence de Tunis et une partie du grand désert / par A. R. Frémin géographe ; gravée sur acier par Bénard",1840,3334000,2_control_points,coastline | principal_towns,0.80,most_of_it,coastline,,https://gallica.bnf.fr/ark:/12148/btv1b530880672
btv1b53063506p,"Carte de l'itinéraire suivi par M. Delaporte, élève-consul dans la régence de Tunis à l'occasion de la mission qui lui a été confiée le 14 juillet 1843, par M. de Lagau, consul général et chargé d'affaires de France à Tunis",1843,,2_control_points,roads,0.80,most_of_it,roads,,https://gallica.bnf.fr/ark:/12148/btv1b53063506p
btv1b84693936,"Carte du Nord-Ouest de l'Afrique comprenant l'empire de Maroc, l'Algérie et la régence de Tunis...",1844,4400000,2_control_points,coastline | principal_towns,0.80,most_of_it,coastline,,https://gallica.bnf.fr/ark:/12148/btv1b84693936
btv1b530886032,"Carte du Nord-Ouest de l'Afrique, comprenant l'empire de Maroc, l'Algérie et la régence de Tunis...",1844,4400000,2_control_points,coastline | principal_towns,0.80,most_of_it,coastline,,https://gallica.bnf.fr/ark:/12148/btv1b530886032
btv1b8490524p,Carte de l'Algérie (provinces d'Alger et de Constantine) et Tunisie... / par V. A. Malte-Brun,1860,2965000,2_control_points,coastline | principal_towns,0.80,most_of_it,coastline,,https://gallica.bnf.fr/ark:/12148/btv1b8490524p
btv1b8445058x,"Algérie, Tunisie et Sahara central, carte / dressée et dessinée par J. V. Barbier, pour servir particulièrement à l'intelligence des évenements actuels et notamment à suivre les deux explorations du colonel Flatters",1880,5000000,2_control_points,coastline | principal_towns,0.80,most_of_it,coastline,,https://gallica.bnf.fr/ark:/12148/btv1b8445058x
btv1b53021168m,Carte des frontières d'Algérie et de Tunisie (2e édition),1881,,2_control_points,admin_boundaries,0.80,most_of_it,admin_boundaries,,https://gallica.bnf.fr/ark:/12148/btv1b53021168m
btv1b8439238t,Algérie et Tunisie,1885,3090000,2_control_points,coastline | principal_towns,0.80,most_of_it,coastline,,https://gallica.bnf.fr/ark:/12148/btv1b8439238t
