record_id,sheet_name,corner_easting_km,corner_northing_km,corner_easting_m,corner_northing_m,corner_source_e,corner_source_n,corner_support_e,corner_support_n,corner_exact_count_e,corner_exact_count_n,shift_basis_e,shift_basis_n,origin_shift_km_e,origin_shift_km_n,neatline_error_m_e,neatline_error_m_n
oai:u-bordeaux-montaigne.fr:340354,Kef Abbed,439,439,439132,439409,north_west,south_west,3,2,3,1,printed_metres,printed_metres,0,0,11.0,182.3
oai:u-bordeaux-montaigne.fr:340355,Bizerte,,,,,,,1,1,,,,,,,,
oai:u-bordeaux-montaigne.fr:340356,Metline,,454,,454495,,north_west,1,3,,2,,printed_metres,,0,,10.9
oai:u-bordeaux-montaigne.fr:340367,Cap Negro,,,,,,,0,1,,,,,,,,
oai:u-bordeaux-montaigne.fr:340368,Oued Sedjenane,469,439,469433,439409,north_east,north_west,3,2,2,2,printed_metres,printed_metres,0,0,-36.1,36.0
oai:u-bordeaux-montaigne.fr:340369,Djebel Ichkeul,501,414,501326,414617,north_east,south_east,3,4,3,3,printed_metres,printed_metres,0,0,-27.8,57.6
oai:u-bordeaux-montaigne.fr:340370,Porto-Farina,499,434,499734,434555,south_west,north_west,4,3,4,3,printed_metres,printed_metres,0,0,-11.0,-9.0
oai:u-bordeaux-montaigne.fr:340372,Sidi Daoud,565,429,565113,429713,north_west,north_west,4,3,4,3,printed_metres,printed_metres,0,0,12.1,91.6
oai:u-bordeaux-montaigne.fr:340373,Cap Bon,,427,,427293,,north_west,1,3,,3,,printed_metres,,0,,72.9
oai:u-bordeaux-montaigne.fr:340374,Nefza,,,,,,,0,0,,,,,,,,
oai:u-bordeaux-montaigne.fr:340375,Hedil,435,419,435953,419472,north_west,north_west,3,2,3,2,printed_metres,printed_metres,0,0,59.3,-280.6
oai:u-bordeaux-montaigne.fr:340376,Mateur,499,,499734,,north_east,,3,1,2,,printed_metres,,0,,24.8,
oai:u-bordeaux-montaigne.fr:340387,Ariana,498,412,498149,,south_west,north_east,4,2,4,,printed_metres,printed_kilometre,0,0,45.8,
oai:u-bordeaux-montaigne.fr:340389,La Marsa,530,409,530039,409774,south_west,north_east,2,3,1,3,printed_metres,printed_metres,0,0,-2.2,-442.5
oai:u-bordeaux-montaigne.fr:340391,Tazoghrane,563,407,563516,407357,north_west,north_east,4,3,3,3,printed_metres,printed_metres,0,0,-13.6,43.2
oai:u-bordeaux-montaigne.fr:340392,Kelibia,,,,,,,1,1,,,,,,,,
oai:u-bordeaux-montaigne.fr:340393,Béja,434,399,434365,399536,north_west,north_west,3,3,3,3,printed_metres,printed_metres,0,0,7.2,17.6
oai:u-bordeaux-montaigne.fr:340394,Tebourba,466,397,466258,397107,north_west,north_west,3,4,3,4,printed_metres,printed_metres,0,0,-18.4,202.4
oai:u-bordeaux-montaigne.fr:340395,Tunis,498,394,498149,394681,north_west,north_west,4,3,4,3,printed_metres,printed_metres,0,0,-116.7,30.3
oai:u-bordeaux-montaigne.fr:340407,La Goulette,,,,,,,1,1,,,,,,,,
oai:u-bordeaux-montaigne.fr:340410,Menzel Bou Zelfa,560,389,560347,389837,south_west,north_west,3,3,2,2,printed_metres,printed_metres,0,0,257.9,19.1
oai:u-bordeaux-montaigne.fr:340411,Mennzel Heurr,625,387,625717,387420,north_east,north_west,2,3,2,3,printed_metres,printed_metres,594,388,-5.3,60.8
oai:u-bordeaux-montaigne.fr:340412,Oued-Zarga,432,377,432769,377172,north_west,north_east,4,4,4,3,printed_metres,printed_metres,0,0,-143.3,78.9
oai:u-bordeaux-montaigne.fr:340413,Medjez-el-Bab,464,377,464681,377172,north_west,north_west,2,3,2,3,printed_metres,printed_metres,0,0,-18.8,-27.2
