record_id,sheet_name,plate,ink_share,width_median_px,width_p10_px,width_p90_px,components,components_over_200px,network_px,network_share_of_plate,network_skeleton_px
oai:u-bordeaux-montaigne.fr:340354,Kef Abbed,black,0.04065,2.0,2.0,5.7,38875,628,,,
oai:u-bordeaux-montaigne.fr:340354,Kef Abbed,red,0.01034,2.0,2.0,2.8,39008,122,184303,0.505,84681
oai:u-bordeaux-montaigne.fr:340354,Kef Abbed,brown,0.02196,2.0,2.0,2.8,56150,589,,,
oai:u-bordeaux-montaigne.fr:340354,Kef Abbed,blue,0.00089,2.0,2.0,2.0,12742,5,2529,0.08,1125
oai:u-bordeaux-montaigne.fr:340354,Kef Abbed,green,0.00403,2.0,2.0,2.8,28231,0,,,
oai:u-bordeaux-montaigne.fr:340354,Kef Abbed,wash,0.00671,2.0,2.0,2.8,34163,44,,,
oai:u-bordeaux-montaigne.fr:340354,Kef Abbed,dark,0.07335,2.0,2.0,6.0,33232,520,2419594,0.935,829070
oai:u-bordeaux-montaigne.fr:340355,Bizerte,black,0.08725,2.0,2.0,4.5,198320,2449,,,
oai:u-bordeaux-montaigne.fr:340355,Bizerte,red,0.02529,2.0,2.0,4.0,62918,705,663321,0.745,234080
oai:u-bordeaux-montaigne.fr:340355,Bizerte,brown,0.07104,2.0,2.0,4.0,180251,1439,,,
oai:u-bordeaux-montaigne.fr:340355,Bizerte,blue,0.00535,2.0,2.0,2.0,81263,17,10628,0.056,3782
oai:u-bordeaux-montaigne.fr:340355,Bizerte,green,0.01545,2.0,2.0,4.0,70236,104,,,
oai:u-bordeaux-montaigne.fr:340355,Bizerte,wash,0.0236,2.0,2.0,2.8,157522,293,,,
oai:u-bordeaux-montaigne.fr:340355,Bizerte,dark,0.19734,2.8,2.0,6.0,187245,710,6216578,0.894,1935566
oai:u-bordeaux-montaigne.fr:340356,Metline,black,0.05981,2.8,2.0,8.2,52820,634,,,
oai:u-bordeaux-montaigne.fr:340356,Metline,red,0.00868,2.0,2.0,4.0,33232,154,146621,0.479,56209
oai:u-bordeaux-montaigne.fr:340356,Metline,brown,0.02127,2.0,2.0,2.8,52960,537,,,
oai:u-bordeaux-montaigne.fr:340356,Metline,blue,0.0017,2.0,2.0,2.0,29107,1,402,0.007,215
oai:u-bordeaux-montaigne.fr:340356,Metline,green,0.01012,2.0,2.0,4.5,26012,147,,,
oai:u-bordeaux-montaigne.fr:340356,Metline,wash,0.00964,2.0,2.0,2.8,48914,158,,,
oai:u-bordeaux-montaigne.fr:340356,Metline,dark,0.10084,2.8,2.0,8.0,45001,462,3311976,0.932,924256
oai:u-bordeaux-montaigne.fr:340367,Cap Negro,black,0.08883,2.0,2.0,4.5,87254,872,,,
oai:u-bordeaux-montaigne.fr:340367,Cap Negro,red,0.01688,2.0,2.0,4.0,29982,216,305939,0.793,125561
oai:u-bordeaux-montaigne.fr:340367,Cap Negro,brown,0.03365,2.0,2.0,2.8,100088,223,,,
oai:u-bordeaux-montaigne.fr:340367,Cap Negro,blue,0.00435,2.0,2.0,2.0,49895,2,13623,0.137,6207
oai:u-bordeaux-montaigne.fr:340367,Cap Negro,green,0.03992,2.0,2.0,4.0,62469,268,,,
oai:u-bordeaux-montaigne.fr:340367,Cap Negro,wash,0.02197,2.0,2.0,2.8,86522,120,,,
oai:u-bordeaux-montaigne.fr:340367,Cap Negro,dark,0.18437,2.8,2.0,6.3,51677,254,3906809,0.926,1116625
oai:u-bordeaux-montaigne.fr:340368,Oued Sedjenane,black,0.19906,2.0,2.0,5.7,288838,2495,,,
oai:u-bordeaux-montaigne.fr:340368,Oued Sedjenane,red,0.0146,2.0,2.0,4.0,88720,186,234907,0.458,88071
oai:u-bordeaux-montaigne.fr:340368,Oued Sedjenane,brown,0.0854,2.0,2.0,4.0,311390,1655,,,
oai:u-bordeaux-montaigne.fr:340368,Oued Sedjenane,blue,0.00935,2.0,2.0,2.8,107437,104,78081,0.238,26523
oai:u-bordeaux-montaigne.fr:340368,Oued Sedjenane,green,0.07134,2.0,2.0,4.5,179328,24,,,
oai:u-bordeaux-montaigne.fr:340368,Oued Sedjenane,wash,0.02744,2.0,2.0,2.8,179988,133,,,
oai:u-bordeaux-montaigne.fr:340368,Oued Sedjenane,dark,0.38324,2.8,2.0,6.3,160297,957,12530307,0.931,3721072
oai:u-bordeaux-montaigne.fr:340369,Djebel Ichkeul,black,0.12132,2.8,2.0,4.5,92648,3476,,,
oai:u-bordeaux-montaigne.fr:340369,Djebel Ichkeul,red,0.02256,2.0,2.0,4.5,68727,430,538607,0.678,161116
oai:u-bordeaux-montaigne.fr:340369,Djebel Ichkeul,brown,0.04997,2.0,2.0,2.8,258299,627,,,
oai:u-bordeaux-montaigne.fr:340369,Djebel Ichkeul,blue,0.00865,2.0,2.0,2.8,72315,75,75046,0.246,28310
oai:u-bordeaux-montaigne.fr:340369,Djebel Ichkeul,green,0.00861,2.0,2.0,2.8,72195,33,,,
oai:u-bordeaux-montaigne.fr:340369,Djebel Ichkeul,wash,0.02163,2.0,2.0,2.8,113787,266,,,
oai:u-bordeaux-montaigne.fr:340369,Djebel Ichkeul,dark,0.20153,4.0,2.0,6.0,78999,928,6742573,0.95,1921410
oai:u-bordeaux-montaigne.fr:340370,Porto-Farina,black,0.13147,2.0,2.0,4.5,178776,2140,,,
oai:u-bordeaux-montaigne.fr:340370,Porto-Farina,red,0.0108,2.0,2.0,4.0,38420,262,221305,0.585,67715
oai:u-bordeaux-montaigne.fr:340370,Porto-Farina,brown,0.02753,2.0,2.0,2.8,118975,487,,,
oai:u-bordeaux-montaigne.fr:340370,Porto-Farina,blue,0.00645,2.0,2.0,2.0,77019,43,39020,0.173,13720
oai:u-bordeaux-montaigne.fr:340370,Porto-Farina,green,0.01353,2.0,2.0,4.0,92972,101,,,
oai:u-bordeaux-montaigne.fr:340370,Porto-Farina,wash,0.02402,2.0,2.0,2.0,182555,90,,,
oai:u-bordeaux-montaigne.fr:340370,Porto-Farina,dark,0.19655,2.0,2.0,5.7,167757,1305,6100987,0.887,2039243
oai:u-bordeaux-montaigne.fr:340372,Sidi Daoud,black,0.02149,2.0,2.0,4.5,35840,614,,,
oai:u-bordeaux-montaigne.fr:340372,Sidi Daoud,red,0.01273,2.0,2.0,2.8,38657,132,243651,0.543,113697
oai:u-bordeaux-montaigne.fr:340372,Sidi Daoud,brown,0.01765,2.0,2.0,2.8,42796,288,,,
oai:u-bordeaux-montaigne.fr:340372,Sidi Daoud,blue,0.00144,2.0,2.0,2.0,19919,0,4016,0.079,1775
oai:u-bordeaux-montaigne.fr:340372,Sidi Daoud,green,0.0089,2.0,2.0,4.5,22680,73,,,
oai:u-bordeaux-montaigne.fr:340372,Sidi Daoud,wash,0.00713,2.0,2.0,2.8,31734,95,,,
oai:u-bordeaux-montaigne.fr:340372,Sidi Daoud,dark,0.05517,2.0,2.0,5.7,39534,585,1726895,0.888,581929
oai:u-bordeaux-montaigne.fr:340373,Cap Bon,black,0.02246,2.0,2.0,4.5,34697,726,,,
oai:u-bordeaux-montaigne.fr:340373,Cap Bon,red,0.03399,2.8,2.0,6.0,31719,503,1072959,0.896,314135
oai:u-bordeaux-montaigne.fr:340373,Cap Bon,brown,0.02001,2.0,2.0,4.0,64967,237,,,
oai:u-bordeaux-montaigne.fr:340373,Cap Bon,blue,0.00492,2.0,2.0,2.0,33321,63,88427,0.51,46884
oai:u-bordeaux-montaigne.fr:340373,Cap Bon,green,0.00985,2.0,2.0,5.7,25324,47,,,
oai:u-bordeaux-montaigne.fr:340373,Cap Bon,wash,0.00989,2.0,2.0,2.8,26357,280,,,
oai:u-bordeaux-montaigne.fr:340373,Cap Bon,dark,0.06221,2.8,2.0,6.0,46341,532,1871156,0.854,566030
oai:u-bordeaux-montaigne.fr:340374,Nefza,black,0.2085,2.0,2.0,4.5,367595,3566,,,
