record_id,sheet_name,plate,ink_share,width_median_px,width_p10_px,width_p90_px,components,components_over_200px,network_px,network_share_of_plate,network_skeleton_px
oai:u-bordeaux-montaigne.fr:340374,Nefza,red,0.01547,2.0,2.0,4.0,68475,401,309335,0.567,108378
oai:u-bordeaux-montaigne.fr:340374,Nefza,brown,0.09064,2.0,2.0,4.0,259805,1992,,,
oai:u-bordeaux-montaigne.fr:340374,Nefza,blue,0.01137,2.0,2.0,2.8,130335,131,112556,0.281,41405
oai:u-bordeaux-montaigne.fr:340374,Nefza,green,0.04999,2.0,2.0,2.8,245731,511,,,
oai:u-bordeaux-montaigne.fr:340374,Nefza,wash,0.03584,2.0,2.0,2.8,292799,165,,,
oai:u-bordeaux-montaigne.fr:340374,Nefza,dark,0.38498,2.8,2.0,6.3,312443,664,12631701,0.93,3914415
oai:u-bordeaux-montaigne.fr:340375,Hedil,black,0.20189,2.0,2.0,4.5,414601,4512,,,
oai:u-bordeaux-montaigne.fr:340375,Hedil,red,0.01534,2.0,2.0,4.0,95583,221,231972,0.425,73033
oai:u-bordeaux-montaigne.fr:340375,Hedil,brown,0.11148,2.0,2.0,4.0,434194,1974,,,
oai:u-bordeaux-montaigne.fr:340375,Hedil,blue,0.01095,2.0,2.0,2.0,140630,36,32759,0.084,12323
oai:u-bordeaux-montaigne.fr:340375,Hedil,green,0.03419,2.0,2.0,4.0,180234,245,,,
oai:u-bordeaux-montaigne.fr:340375,Hedil,wash,0.03768,2.0,2.0,2.8,275698,146,,,
oai:u-bordeaux-montaigne.fr:340375,Hedil,dark,0.38525,2.8,2.0,5.7,289675,462,12878215,0.939,4172257
oai:u-bordeaux-montaigne.fr:340376,Mateur,black,0.23216,2.0,2.0,4.5,445369,3404,,,
oai:u-bordeaux-montaigne.fr:340376,Mateur,red,0.01602,2.0,2.0,4.0,60204,310,310545,0.55,100647
oai:u-bordeaux-montaigne.fr:340376,Mateur,brown,0.05263,2.0,2.0,2.8,255466,986,,,
oai:u-bordeaux-montaigne.fr:340376,Mateur,blue,0.0075,2.0,2.0,2.8,75049,107,57603,0.218,18828
oai:u-bordeaux-montaigne.fr:340376,Mateur,green,0.01663,2.0,2.0,4.0,123246,61,,,
oai:u-bordeaux-montaigne.fr:340376,Mateur,wash,0.03107,2.0,2.0,2.8,222933,140,,,
oai:u-bordeaux-montaigne.fr:340376,Mateur,dark,0.33249,2.0,2.0,5.7,397378,1060,10531164,0.898,3520409
oai:u-bordeaux-montaigne.fr:340387,Ariana,black,0.11318,2.0,2.0,5.7,148659,2062,,,
oai:u-bordeaux-montaigne.fr:340387,Ariana,red,0.02086,2.0,2.0,4.0,38190,598,494452,0.672,164836
oai:u-bordeaux-montaigne.fr:340387,Ariana,brown,0.0328,2.0,2.0,4.0,155746,451,,,
oai:u-bordeaux-montaigne.fr:340387,Ariana,blue,0.01046,2.0,2.0,2.0,83724,91,127523,0.346,56665
oai:u-bordeaux-montaigne.fr:340387,Ariana,green,0.01695,2.0,2.0,4.0,69403,94,,,
oai:u-bordeaux-montaigne.fr:340387,Ariana,wash,0.02719,2.0,2.0,2.0,143731,326,,,
oai:u-bordeaux-montaigne.fr:340387,Ariana,dark,0.19013,2.8,2.0,6.0,150867,1041,6094307,0.909,1854055
oai:u-bordeaux-montaigne.fr:340389,La Marsa,black,0.0314,2.8,2.0,5.7,34588,700,,,
oai:u-bordeaux-montaigne.fr:340389,La Marsa,red,0.01417,2.0,2.0,4.0,40691,279,314852,0.634,117179
oai:u-bordeaux-montaigne.fr:340389,La Marsa,brown,0.02188,2.0,2.0,2.8,57006,444,,,
oai:u-bordeaux-montaigne.fr:340389,La Marsa,blue,0.00555,2.0,2.0,2.8,38571,86,90079,0.463,39496
oai:u-bordeaux-montaigne.fr:340389,La Marsa,green,0.00489,2.0,2.0,4.0,26205,23,,,
oai:u-bordeaux-montaigne.fr:340389,La Marsa,wash,0.01134,2.0,2.0,2.8,49340,177,,,
oai:u-bordeaux-montaigne.fr:340389,La Marsa,dark,0.06951,2.0,2.0,6.0,49924,693,2124165,0.872,679622
oai:u-bordeaux-montaigne.fr:340391,Tazoghrane,black,0.14418,2.0,2.0,4.5,200492,2907,,,
oai:u-bordeaux-montaigne.fr:340391,Tazoghrane,red,0.01736,2.0,2.0,4.0,63990,261,380392,0.623,143115
oai:u-bordeaux-montaigne.fr:340391,Tazoghrane,brown,0.03888,2.0,2.0,2.8,229382,578,,,
oai:u-bordeaux-montaigne.fr:340391,Tazoghrane,blue,0.00455,2.0,2.0,2.0,79736,6,5828,0.036,2373
oai:u-bordeaux-montaigne.fr:340391,Tazoghrane,green,0.05616,2.0,2.0,4.0,153508,556,,,
oai:u-bordeaux-montaigne.fr:340391,Tazoghrane,wash,0.02402,2.0,2.0,2.8,204278,80,,,
oai:u-bordeaux-montaigne.fr:340391,Tazoghrane,dark,0.26325,2.8,2.0,6.0,147829,892,8431266,0.911,2741342
oai:u-bordeaux-montaigne.fr:340392,Kelibia,black,0.07217,2.8,2.0,6.0,56290,1650,,,
oai:u-bordeaux-montaigne.fr:340392,Kelibia,red,0.02234,2.0,2.0,4.0,29861,655,613048,0.783,234954
oai:u-bordeaux-montaigne.fr:340392,Kelibia,brown,0.02122,2.0,2.0,4.0,84533,309,,,
oai:u-bordeaux-montaigne.fr:340392,Kelibia,blue,0.00415,2.0,2.0,2.0,53210,25,13492,0.093,6670
oai:u-bordeaux-montaigne.fr:340392,Kelibia,green,0.01558,2.0,2.0,4.5,53634,229,,,
oai:u-bordeaux-montaigne.fr:340392,Kelibia,wash,0.01804,2.0,2.0,2.8,75003,289,,,
oai:u-bordeaux-montaigne.fr:340392,Kelibia,dark,0.127,2.8,2.0,7.2,68842,796,3981344,0.895,1035337
oai:u-bordeaux-montaigne.fr:340393,Béja,black,0.13582,2.0,2.0,4.0,197007,3381,,,
oai:u-bordeaux-montaigne.fr:340393,Béja,red,0.01781,2.0,2.0,4.0,68745,434,360567,0.575,107373
oai:u-bordeaux-montaigne.fr:340393,Béja,brown,0.0782,2.0,2.0,2.8,287703,756,,,
oai:u-bordeaux-montaigne.fr:340393,Béja,blue,0.0102,2.0,2.0,2.8,109668,94,62282,0.174,22412
oai:u-bordeaux-montaigne.fr:340393,Béja,green,0.01146,2.0,2.0,2.8,113061,0,,,
oai:u-bordeaux-montaigne.fr:340393,Béja,wash,0.02634,2.0,2.0,2.0,243645,32,,,
oai:u-bordeaux-montaigne.fr:340393,Béja,dark,0.25181,2.8,2.0,4.5,61876,794,8128490,0.918,2755914
oai:u-bordeaux-montaigne.fr:340394,Tebourba,black,0.23675,2.8,2.0,5.7,213232,3864,,,
oai:u-bordeaux-montaigne.fr:340394,Tebourba,red,0.01269,2.0,2.0,4.0,85854,175,158032,0.339,56107
oai:u-bordeaux-montaigne.fr:340394,Tebourba,brown,0.06197,2.0,2.0,4.0,333941,1067,,,
oai:u-bordeaux-montaigne.fr:340394,Tebourba,blue,0.01043,2.0,2.0,2.8,115283,121,122539,0.32,42480
oai:u-bordeaux-montaigne.fr:340394,Tebourba,green,0.02485,2.0,2.0,4.0,122600,180,,,
oai:u-bordeaux-montaigne.fr:340394,Tebourba,wash,0.03422,2.0,2.0,2.8,241583,287,,,
oai:u-bordeaux-montaigne.fr:340394,Tebourba,dark,0.3578,2.8,2.0,6.3,143973,790,12378719,0.943,3778904
oai:u-bordeaux-montaigne.fr:340395,Tunis,black,0.15778,2.0,2.0,4.5,263866,3327,,,
oai:u-bordeaux-montaigne.fr:340395,Tunis,red,0.03076,2.0,2.0,4.5,95157,854,725986,0.666,214957
oai:u-bordeaux-montaigne.fr:340395,Tunis,brown,0.0506,2.0,2.0,4.0,245594,792,,,
oai:u-bordeaux-montaigne.fr:340395,Tunis,blue,0.00669,2.0,2.0,2.0,88286,20,36593,0.154,14259
oai:u-bordeaux-montaigne.fr:340395,Tunis,green,0.01456,2.0,2.0,2.8,125655,34,,,
oai:u-bordeaux-montaigne.fr:340395,Tunis,wash,0.02842,2.0,2.0,2.0,211370,336,,,
oai:u-bordeaux-montaigne.fr:340395,Tunis,dark,0.25136,2.8,2.0,4.5,270442,1045,7869052,0.884,2506409
oai:u-bordeaux-montaigne.fr:340407,La Goulette,black,0.09522,2.0,2.0,4.5,159574,2143,,,
oai:u-bordeaux-montaigne.fr:340407,La Goulette,red,0.0328,2.0,2.0,4.5,54045,1023,906535,0.785,299530
oai:u-bordeaux-montaigne.fr:340407,La Goulette,brown,0.04332,2.0,2.0,4.0,190573,652,,,
oai:u-bordeaux-montaigne.fr:340407,La Goulette,blue,0.00746,2.0,2.0,2.8,70882,49,35708,0.136,13575
oai:u-bordeaux-montaigne.fr:340407,La Goulette,green,0.02495,2.0,2.0,4.0,106921,36,,,
oai:u-bordeaux-montaigne.fr:340407,La Goulette,wash,0.02,2.0,2.0,2.8,131723,133,,,
oai:u-bordeaux-montaigne.fr:340407,La Goulette,dark,0.18349,2.8,2.0,6.0,153972,1014,5537359,0.857,1727005
oai:u-bordeaux-montaigne.fr:340410,Menzel Bou Zelfa,black,0.24577,2.0,2.0,5.7,246931,2957,,,
oai:u-bordeaux-montaigne.fr:340410,Menzel Bou Zelfa,red,0.01783,2.0,2.0,4.0,63209,419,346056,0.532,130595
oai:u-bordeaux-montaigne.fr:340410,Menzel Bou Zelfa,brown,0.05372,2.0,2.0,4.0,251418,1061,,,
oai:u-bordeaux-montaigne.fr:340410,Menzel Bou Zelfa,blue,0.00527,2.0,2.0,2.0,71799,50,32471,0.169,11870
oai:u-bordeaux-montaigne.fr:340410,Menzel Bou Zelfa,green,0.05488,2.0,2.0,4.5,166297,494,,,
oai:u-bordeaux-montaigne.fr:340410,Menzel Bou Zelfa,wash,0.02595,2.0,2.0,2.8,200902,113,,,
oai:u-bordeaux-montaigne.fr:340410,Menzel Bou Zelfa,dark,0.38032,2.8,2.0,7.2,192159,1231,12732711,0.918,3878214
oai:u-bordeaux-montaigne.fr:340411,Mennzel Heurr,black,0.01175,2.0,2.0,4.5,14821,294,,,
oai:u-bordeaux-montaigne.fr:340411,Mennzel Heurr,red,0.01462,2.0,2.0,4.0,35462,374,361806,0.704,146970
oai:u-bordeaux-montaigne.fr:340411,Mennzel Heurr,brown,0.01267,2.0,2.0,2.0,32901,168,,,
oai:u-bordeaux-montaigne.fr:340411,Mennzel Heurr,blue,0.0023,2.0,2.0,2.8,18721,22,35136,0.434,14258
oai:u-bordeaux-montaigne.fr:340411,Mennzel Heurr,green,0.0031,2.0,2.0,4.5,11169,15,,,
oai:u-bordeaux-montaigne.fr:340411,Mennzel Heurr,wash,0.0046,2.0,2.0,2.8,14750,100,,,
oai:u-bordeaux-montaigne.fr:340411,Mennzel Heurr,dark,0.03212,2.0,2.0,4.5,31603,308,969159,0.859,353291
oai:u-bordeaux-montaigne.fr:340412,Oued-Zarga,black,0.23577,2.0,2.0,4.5,288097,4665,,,
oai:u-bordeaux-montaigne.fr:340412,Oued-Zarga,red,0.01862,2.0,2.0,4.0,78589,303,383956,0.585,126623
oai:u-bordeaux-montaigne.fr:340412,Oued-Zarga,brown,0.09643,2.0,2.0,4.0,367171,1861,,,
oai:u-bordeaux-montaigne.fr:340412,Oued-Zarga,blue,0.01038,2.0,2.0,4.5,74591,171,183574,0.501,49476
oai:u-bordeaux-montaigne.fr:340412,Oued-Zarga,green,0.05088,2.0,2.0,4.5,189317,117,,,
oai:u-bordeaux-montaigne.fr:340412,Oued-Zarga,wash,0.03046,2.0,2.0,2.8,201996,168,,,
oai:u-bordeaux-montaigne.fr:340412,Oued-Zarga,dark,0.41353,2.8,2.0,6.3,168693,636,13786554,0.945,4127872
oai:u-bordeaux-montaigne.fr:340413,Medjez-el-Bab,black,0.2045,2.0,2.0,5.7,234922,3706,,,
oai:u-bordeaux-montaigne.fr:340413,Medjez-el-Bab,red,0.01945,2.0,2.0,5.7,59154,356,410697,0.6,108815
oai:u-bordeaux-montaigne.fr:340413,Medjez-el-Bab,brown,0.07269,2.0,2.0,4.0,259180,1511,,,
oai:u-bordeaux-montaigne.fr:340413,Medjez-el-Bab,blue,0.00565,2.0,2.0,2.8,62375,59,64597,0.325,18609
oai:u-bordeaux-montaigne.fr:340413,Medjez-el-Bab,green,0.02822,2.0,2.0,4.5,103030,284,,,
oai:u-bordeaux-montaigne.fr:340413,Medjez-el-Bab,wash,0.02609,2.0,2.0,2.8,170688,90,,,
oai:u-bordeaux-montaigne.fr:340413,Medjez-el-Bab,dark,0.3315,2.8,2.0,6.3,167084,778,10874988,0.931,3221184
oai:u-bordeaux-montaigne.fr:340414,Oudna,black,0.27884,2.0,2.0,4.5,306673,2965,,,
oai:u-bordeaux-montaigne.fr:340414,Oudna,red,0.01938,2.0,2.0,4.0,70925,473,410246,0.587,137051
oai:u-bordeaux-montaigne.fr:340414,Oudna,brown,0.06703,2.0,2.0,4.0,323083,1339,,,
oai:u-bordeaux-montaigne.fr:340414,Oudna,blue,0.0021,2.0,2.0,2.0,40126,2,1528,0.02,629
oai:u-bordeaux-montaigne.fr:340414,Oudna,green,0.02495,2.0,2.0,4.5,109014,265,,,
oai:u-bordeaux-montaigne.fr:340414,Oudna,wash,0.01652,2.0,2.0,2.0,153876,80,,,
oai:u-bordeaux-montaigne.fr:340414,Oudna,dark,0.38735,2.8,2.0,6.3,238386,821,12976058,0.928,4291577
oai:u-bordeaux-montaigne.fr:340415,Grombalia,black,0.20484,2.0,2.0,4.5,367695,4849,,,
oai:u-bordeaux-montaigne.fr:340415,Grombalia,red,0.01338,2.0,2.0,4.0,80915,236,211135,0.447,58490
oai:u-bordeaux-montaigne.fr:340415,Grombalia,brown,0.06639,2.0,2.0,4.0,326177,1060,,,
oai:u-bordeaux-montaigne.fr:340415,Grombalia,blue,0.01365,2.0,2.0,2.8,148466,106,73864,0.153,26340
oai:u-bordeaux-montaigne.fr:340415,Grombalia,green,0.07936,2.0,2.0,4.0,278566,946,,,
oai:u-bordeaux-montaigne.fr:340415,Grombalia,wash,0.04709,2.0,2.0,2.8,292031,369,,,
oai:u-bordeaux-montaigne.fr:340415,Grombalia,dark,0.39768,2.8,2.0,6.0,254619,1121,12973577,0.923,4283132
oai:u-bordeaux-montaigne.fr:340416,Nabeul,black,0.17006,2.0,2.0,4.5,277763,3425,,,
oai:u-bordeaux-montaigne.fr:340416,Nabeul,red,0.01641,2.0,2.0,4.5,56196,319,335630,0.582,98943
oai:u-bordeaux-montaigne.fr:340416,Nabeul,brown,0.04219,2.0,2.0,2.8,238841,690,,,
oai:u-bordeaux-montaigne.fr:340416,Nabeul,blue,0.00537,2.0,2.0,2.0,73096,1,2518,0.013,980
oai:u-bordeaux-montaigne.fr:340416,Nabeul,green,0.03822,2.0,2.0,4.0,153138,132,,,
oai:u-bordeaux-montaigne.fr:340416,Nabeul,wash,0.02768,2.0,2.0,2.8,216622,74,,,
oai:u-bordeaux-montaigne.fr:340416,Nabeul,dark,0.27815,2.8,2.0,6.0,244237,849,8647907,0.885,2747990
oai:u-bordeaux-montaigne.fr:340427,Ghardimaou,black,0.1916,2.0,2.0,4.5,314933,3311,,,
oai:u-bordeaux-montaigne.fr:340427,Ghardimaou,red,0.02318,2.0,2.0,4.0,68937,637,535685,0.658,173213
oai:u-bordeaux-montaigne.fr:340427,Ghardimaou,brown,0.07559,2.0,2.0,4.0,323720,1230,,,
oai:u-bordeaux-montaigne.fr:340427,Ghardimaou,blue,0.01233,2.0,2.0,4.0,93150,197,181344,0.419,58336
oai:u-bordeaux-montaigne.fr:340427,Ghardimaou,green,0.04881,2.0,2.0,4.0,195360,396,,,
oai:u-bordeaux-montaigne.fr:340427,Ghardimaou,wash,0.03231,2.0,2.0,2.8,181580,200,,,
oai:u-bordeaux-montaigne.fr:340427,Ghardimaou,dark,0.3483,2.8,2.0,6.0,222824,870,11518863,0.941,3549805
oai:u-bordeaux-montaigne.fr:340428,Souk el Arba,black,0.20257,2.0,2.0,4.5,274031,3151,,,
oai:u-bordeaux-montaigne.fr:340428,Souk el Arba,red,0.01748,2.0,2.0,4.0,84471,288,335777,0.547,133514
oai:u-bordeaux-montaigne.fr:340428,Souk el Arba,brown,0.0516,2.0,2.0,4.0,275493,759,,,
oai:u-bordeaux-montaigne.fr:340428,Souk el Arba,blue,0.00866,2.0,2.0,2.8,84264,135,120048,0.395,40205
oai:u-bordeaux-montaigne.fr:340428,Souk el Arba,green,0.03936,2.0,2.0,4.5,125669,46,,,
oai:u-bordeaux-montaigne.fr:340428,Souk el Arba,wash,0.02603,2.0,2.0,2.8,200830,71,,,
oai:u-bordeaux-montaigne.fr:340428,Souk el Arba,dark,0.31955,2.8,2.0,6.3,215948,570,10432201,0.929,3142290
oai:u-bordeaux-montaigne.fr:340429,Teboursouk,black,0.21424,2.0,2.0,4.5,350927,4301,,,
oai:u-bordeaux-montaigne.fr:340429,Teboursouk,red,0.0123,2.0,2.0,4.0,61908,292,239910,0.554,70516
oai:u-bordeaux-montaigne.fr:340429,Teboursouk,brown,0.064,2.0,2.0,2.8,374224,838,,,
oai:u-bordeaux-montaigne.fr:340429,Teboursouk,blue,0.00617,2.0,2.0,2.0,84504,24,24909,0.115,8112
oai:u-bordeaux-montaigne.fr:340429,Teboursouk,green,0.03842,2.0,2.0,4.5,161248,49,,,
oai:u-bordeaux-montaigne.fr:340429,Teboursouk,wash,0.02923,2.0,2.0,2.8,202472,114,,,
oai:u-bordeaux-montaigne.fr:340429,Teboursouk,dark,0.3459,2.8,2.0,6.0,287950,548,11368183,0.933,3603416
oai:u-bordeaux-montaigne.fr:340430,Bou Arada,black,0.17549,2.0,2.0,4.5,258777,3396,,,
oai:u-bordeaux-montaigne.fr:340430,Bou Arada,red,0.02027,2.0,2.0,4.0,64571,496,440969,0.618,161586
oai:u-bordeaux-montaigne.fr:340430,Bou Arada,brown,0.03605,2.0,2.0,2.8,209947,506,,,
oai:u-bordeaux-montaigne.fr:340430,Bou Arada,blue,0.00865,2.0,2.0,2.0,128245,9,16980,0.056,8185
oai:u-bordeaux-montaigne.fr:340430,Bou Arada,green,0.02833,2.0,2.0,2.8,159990,384,,,
oai:u-bordeaux-montaigne.fr:340430,Bou Arada,wash,0.03507,2.0,2.0,2.8,222318,149,,,
oai:u-bordeaux-montaigne.fr:340430,Bou Arada,dark,0.27493,2.8,2.0,5.7,259964,808,8892136,0.919,2802346
oai:u-bordeaux-montaigne.fr:340431,Zaghouan,black,0.19984,2.0,2.0,4.5,268747,3927,,,
oai:u-bordeaux-montaigne.fr:340431,Zaghouan,red,0.02747,2.0,2.0,4.5,79712,709,647299,0.67,203457
oai:u-bordeaux-montaigne.fr:340431,Zaghouan,brown,0.05362,2.0,2.0,4.0,287314,792,,,
oai:u-bordeaux-montaigne.fr:340431,Zaghouan,blue,0.00911,2.0,2.0,2.0,122840,26,17743,0.055,6323
oai:u-bordeaux-montaigne.fr:340431,Zaghouan,green,0.03773,2.0,2.0,4.0,170677,288,,,
oai:u-bordeaux-montaigne.fr:340431,Zaghouan,wash,0.04749,2.0,2.0,4.0,231114,272,,,
oai:u-bordeaux-montaigne.fr:340431,Zaghouan,dark,0.33868,2.8,2.0,6.0,190630,921,11026363,0.926,3531158
oai:u-bordeaux-montaigne.fr:340432,Bou Ficha,black,0.20841,2.0,2.0,4.5,414433,3424,,,
oai:u-bordeaux-montaigne.fr:340432,Bou Ficha,red,0.02272,2.0,2.0,4.0,43464,656,539065,0.673,178918
oai:u-bordeaux-montaigne.fr:340432,Bou Ficha,brown,0.04247,2.0,2.0,4.0,231143,720,,,
oai:u-bordeaux-montaigne.fr:340432,Bou Ficha,blue,0.00475,2.0,2.0,2.0,70079,17,11414,0.068,4077
oai:u-bordeaux-montaigne.fr:340432,Bou Ficha,green,0.05164,2.0,2.0,4.5,136582,733,,,
oai:u-bordeaux-montaigne.fr:340432,Bou Ficha,wash,0.02901,2.0,2.0,2.8,196626,96,,,
